	1	2	3	4	5	6	7	8	9	10	11
1	4.095493799	5.507678306	5.507678306	5.507678306	5.507678306	5.507678306	5.507678306	5.507678306	5.507678306	5.507678306	5.507678306
2	5.761073959	6.401853681	6.429511146	6.429511146	6.429511146	6.429511146	6.429511146	6.429511146	6.429511146	6.429511146	6.429511146
3	5.818077866	6.410783792	6.474249557	6.474249557	6.474249557	6.474249557	6.474249557	6.474249557	6.474249557	6.474249557	6.474249557
4	5.818077866	6.410783792	6.512066108	6.512066108	6.512066108	6.512066108	6.512066108	6.512066108	6.512066108	6.512066108	6.512066108
5	5.818077866	6.410783792	6.530233533	6.546141261	6.546141261	6.546141261	6.546141261	6.546141261	6.546141261	6.546141261	6.546141261
6	5.818077866	6.410783792	6.532714836	6.580077891	6.580077891	6.580077891	6.580077891	6.580077891	6.580077891	6.580077891	6.580077891
7	5.818077866	6.410783792	6.532714836	6.614014459	6.614014459	6.614014459	6.614014459	6.614014459	6.614014459	6.614014459	6.614014459
8	5.818077866	6.410783792	6.532714836	6.64493423	6.64493423	6.64493423	6.64493423	6.64493423	6.64493423	6.64493423	6.64493423
9	5.818077866	6.410783792	6.532714836	6.6498442	6.659818187	6.659818187	6.659818187	6.659818187	6.659818187	6.659818187	6.659818187
10	5.818077866	6.410783792	6.532714836	6.6498442	6.666018814	6.666018814	6.666018814	6.666018814	6.666018814	6.666018814	6.666018814
11	5.818077866	6.410783792	6.532714836	6.6498442	6.666018814	6.666018814	6.666018814	6.666018814	6.666018814	6.666018814	6.666018814
