,1,2,3,4,5,6,7,8,9,10,11
1,4.095493799406532,5.50767830595842,5.507678305958626,5.507678305958626,5.507678305958626,5.507678305958626,5.507678305958626,5.507678305958626,5.507678305958626,5.507678305958626,5.507678305958626
2,5.777984511165383,8.150043457146587,10.182087892522777,10.92887859841497,10.92887859841537,10.92887859841537,10.92887859841537,10.92887859841537,10.92887859841537,10.92887859841537,10.92887859841537
3,7.287273538711501,9.887704405145104,12.204585669143473,14.371808375044289,16.128786579177785,16.350068935421838,16.350068935422282,16.350068935422282,16.350068935422282,16.350068935422282,16.350068935422282
4,8.796565337909124,11.513290576465016,13.942249808174676,16.259135326883477,18.56153009852785,20.318511529168624,21.77126922787937,21.77126922787929,21.77126922787923,21.77126922787923,21.77126922787923
5,10.305854365455447,13.022579604011108,15.679910756173507,17.99679627488216,20.313677538880203,22.63056305758924,24.00677731355095,24.874486390024543,24.874486390024277,24.874486390024277,24.874486390024277
6,11.815146164652344,14.531871403208816,17.248591652791784,19.73446041391343,22.051341677911505,24.36822719661996,26.0131531831777,26.9252162765552,27.663727884475765,27.663727884475765,27.663727884475765
7,13.173627490689896,15.834665816562032,18.4956992557246,21.15673758159688,23.78900262590871,26.10588814461829,28.019525368312102,28.85532746799714,29.422957310570304,29.53857365111354,29.58387955389316
8,14.401799025708383,17.06283735158019,19.723870790742435,22.38490911661486,25.045942555777085,27.706980881649727,29.47651737712037,29.957177015062776,30.34756709676892,30.46318939055429,30.52483032665316
9,15.62996830532142,18.291006631193675,20.952040070355974,23.613078396228232,26.274111835390336,28.93515016126246,30.25297610027093,30.88178510331424,31.272175185020604,31.38780343203672,31.44944436813597
10,16.569401497032448,19.26705223830735,21.9646980256378,24.662348766912565,27.359994554242824,29.984407489990176,31.02943624930641,31.78957913742516,32.196784971218555,32.31241917147712,32.347673297992564
11,17.191935140262597,19.889585881537315,22.58723166886771,25.284882410142878,27.982528197473112,30.641293243800096,31.43920562107884,32.23711946364003,32.93112928321136,33.14329043511614,33.165021236166425
