biomass,O_2,CO_2,acetate,glucose
0.08648796895160166,2.265251270244977,2.4498084661185984,0.0,1.0
0.18604246558650434,3.9662599266400878,4.363257060213492,0.0,2.0
0.285596962221467,5.667268583039609,6.276705654305815,0.0,3.0
0.38515145885639956,7.36827723943661,8.19015424839949,0.0,4.0
0.4847059554912982,9.069285895831193,10.103602842494428,0.0,5.0
0.5842604521262722,10.770294552231753,12.017051436586165,0.0,6.0
0.6838149487612031,12.471303208628278,13.930500030680147,0.0,7.0
0.783369445396138,14.172311865025733,15.843948624773548,0.0,8.0
0.8829239420310808,15.87332052142367,17.757397218866714,0.0,9.0
0.9824784386660048,17.574329177819834,19.67084581296086,0.0,10.0
1.0820329353009424,19.275337834217314,21.58429440705427,0.0,11.0
1.1815874319358826,20.976346490615178,23.497743001147438,0.0,12.0
1.281141928570808,22.677355147011546,25.411191595241476,0.0,13.0
1.380696425205741,24.378363803408856,27.32464018933496,0.0,14.0
1.4802509218406916,26.07937245980718,29.23808878342794,0.0,15.0
