0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,0.10187265798885349,0.1350188899942094,0.16141494300731576,0.1679434580983014,0.16794345809830227,0.16794345809830227,0.16794345809830227,0.16794345809830227,0.16794345809830227,0.16794345809830227,0.16794345809830227
,0.12798168823708977,0.16279372856806815,0.19760151418866648,0.22436707109351034,0.24939894724500514,0.2493989472450047,0.249398947245007,0.249398947245007,0.249398947245007,0.249398947245007,0.249398947245007
,0.1515333999713833,0.18889956778351802,0.22370735340411776,0.2585193937350968,0.28731473170858607,0.31371401122860654,0.3308444809420444,0.3308444809420485,0.33084448094204494,0.330844480942045,0.330844480942045
,0.17421105346812382,0.21500859803175315,0.2498163836523534,0.28462842398333243,0.3194404643143164,0.3502668597947869,0.3766661393148034,0.403065418834814,0.41229997008875036,0.41229997008875197,0.4122999700887436
,0.19688870696485875,0.23770848325899416,0.27592541390058206,0.3107374542315675,0.34554949456254896,0.3803615348935289,0.4132189878809747,0.43961826740099075,0.4660143204140947,0.4924135999341109,0.4937554592354539
,0.2195663604616002,0.2603861367557329,0.3012009240769594,0.3368464844798058,0.3716585248107807,0.4064705651417631,0.4412826054727424,0.4760450404874051,0.5025671689802719,0.5289664485002858,0.5553657280202988
,0.24224401395833894,0.2830637902524729,0.3238785775737051,0.3629555147280334,0.39776755505901146,0.43257959538998947,0.46739163572097925,0.5022036760519585,0.5370114616725601,0.5655192970664595,0.5919185765864667
,0.2649216674550809,0.30574144374921575,0.34655623107044103,0.3873760073645708,0.4238765853072465,0.4586886256382256,0.4935006659692052,0.5283127063001901,0.5631204919207834,0.5979325322517669,0.6284714251526439
,0.28759654930020845,0.3284163255943419,0.36923111291557154,0.410050889209706,0.4499824245226994,0.4847944648536864,0.519606505184664,0.5544185455156333,0.5892263311362346,0.624038371467216,0.6588504117981947
,0.3102742027969472,0.35109397909107753,0.39190876641231387,0.4327285427064459,0.47354831900057637,0.5109034951019189,0.5457155354328965,0.5805275757638749,0.615335361384461,0.650147401715448,0.6849594420464323
,0.3329518562936916,0.3737716325878249,0.4145864199090549,0.4554061962031835,0.496225972497316,0.5370125253501452,0.5718245656811293,0.6066366060121104,0.6414443916327032,0.6762564319636867,0.7099535936957849
