biomass,O_2,CO_2,acetate,glucose
0.08648797935567255,2.26525142638937,2.449808385000424,0.0,1.0
0.18604246558653323,3.9662599266423606,4.36325706021225,0.0,2.0
0.28559696222146735,5.667268583039561,6.276705654305696,0.0,3.0
0.38515145885640184,7.368277239436783,8.190154248399175,0.0,4.0
0.48470595549133316,9.069285895834076,10.103602842492878,0.0,5.0
0.5675344560458494,11.43589446520012,12.646959646163218,0.01650548128515453,6.0
0.5727434997340803,10.53690744938604,11.75908823992967,3.3534212047196563,7.0
0.5736521737203032,10.351289107896926,11.298816279506314,4.905332584350104,8.0
0.573854717811007,10.703788474182899,11.10314813136942,4.707407036344808,9.0
0.5740572619017117,11.056287840469247,10.907479983232326,4.509481488339299,10.0
0.574259805992415,11.408787206754091,10.711811835096052,4.311555940334631,11.0
0.5744623500831201,11.761286573041563,10.516143686958326,4.113630392328491,12.0
0.574664894173824,12.113785939326785,10.320475538821858,3.915704844323614,13.0
0.5748674382645286,12.466285305613129,10.12480739068476,3.7177792963181053,14.0
0.5750699823552332,12.818784671899099,9.929139242547873,3.5198537483128076,15.0
