	AKGDH	GLCptspp	PFK	G6PDH2r	ASPK	GLNS
Kcat	107.1736909	99.17422326	44.01131497	375.4595427	40.86230687	15.88740707
Kcat_MW	1931.451567	2419.579828	4547.450218	24265.03901	1650.646229	1101.949457
