Method,N_Strains,Avg_Cumulative_Ratio,Std_Cumulative_Ratio,Avg_Cumulative_Diff,Std_Cumulative_Diff,Avg_MAE,Avg_MRE,Avg_RMSE
FluxGen,85,0.35942855603379503,0.30272470528911144,0.12332852373919707,0.012601410557876391,0.12332852373919707,0.8015204047163668,0.21782224555915075
KinLLM,85,0.5973232506040322,0.6814283696876691,0.13798543705948524,0.028819456532239815,0.13798543705948524,1.0087902430245193,0.22937244773369223
fba,85,0.34061724167373136,0.23248420428692748,0.13271280779605132,0.02687515608485152,0.13271280779605132,0.8214631716825538,0.2326378647534075
