Time,Biomass,Glucose,CO2
0.0,0.37,10.0,0.0
0.08080808080808081,0.37,9.995992263056094,0.024046421663442938
0.16161616161616163,0.37,9.991984526112187,0.04809284332688589
0.24242424242424243,0.37,9.987976789168279,0.07213926499032883
0.32323232323232326,0.37,9.983969052224372,0.09618568665377179
0.4040404040404041,0.37,9.979961315280466,0.12023210831721473
0.48484848484848486,0.37,9.975953578336558,0.14427852998065765
0.5656565656565657,0.37,9.971945841392651,0.16832495164410055
0.6464646464646465,0.37,9.967938104448745,0.1923713733075436
0.7272727272727273,0.37,9.963930367504837,0.21641779497098657
0.8080808080808082,0.37,9.95992263056093,0.2404642166344294
0.888888888888889,0.37,9.955914893617024,0.26451063829787236
0.9696969696969697,0.37,9.951907156673116,0.2885570599613153
1.0505050505050506,0.37,9.94789941972921,0.31260348162475826
1.1313131313131315,0.37,9.943891682785303,0.3366499032882013
1.2121212121212122,0.37,9.939883945841395,0.36069632495164416
1.292929292929293,0.37,9.935876208897488,0.38474274661508717
1.373737373737374,0.37,9.931868471953582,0.40878916827853007
1.4545454545454546,0.37,9.927860735009673,0.43283558994197296
1.5353535353535355,0.37,9.923852998065767,0.4568820116054159
1.6161616161616164,0.37,9.91984526112186,0.4809284332688589
1.696969696969697,0.37,9.915837524177952,0.5049748549323019
1.777777777777778,0.37,9.911829787234046,0.5290212765957447
1.8585858585858588,0.37,9.907822050290138,0.5530676982591878
1.9393939393939394,0.37,9.903814313346231,0.5771141199226306
2.0202020202020203,0.37,9.899806576402325,0.6011605415860737
2.101010101010101,0.37,9.895798839458417,0.6252069632495165
2.181818181818182,0.37,9.89179110251451,0.6492533849129596
2.262626262626263,0.37,9.887783365570604,0.6732998065764025
2.3434343434343434,0.37,9.883775628626696,0.6973462282398454
2.4242424242424243,0.37,9.87976789168279,0.7213926499032883
2.505050505050505,0.37,9.875760154738883,0.7454390715667313
2.585858585858586,0.37,9.871752417794974,0.7694854932301742
2.666666666666667,0.37,9.867744680851068,0.7935319148936172
2.747474747474748,0.37,9.863736943907162,0.8175783365570601
2.8282828282828287,0.37,9.859729206963253,0.8416247582205032
2.909090909090909,0.37,9.855721470019347,0.865671179883946
2.98989898989899,0.37,9.85171373307544,0.8897176015473889
3.070707070707071,0.37,9.847705996131532,0.9137640232108318
3.151515151515152,0.37,9.843698259187626,0.9378104448742748
3.2323232323232327,0.37,9.83969052224372,0.9618568665377177
3.3131313131313136,0.37,9.835682785299811,0.9859032882011607
3.393939393939394,0.37,9.831675048355905,1.0099497098646035
3.474747474747475,0.37,9.827667311411998,1.0339961315280466
3.555555555555556,0.37,9.82365957446809,1.0580425531914894
3.6363636363636367,0.37,9.819651837524184,1.0820889748549325
3.7171717171717176,0.37,9.815644100580277,1.1061353965183753
3.7979797979797985,0.37,9.811636363636369,1.1301818181818184
3.878787878787879,0.37,9.807628626692463,1.1542282398452612
3.95959595959596,0.37,9.803620889748556,1.1782746615087043
4.040404040404041,0.37,9.799613152804648,1.2023210831721471
4.121212121212122,0.37,9.795605415860742,1.2263675048355902
4.202020202020202,0.37,9.791597678916835,1.250413926499033
4.282828282828283,0.37,9.787589941972927,1.2744603481624759
4.363636363636364,0.37,9.78358220502902,1.298506769825919
4.444444444444445,0.37,9.779574468085114,1.3225531914893618
4.525252525252526,0.37,9.775566731141206,1.3465996131528049
4.606060606060606,0.37,9.7715589941973,1.370646034816248
4.686868686868687,0.37,9.767551257253393,1.3946924564796905
4.767676767676768,0.37,9.763543520309485,1.4187388781431336
4.848484848484849,0.37,9.759535783365578,1.4427852998065767
4.92929292929293,0.37,9.755528046421672,1.4668317214700197
5.01010101010101,0.37,9.751520309477764,1.4908781431334626
5.090909090909092,0.37,9.747512572533857,1.5149245647969056
5.171717171717172,0.37,9.74350483558995,1.5389709864603485
5.252525252525253,0.37,9.739497098646043,1.5630174081237913
5.333333333333334,0.37,9.735489361702136,1.5870638297872344
5.414141414141414,0.37,9.73148162475823,1.6111102514506772
5.494949494949496,0.37,9.727473887814323,1.6351566731141203
5.575757575757576,0.37,9.723466150870415,1.6592030947775631
5.6565656565656575,0.37,9.719458413926509,1.6832495164410062
5.737373737373738,0.37,9.715450676982602,1.707295938104449
5.818181818181818,0.37,9.711442940038694,1.7313423597678919
5.8989898989899,0.37,9.707435203094787,1.755388781431335
5.97979797979798,0.37,9.703427466150881,1.7794352030947778
6.060606060606061,0.37,9.699419729206973,1.8034816247582208
6.141414141414142,0.37,9.695411992263066,1.8275280464216637
6.222222222222222,0.37,9.69140425531916,1.8515744680851065
6.303030303030304,0.37,9.687396518375252,1.8756208897485496
6.383838383838384,0.37,9.683388781431345,1.8996673114119924
6.464646464646465,0.37,9.679381044487439,1.9237137330754357
6.545454545454546,0.37,9.67537330754353,1.9477601547388783
6.626262626262627,0.37,9.671365570599624,1.9718065764023214
6.707070707070708,0.37,9.667357833655716,1.9958529980657644
6.787878787878788,0.37,9.66335009671181,2.019899419729207
6.868686868686869,0.37,9.659342359767903,2.04394584139265
6.94949494949495,0.37,9.655334622823995,2.067992263056093
7.030303030303031,0.37,9.651326885880088,2.0920386847195362
7.111111111111112,0.37,9.647319148936182,2.116085106382979
7.191919191919193,0.37,9.643311411992274,2.140131528046422
7.272727272727273,0.37,9.639303675048367,2.164177949709865
7.353535353535354,0.37,9.635295938104461,2.1882243713733076
7.434343434343435,0.37,9.631288201160553,2.2122707930367507
7.515151515151516,0.37,9.627280464216646,2.2363172147001937
7.595959595959597,0.37,9.62327272727274,2.260363636363637
7.676767676767677,0.37,9.619264990328832,2.2844100580270794
7.757575757575758,0.37,9.615257253384925,2.3084564796905225
7.838383838383839,0.37,9.611249516441019,2.3325029013539655
