reactions,data_type,kcat,MW,kcat_MW
PTA2,ours,234.2000279764432,77171.18800000039,10925.322294056057
PTAr_num1,ours,233.6545811087877,77171.18800000039,10899.877451564327
LDH_D_num2,ours,224.48512349850597,36534.37890000004,22120.16377250143
ALR2_num2,ours,220.16897628632688,29436.42240000003,26926.108881722528
BETALDHx,ours,219.2063322065917,52910.5159000001,14914.668332382082
BETALDHy,ours,219.20630265773673,52910.5159000001,14914.66632189558
GLYK,ours,205.73314721940952,56230.10950000007,13171.57900946064
GHBDHx,ours,196.94467570241937,31157.82340000003,22755.14638576163
GLCDpp_num1,ours,191.77658390538858,86746.30460000041,7958.7909276701985
SERAT_reverse,ours,189.24704081230527,29316.30439999998,23239.264322971743
LALADGLUtpp_num2,ours,184.75253351159972,53574.55730000009,12414.645200283492
GRXR_num2,ours,183.91959325629662,9137.398599999991,72461.60145872025
SHKK_num1,ours,183.57867463898046,19537.811,33825.85841885407
AMPTASEPG_num1,ours,181.58139590258807,54879.20500000006,11911.488609379752
3OXCOAT,ours,179.18818652993335,42276.08740000004,15258.684310217399
AMAOTr,ours,172.08248287793435,47335.11480000008,13087.470918324732
G6PDH2r,ours,169.2909332439407,55703.77830000008,10940.862151143985
METSOXR1_num1,ours,169.1124384970988,15554.60489999999,15662.837516019217
METSOXR2_num1,ours,169.1124384970988,15451.016599999992,19635.30318492587
METSOXR1_num3,ours,169.06587680588737,15554.60489999999,6002.086437919502
SERAT,ours,163.97130109778146,29316.30439999998,20135.43985278082
SHK3Dr_reverse_num1,ours,163.6807059982924,31227.45460000001,18869.630879035925
QUINDH,ours,163.0828715447921,31227.45460000001,18800.71062728409
ACS,ours,161.8253613474652,72092.70770000026,8080.863091938944
CTBTabcpp,ours,161.36256302483102,44162.282500000045,4931.132112708712
OXDHCOAT,ours,161.02957277999022,42276.08740000004,8201.801089895649
MCOATA,ours,159.02621723411548,32416.84700000001,13944.14233635303
FBA_reverse_num1,ours,156.34678663316018,38108.75040000001,14769.532613154812
OCBT_num2,ours,155.67588259511203,36826.74470000008,15218.102547695507
METSOXR1_num4,ours,155.54712548953876,11806.481899999984,5734.09564595795
OCBT_num1,ours,151.45593779991725,36906.69700000006,14773.507802112477
SGDS,ours,148.85705288529329,35799.75100000005,14968.96976705383
ALDD19xr_reverse,ours,147.54233413885368,53698.50160000009,9891.382200129627
DHDPS,ours,144.4946361648288,31269.62460000002,16635.33530854679
GTHRDabc2pp,ours,144.18898809896436,62919.38320000014,4056.1152544455795
GLUN_num3,ours,143.42220608493759,33515.216500000024,15405.538016016544
CBPS,ours,143.26547106542532,41430.510300000045,3238.2296975364757
ASPO5,ours,141.883575208386,60336.71520000015,8465.506765774155
NNAM,ours,140.76896419190942,23361.7852,21692.18947749224
GRXR_num4,ours,138.8851987565317,9684.737199999998,51626.255333341855
PRAGSr,ours,138.04532197551362,45939.83690000002,10817.69533038653
ACMAMUT,ours,136.71062758954477,27927.842400000016,17622.49486635462
ALLTAMH,ours,136.49867068165776,45693.48650000005,10754.16327563377
G6PDH2r_reverse,ours,135.77093063636983,55703.77830000008,8774.545734735748
GLNabcpp,ours,135.14108673448501,27189.7636,6214.619253359938
UPP3MT_num1,ours,133.92002747731794,42962.4918000001,11221.697781466752
PRAGSr_reverse,ours,132.7059792517117,45939.83690000002,10399.286491723742
ALAabcpp,ours,132.4003520019863,26309.936100000006,2754.1482728804885
GRXR_num3,ours,130.92327400011231,12878.616699999997,36597.39220287567
LALGP,ours,130.7788816880906,52914.774700000016,8897.401089702193
M1PD_reverse,ours,130.69122015089957,41138.50770000006,11436.690800119562
GHBDHx_reverse,ours,129.74201357824603,31157.82340000003,14990.496700796028
AM4PCP,ours,126.69678137495777,33567.06660000001,13587.97354517263
AMAOTr_reverse,ours,126.64358932363648,47335.11480000008,9631.685134628437
LALADGLUtpp_num1,ours,125.81938904717475,53990.52470000011,8389.431350901988
ACGK,ours,124.50542232225926,27159.2235,16503.399677834434
HADPCOADH3_reverse,ours,124.40355117599374,51732.00010000003,8657.17125508119
LDH_D_reverse_num2,ours,124.11663653946121,36534.37890000004,12230.121463541835
GUAPRT_num1,ours,124.05995402977643,16970.386399999978,26317.363905585305
XPPT,ours,123.9385731773343,16970.386399999978,26291.614870855512
PAPPT3,ours,123.80386887137149,39874.2484,11177.487873023769
HXPRT_num1,ours,123.11491847284736,16970.386399999978,26116.889507138803
M1PD,ours,122.50637840188058,41138.50770000006,10720.441428330407
FORt2pp_num1,ours,122.28792193136418,30990.39579999998,14205.579102442807
GLUN_num2,ours,121.72188692808298,32902.94120000001,13317.92164954234
HADPCOADH3,ours,120.38649010852338,51732.00010000003,8377.626296159462
DHORTS_reverse,ours,119.08634553103924,38826.943300000086,11041.581115445168
FUM_num1,ours,117.92250763282345,60297.86670000006,7040.398785421111
ALAALAabcpp_num1,ours,113.65244106029203,57640.50010000002,2069.799312276478
HSDy_reverse_num1,ours,112.22389646706635,88886.59570000051,4545.1850653049205
GLCDpp_num2,ours,111.58617277132505,41053.96440000001,9784.931317784503
AMPTASEPG_num2,ours,110.70404617531997,52914.774700000016,7531.6311652207
ALAALAr_reverse_num2,ours,108.91403922478379,32839.329000000056,11939.6636030298
ALAALAr_reverse_num1,ours,108.88833395426128,32839.329000000056,11936.845671704801
UAMAGS,ours,108.39276336407164,46973.09410000008,8307.180005641938
MCOATA_reverse,ours,108.12814196293245,8639.416499999992,9481.167497538025
SSALy_num1,ours,107.58913747803675,51719.44750000004,7488.883072869871
CRNDabcpp,ours,106.89946229377821,44162.282500000045,3266.776143528574
LIPAabctex,ours,106.73132551692495,20126.6397,2585.6040667270777
ADNK1,ours,106.42213918076379,23585.735300000008,16243.703924327072
CLIPAabctex,ours,106.25856613631723,39618.14920000004,2574.1513037152577
LEUabcpp_num2,ours,106.217730756963,32981.91549999999,2205.6533227707905
LEUabcpp_num1,ours,105.69213944630815,32981.91549999999,2198.57288074828
SUCFUMtpp_num1,ours,104.93750171953525,47934.68860000006,7881.03599342724
FUMt2_3pp_num2,ours,104.93192131756672,47934.68860000006,7880.616893028898
CRNabcpp,ours,103.83853689308124,36022.10150000005,3173.236308420353
FECRMtonex,ours,102.36308152647622,26287.070799999983,2455.256073047532
PAPSR2_num2,ours,100.59082721330739,27975.466900000018,6920.674596898281
LACZ,ours,100.47904086617932,116481.4806000006,3105.425388267632
ENLIPAabctex,ours,99.66468008104651,20126.6397,2414.4120845359803
K2L4Aabctex,ours,97.48234573912102,21702.360700000016,2361.5442641270047
UAAGDS,ours,96.74352478008036,53342.99120000008,6529.005617673139
ASNN_num1,ours,95.80299048872806,37126.80160000004,9289.536154372656
MLTP3_reverse,ours,94.08880177888719,90521.26860000048,3741.8795786075857
MLTP2,ours,93.98671450408565,90521.26860000048,3737.8196024829745
MN6PP,ours,93.9106995568418,30412.456100000025,11116.449039596977
G6PP,ours,93.8463832207887,30412.456100000025,11108.835750850096
MLTP2_reverse,ours,93.84389354242309,90521.26860000048,3732.1396615150993
MLTP1,ours,93.06712910560813,90521.26860000048,3701.248004606373
DDGALK,ours,92.86060142071739,31373.21170000006,10655.528936955534
MLTP1_reverse,ours,92.3594699187086,90521.26860000048,3673.1046399337492
GALabcpp_num1,ours,91.5028712316929,56414.61080000001,2580.039555324434
GLCabcpp,ours,91.502859750091,35549.717199999955,2580.0392315861004
ALATA_L_num1,ours,90.83333797802187,45516.83090000005,7184.15606392488
R5PP,ours,90.47277882110969,30412.456100000025,10709.493593185805
