Original_bin_centers,Original_density,Optimized_bin_centers,Optimized_density
-0.8660684873660409,0.009809816564528015,-1.2608365914477346,0.005470772367578872
-0.6802749782800678,0.006539877709685347,-1.0387350768834733,0.0082061585513683
-0.4944814691940947,0.01634969427421336,-0.8166335623192118,0.027353861837894358
-0.30868796010812155,0.03269938854842672,-0.5945320477549505,0.021883089470315475
-0.12289445102214841,0.0588588993871681,-0.37243053319068903,0.02461847565410491
0.06289905806382468,0.10463804335496556,-0.15032901862642767,0.06291388222715702
0.24869256714979782,0.14714724846792016,0.07177249593783375,0.11488621971915619
0.43448607623577096,0.3073742523552113,0.29387401050209516,0.18327087431389222
0.620279585321744,0.38912272372627815,0.5159755250663565,0.27627400456273304
0.8060730944077171,0.5362699721941978,0.7380770396306179,0.40483715520083613
0.9918666034936903,0.48722088937155816,0.9601785541948793,0.3774832933629422
1.1776601125796633,0.6212883824201088,1.1822800687591406,0.4786925821631513
1.3634536216656363,0.7357362423396008,1.404381583323402,0.5744310985957816
1.5492471307516096,0.6114785658555792,1.6264830978876634,0.5115172163686236
1.7350406398375826,0.5722392995974686,1.848584612451925,0.4868987407145196
1.9208341489235556,0.34334357975848034,2.0706861270161863,0.30636325258441655
2.106627658009529,0.1961963312905602,2.2927876415804476,0.16685855721115592
2.292421167095502,0.10136810450012301,2.514889156144709,0.15865239865978698
2.4782146761814747,0.055588960532325385,2.73699067070897,0.14497546774084039
2.6640081852674484,0.013079755419370679,2.9590921852732315,0.09573851643263007
2.8498016943534212,0.009809816564528034,3.181193699837493,0.03008924802168386
3.0355952034393945,0.01307975541937065,3.403295214401754,0.019147703286526013
3.2213887125253677,0.0,3.625396728966016,0.008206158551368291
3.4071822216113405,0.006539877709685356,3.847498243530277,0.0027353861837894414
3.592975730697314,0.0,4.0695997580945384,0.005470772367578862
3.778769239783287,0.0,4.2917012726588,0.0
3.96456274886926,0.0,4.513802787223061,0.0
4.1503562579552336,0.0032699388548426624,4.735904301787323,0.0
4.336149767041206,0.0,4.958005816351584,0.0027353861837894414
4.52194327612718,0.003269938854842678,5.180107330915845,0.002735386183789431
