Original_bin_centers,Original_density,Optimized_bin_centers,Optimized_density
-1.0340388198693593,0.00839564297483078,-2.835377568791471,0.0055243836398183015
-0.861666315793991,0.008395642974830787,-2.5734156745335346,0.027621918199091457
-0.6892938117186229,0.016791285949661575,-2.3114537802755977,0.07734137095745622
-0.5169213076432546,0.10074771569796936,-2.049491886017661,0.08839013823709274
-0.3445488035678863,0.11753900164763093,-1.7875299917597243,0.08839013823709274
-0.17217629949251811,0.14272593057212346,-1.5255680975017878,0.17125589283436735
0.00019620458285007913,0.15112157354695405,-1.2636062032438513,0.243072880152005
0.17256870865821838,0.24347364627009266,-1.0016443089859144,0.14363397463527572
0.3449412127335867,0.419782148741539,-0.7396824147279779,0.16020712555473074
0.517313716808955,0.5876950082381546,-0.4777205204700412,0.11601205643618412
0.6896862208843232,0.40299086279187796,-0.2157586262121045,0.06629260367781961
0.8620587249596913,0.44496907766603194,0.04620326804583197,0.011048767279636603
1.0344312290350595,0.4785516495653545,0.30816516230376867,0.03314630183890975
1.2068037331104278,0.5541124363388316,0.5701270565617054,0.03867068547872811
1.379176237185796,0.6212775801374778,0.8320889508196421,0.15468274191491216
1.5515487412611644,0.5121342214646776,1.0940508450775788,0.22097534559273202
1.7239212453365327,0.44496907766603133,1.3560127393355152,0.28726794927055166
1.896293749411901,0.2518692892449234,1.6179746335934517,0.28726794927055166
2.0686662534872693,0.0839564297483078,1.8799365278513887,0.38118247114746145
2.2410387575626376,0.06716514379864624,2.1418984221093256,0.4806213766641922
2.4134112616380055,0.06716514379864641,2.403860316367262,0.3701337038678262
2.5857837657133738,0.02518692892449234,2.6658222106251985,0.17125589283436735
2.758156269788742,0.0,2.927784104883135,0.08286575459727451
2.9305287738641104,0.025186928924492407,3.1897459991410715,0.055243836398183005
3.1029012779394782,0.0,3.4517078933990084,0.02209753455927313
3.2752737820148465,0.00839564297483078,3.7136697876569453,0.016573150919454903
3.447646286090215,0.0,3.975631681914882,0.0
3.620018790165583,0.0,4.237593576172818,0.0055243836398183015
3.7923912942409514,0.0,4.499555470430755,0.0
3.9647637983163198,0.01679128594966156,4.761517364688691,0.011048767279636565
