Original_bin_centers,Original_density,Optimized_bin_centers,Optimized_density
-0.6383441977898316,0.006670952226168871,-2.1676294088325596,0.008353232305843502
-0.5030521067639309,0.013341904452337742,-1.9515389081096448,0.004176616152921751
-0.3677600157380301,0.0466966655831821,-1.7354484073867302,0.012529848458765253
-0.2324679247121293,0.05336761780935097,-1.5193579066638156,0.0
-0.09717583368622851,0.0667095222616887,-1.3032674059409008,0.0041766161529217475
0.03811625733967228,0.07338047448785757,-1.0871769052179863,0.012529848458765253
0.17340834836557306,0.0667095222616887,-0.8710864044950717,0.0
0.30870043939147385,0.16010285342805292,-0.6549959037721571,0.0
0.44399253041737463,0.2668380890467548,-0.4389054030492425,0.004176616152921751
0.5792846214432754,0.3869152291177945,-0.22281490232632783,0.020883080764608736
0.7145767124691762,0.3402185635346124,-0.006724401603413144,0.008353232305843502
0.849868803495077,0.6804371270692248,0.20936609911950144,0.041766161529217506
0.9851608945209778,0.7004499837477314,0.425456599842416,0.03758954537629576
1.1204529855468786,0.6470823659383805,0.6415471005653306,0.11276863612888728
1.2557450765727793,0.6003857003551984,0.8576376012882452,0.19212434303440054
1.3910371675986801,0.7538176015570824,1.0737281020111598,0.20047757534024405
1.526329258624581,0.7004499837477314,1.2898186027340743,0.2547735853282268
1.6616213496504817,0.5737018914505229,1.505909103456989,0.2631268176340703
1.7969134406763825,0.44695379915331435,1.7219996041799035,0.5095471706564536
1.9322055317022833,0.28685094572526143,1.9380901049028183,0.5554899483385917
2.067497622728184,0.16010285342805264,2.154180605625733,0.6306690390911857
2.202789713754085,0.1667738056542223,2.3702711063486475,0.6849650490791658
2.3380818047799856,0.05336761780935079,2.586361607071562,0.5095471706564547
2.4733738958058864,0.05336761780935114,2.8024521077944766,0.275656666092835
2.608665986831787,0.03335476113084424,3.018542608517391,0.16288802996394863
2.743958077857688,0.020012856678506677,3.234633109240306,0.06264924229382614
2.8792501688835888,0.013341904452337697,3.4507236099632204,0.025059696917530558
3.0145422599094895,0.013341904452337785,3.666814110686135,0.02088308076460871
3.1498343509353903,0.0,3.8829046114090495,0.00835323230584352
3.2851264419612916,0.006670952226168871,4.098995112131964,0.004176616152921751
