Organism,Method,Average_MSE,Average_RMSE,Average_R2,Success_Count,Failed_Count,TF_Knockout_Count,Enzyme_Knockout_Count,Unknown_Knockout_Count,Success_Rate
Bacillus subtilis,Eki2vivo,1.1021639806088808,0.8941240365977358,0.8224547528837286,99,34,82,6,11,74.43609022556392
Bacillus subtilis,EkiLLm,0.8315004841557764,0.7991846778283412,0.8560734397132671,99,34,82,6,11,74.43609022556392
Bacillus subtilis,fba,0.7009794653045285,0.7002541363293836,0.8762709379373864,99,34,82,6,11,74.43609022556392
