UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
P0AF26,778,['Nitrate reductase molybdenum cofactor assembly chaperone NarJ'],"Binds specifically to the NarG subunit of the apoenzyme complex at two distinct sites, one interfering with membrane anchoring and another being involved in molybdenum insertion.","['narJ', 'b1226', 'JW1217']",1
P03819,779,['Glutathione-regulated potassium-efflux system protein KefC'],"Homodimer. Interacts with the regulatory subunit KefF, forming a heterotetramer with 2:2 stoichiometry. Interaction with KefF is required for optimal activity. The active antiporter may be formed by the heterotetramer, or by an octamer.","['kefC', 'trkC', 'b0047', 'JW0046']",2
P04425,780,"['Glutathione synthetase', 'GSH synthetase']",Homotetramer.,"['gshB', 'gsh-II', 'b2947', 'JW2914']",4
P19317,781,['Probable nitrate reductase molybdenum cofactor assembly chaperone NarW'],Homotetramer.,"['narW', 'b1466', 'JW1461']",4
P0A6T5,782,['GTP cyclohydrolase 1'],"Toroid-shaped homodecamer, composed of two pentamers of five dimers.","['folE', 'b2153', 'JW2140']",10
P0AF32,783,['Respiratory nitrate reductase 2 gamma chain'],"Dimer of heterotrimers each composed of an alpha, a beta and a gamma chain. Alpha and beta are catalytic chains; gamma chains are involved in binding the enzyme complex to the cytoplasmic membrane.","['narV', 'b1465', 'JW1460']",1
P45522,784,"['Glutathione-regulated potassium-efflux system protein KefB', 'K(+)/H(+) antiporter', 'NEM-activable K(+)/H(+) antiporter']",Interacts with the regulatory subunit KefG.,"['kefB', 'trkB', 'b3350', 'JW3313']",1
P0A7I7,785,['GTP cyclohydrolase-2'],Homodimer.,"['ribA', 'b1277', 'JW1269']",2
P33232,786,['L-lactate dehydrogenase'],Forms homooligomers.,"['lldD', 'lctD', 'b3605', 'JW3580']",1
P11349,787,"['Respiratory nitrate reductase 1 beta chain', 'Nitrate reductase A subunit beta', 'Quinol-nitrate oxidoreductase subunit beta']","Dimer of heterotrimers each composed of an alpha, a beta and a gamma chain. Alpha and beta are catalytic chains; gamma chains are involved in binding the enzyme complex to the cytoplasmic membrane.","['narH', 'b1225', 'JW1216']",1
P25552,788,"[""Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase"", 'Guanosine pentaphosphate phosphohydrolase', ""pppGpp-5'-phosphohydrolase""]","Dimer of heterotrimers each composed of an alpha, a beta and a gamma chain. Alpha and beta are catalytic chains; gamma chains are involved in binding the enzyme complex to the cytoplasmic membrane.","['gppA', 'gpp', 'b3779', 'JW5603']",1
P19319,789,['Respiratory nitrate reductase 2 alpha chain'],"Tetramer composed of an alpha, a beta and 2 gamma chains. Alpha and beta are catalytic chains; gamma chain is involved in binding the enzyme complex to the cytoplasmic membrane.","['narZ', 'b1468', 'JW1463']",1
P77252,790,['Uncharacterized protein YkgE'],"Tetramer composed of an alpha, a beta and 2 gamma chains. Alpha and beta are catalytic chains; gamma chain is involved in binding the enzyme complex to the cytoplasmic membrane.","['ykgE', 'b0306', 'JW5041']",1
P76641,791,['Guanine deaminase'],"Tetramer composed of an alpha, a beta and 2 gamma chains. Alpha and beta are catalytic chains; gamma chain is involved in binding the enzyme complex to the cytoplasmic membrane.","['guaD', 'ygfP', 'b2883', 'JW5466']",1
P77433,792,['Uncharacterized protein YkgG'],"Tetramer composed of an alpha, a beta and 2 gamma chains. Alpha and beta are catalytic chains; gamma chain is involved in binding the enzyme complex to the cytoplasmic membrane.","['ykgG', 'b0308', 'JW5042']",1
P77536,793,['Uncharacterized electron transport protein YkgF'],"Tetramer composed of an alpha, a beta and 2 gamma chains. Alpha and beta are catalytic chains; gamma chain is involved in binding the enzyme complex to the cytoplasmic membrane.","['ykgF', 'b0307', 'JW0300']",1
P11350,794,"['Respiratory nitrate reductase 1 gamma chain', 'Cytochrome B-NR', 'Nitrate reductase A subunit gamma', 'Quinol-nitrate oxidoreductase subunit gamma']","Dimer of heterotrimers each composed of an alpha, a beta and a gamma chain. Alpha and beta are catalytic chains; gamma chains are involved in binding the enzyme complex to the cytoplasmic membrane.","['narI', 'chlI', 'b1227', 'JW1218']",1
P0A9M5,795,"['Xanthine-guanine phosphoribosyltransferase', 'XGPRT']",Homotetramer.,"['gpt', 'gpp', 'gxu', 'b0238', 'JW0228']",4
P0A9M2,796,"['Hypoxanthine phosphoribosyltransferase', 'HPRT']",Homotetramer.,"['hpt', 'b0125', 'JW5009']",4
P0A8G3,797,"['Uronate isomerase', 'Glucuronate isomerase', 'Uronic isomerase']",Homotetramer.,"['uxaC', 'ygjX', 'ygjY', 'ygjZ', 'b3092', 'JW3063']",4
P37758,798,"['Nitrate/nitrite transporter NarU', 'Nitrite extrusion protein 2', 'Nitrite facilitator 2']",Homotetramer.,"['narU', 'yddF', 'b1469', 'JW1464']",4
P76473,799,"['Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase', '4-amino-4-deoxy-L-arabinose lipid A transferase', 'Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase', 'Polymyxin resistance protein PmrK', 'Undecaprenyl phosphate-alpha-L-Ara4N transferase']",Homotetramer.,"['arnT', 'pmrK', 'yfbI', 'b2257', 'JW2251']",4
P0A910,800,"['Outer membrane protein A', 'OmpA', 'Outer membrane porin A', 'Outer membrane protein 3A', 'Outer membrane protein B', 'Outer membrane protein II*', 'Outer membrane protein d']","Monomer (PubMed:10764596, PubMed:1370823, PubMed:9808047). Homodimer (PubMed:16079137, PubMed:21697552, PubMed:24746938). Interacts with Lpp (PubMed:3013869). About 10% of the C-terminal periplasmic domain dimerizes when expressed without the N-terminal domain (PubMed:24746938, PubMed:25135663). Interacts with F plasmid-encoded TraN during conjugation (Probable) (PubMed:16272376).","['ompA', 'con', 'tolG', 'tut', 'b0957', 'JW0940']",1
P00722,801,"['Beta-galactosidase', 'Beta-gal']",Homotetramer.,"['lacZ', 'b0344', 'JW0335']",4
P76045,802,['Outer membrane porin G'],Monomer.,"['ompG', 'b1319', 'JW1312']",1
P33363,803,"['Periplasmic beta-glucosidase', 'Beta-D-glucoside glucohydrolase', 'Cellobiase', 'Gentiobiase']",Monomer.,"['bglX', 'yohA', 'b2132', 'JW2120']",1
P24232,804,"['Flavohemoprotein', 'Flavohemoglobin', 'HMP', 'Hemoglobin-like protein', 'Nitric oxide dioxygenase']",Monomer.,"['hmp', 'fsrB', 'hmpA', 'b2552', 'JW2536']",1
P76491,805,"[""5'-deoxynucleotidase YfbR"", ""5'-deoxyribonucleotidase"", ""Nucleoside 5'-monophosphate phosphohydrolase""]",Homodimer.,"['yfbR', 'b2291', 'JW2288']",2
P76773,806,['Porin OmpL'],Homodimer.,"['ompL', 'yshA', 'b3875', 'JW3846']",2
P0ACV6,807,"['Murein peptide amidase A', 'Gamma-D-Glu-Dap amidase', 'Zinc metallocarboxypeptidase MpaA']",Homodimer.,"['mpaA', 'ycjI', 'b1326', 'JW1319']",2
P60844,808,"['Aquaporin Z', 'Bacterial nodulin-like intrinsic protein', 'Water channel AqpZ']",Homotetramer.,"['aqpZ', 'bniP', 'b0875', 'JW0859']",4
P0A840,809,"[""5'/3'-nucleotidase SurE"", 'Exopolyphosphatase', 'Nucleoside monophosphate phosphohydrolase', 'Stationary-phase survival protein SurE']",Monomer and homooligomer in solution. The oligomeric complex consists of at least four subunits.,"['surE', 'ygbC', 'b2744', 'JW2714']",1
P76083,810,['3-hydroxyadipyl-CoA dehydrogenase'],Homotrimer.,"['paaH', 'ydbU', 'b1395', 'JW1390']",3
P0A8Y1,811,"[""Pyrimidine 5'-nucleotidase YjjG"", 'House-cleaning nucleotidase', 'Non-canonical pyrimidine nucleotide phosphatase', ""Nucleoside 5'-monophosphate phosphohydrolase"", 'dUMP phosphatase']","Monomer, homodimer and possibly homotetramer in solution.","['yjjG', 'b4374', 'JW4336']",1
P75742,812,['Dipeptide permease D'],"Monomer, homodimer and possibly homotetramer in solution.","['dtpD', 'ybgH', 'b0709', 'JW0699']",1
P0AGK1,813,"['4-hydroxybenzoate octaprenyltransferase', '4-HB polyprenyltransferase', 'PHB octaprenyl transferase']","Monomer, homodimer and possibly homotetramer in solution.","['ubiA', 'cyr', 'b4040', 'JW4000']",1
P07024,814,['Protein UshA'],Monomer.,"['ushA', 'b0480', 'JW0469']",1
P77589,815,"['3-(3-hydroxy-phenyl)propionate transporter', '3HPP transporter']",Monomer.,"['mhpT', 'orfT', 'yaiK', 'b0353', 'JW5046']",1
P77304,816,['Dipeptide and tripeptide permease A'],Monomer (Probable). Has a crown-like structure with a diameter of 8 nm and a central density.,"['dtpA', 'tppB', 'ydgR', 'b1634', 'JW1626']",1
P61517,817,['Carbonic anhydrase 2'],Homodimer.,"['can', 'cynT2', 'yadF', 'b0126', 'JW0122']",2
P39286,818,['Small ribosomal subunit biogenesis GTPase RsgA'],"Monomer (Probable). All of the protein is associated with ribosomes; the ratio is substoichiometric at 1:200 RsgA/ribosome (PubMed:14973029). Association is tightest with the 30S subunit in the presence of the non-hydrolyzable GTP analog GMP-PNP (PubMed:14973029, PubMed:15466596). 2 cryoelectron microscopy (cryo-EM) structures in complex with 30S ribosomes have been resolved; the protein is determined to bind to different but partially overlapping regions of the 30S ribosomal subunit (PubMed:21788480, PubMed:21960487). One cryo-EM study suggests it contacts ribosomal proteins uS3, uS12 and uS13 as well as 16S rRNA (PubMed:21788480). Another cryo-EM study shows it to bind 16S rRNA, no ribosomal proteins, and to cover the sites of intersubunit bridges B2a, B3 and B7a (PubMed:21960487). Has a significant preference for mature versus immature 30S ribosomes in the presence of GMP-PNP (PubMed:21102555, PubMed:27382067). Another study shows it binds equally well to mature and immature 30S ribosomal subunits in the presence of GMP-PNP (PubMed:25904134).","['rsgA', 'engC', 'yjeQ', 'b4161', 'JW4122']",1
P0ABE9,819,['Carbonic anhydrase 1'],Oligomer.,"['cynT', 'b0339', 'JW0330']",1
P36837,820,['Dipeptide and tripeptide permease B'],Oligomer.,"['dtpB', 'yhiP', 'b3496', 'JW3463']",1
Q47690,821,['Homocysteine S-methyltransferase'],Monomer.,"['mmuM', 'yagD', 'b0261', 'JW0253']",1
P39276,822,['Dipeptide and tripeptide permease C'],Monomer.,"['dtpC', 'yjdL', 'b4130', 'JW4091']",1
P77319,823,['Chaperone protein HscC'],Monomer.,"['hscC', 'ybeW', 'b0650', 'JW0645']",1
P0AEA5,824,"['Protoheme IX farnesyltransferase', 'Heme B farnesyltransferase', 'Heme O synthase']",Monomer.,"['cyoE', 'b0428', 'JW0418']",1
P0A9S1,825,['Lactaldehyde reductase'],Homodimer.,"['fucO', 'b2799', 'JW2770']",2
