,kcat,data_type,MW,kcat_MW
AACPS8,0.016,Other_species,89340.0,0.6447280053727333
ACLS_num1,30.022,Other_species,71547.0,1510.604218206214
ACM6PH,5.7,Other_species,31220,657.2709801409353
ACMANAptspp,1976.6601861297006,fill,166320.0,42784.852513629885
ACMANAtex_num1,1976.6601861297006,fill,38922,182826.59344501625
AAMYL,1976.6601861297006,fill,56639,125637.39949622913
AAMYLpp,1976.6601861297006,fill,75713,93986.19352115122
ADNCYC,4.249180002,Other_species,97586,156.7545345356916
AB6PGH,1.7546153846153847,Other_species,55361,114.0986503967664
ABTA_num1,24.787692307692307,Other_species,45775,1949.4416670167625
ABUTD,3.817037,Other_species,50830,270.3390360023608
ABUTt2pp,1976.6601861297006,fill,51080,139310.4281532287
ABUTtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ACACCT,290.0,Other_species,46486.0,22458.374564384976
ACACT1r_num1,4.775,Other_species,40352,426.0011895321174
ACMUMptspp,1976.6601861297006,fill,140734.0,50563.3085826234
ACMUMtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ACNAMt2pp,1976.6601861297006,fill,53551,132882.2369342668
ACNAMtex_num1,1976.6601861297006,fill,27888,255162.6746294794
ACNML,6.5896,Other_species,32593,727.842174700089
ACOAD1f,13.805043225806452,Other_species,89224,557.0043442672737
ACOAD3f,35.166874054054055,Other_species,89224,1418.9091118375616
ACACT2r_num1,4.1,Other_species,46531,317.20788291676513
ACACT3r_num1,4.775,Other_species,46531,369.4311319335497
ACACT4r_num1,4.1,Other_species,46531,317.20788291676513
ACACT5r_num1,4.775,Other_species,46531,369.4311319335497
ACACT6r_num1,4.1,Other_species,46531,317.20788291676513
ACACT7r_num1,4.1,Other_species,46531,317.20788291676513
ACACT8r_num1,1976.6601861297006,fill,46531,152929.8031434296
ACOAD5f,35.166874054054055,Other_species,89224,1418.9091118375616
ACOAD6f,35.166874054054055,Other_species,89224,1418.9091118375616
ACOAD7f,35.166874054054055,Other_species,89224,1418.9091118375616
ACOAD8f,1976.6601861297006,fill,89224,79754.06471428004
ACOATA,3.8186999999999998,Other_species,42155.0,326.11362827659826
ACACt2pp,1976.6601861297006,fill,47528,149721.7781111539
ACODA,1225.5384615384614,Other_species,42347,104185.38412493118
ADNK1,7.3668518333333335,Other_species,23586,1124.424090562198
ACOLIPAabctex,1976.6601861297006,fill,148608.0,47884.209935312516
ACACtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ACALD_num1,11.03,Other_species,33442,1187.36917648466
ACALDtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ACONTa_num1,5.3,Other_species,93498,204.0685362253738
ACANTHAT,1976.6601861297006,fill,32275,220479.52502143834
ADNUC,2.6190363636363636,Other_species,32561,289.56515184088045
ACBIPGT,2.0895,Other_species,20164,373.0509819480262
ACCOAC,9.260777777777777,Other_species,134572.0,247.7395000445858
ACONTb_num1,202.78,Other_species,93498,7807.739202977604
ACOTA_num1,1.55,Other_species,43665,127.79113706630024
ACPPAT120,1976.6601861297006,fill,46854.0,151875.54253781794
ACPPAT140,1976.6601861297006,fill,46854.0,151875.54253781794
ACPPAT141,1976.6601861297006,fill,46854.0,151875.54253781794
ACPPAT160,1976.6601861297006,fill,46854.0,151875.54253781794
ACPPAT161,1976.6601861297006,fill,46854.0,151875.54253781794
ACCOAL,137.4857142857143,Other_species,72094,6865.3226541539025
ACGAL1Ptex_num1,1976.6601861297006,fill,38922,182826.59344501625
ACGALtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ACGAM1Ptex_num1,1976.6601861297006,fill,38922,182826.59344501625
ACGAMK,37.8369375,Other_species,33043,4122.294434524711
ACGAMT,1976.6601861297006,fill,40957,173742.62446143327
ACPPAT180,1976.6601861297006,fill,46854.0,151875.54253781794
ACPPAT181,1976.6601861297006,fill,46854.0,151875.54253781794
ACPS1_num1,1.0254999999999999,Other_species,21768,169.59757442116867
ACS,932.0363636363636,Other_species,72094,46541.05624727313
ACGAptspp_num1,1976.6601861297006,fill,141609.0,50250.8786169447
ACGAtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ACSERtex_num1,1976.6601861297006,fill,41220,172634.07739124022
ADNt2pp_copy1_num1,1976.6601861297006,fill,46389,153397.93205429998
ACSERtpp_num1,1976.6601861297006,fill,21248,334901.01045119175
ACt4pp,1976.6601861297006,fill,59197,120208.40025790027
ACGK,63.46666666666667,Other_species,27160,8412.37113402062
ACGS,0.22,Other_species,49195,16.09919707287326
ACHBS_num1,27.592727272727274,Other_species,71547.0,1388.3715345411854
ACKr_num1,585.3636363636364,Other_species,43384,48573.41625735504
ADK4,1976.6601861297006,fill,23586,301703.4117725313
ACtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ADA,60.97787881818182,Other_species,36397,6031.276306988339
ADCS,0.2929114,Other_species,71742.0,14.698238688634273
ADMDC,5.005063,Other_species,30385,592.9974263616916
ADD,94.57565277775,Other_species,63739,5341.664444059367
ADNt2pp_copy2,1976.6601861297006,fill,46140,154225.7622467907
ADEt2rpp_num1,1976.6601861297006,fill,48868,145616.2861190743
ADEtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ADNtex,1976.6601861297006,fill,33589,211854.37703018615
ADK1,454.91235714285716,Other_species,23586,69434.60042882583
ADOCBIK,0.191,Other_species,20164,34.10037690934338
ADOCBLS,41.985,Other_species,26386,5728.2649890093235
ADOCBLabcpp,1976.6601861297006,fill,91397.0,77857.8801280887
ANHGMtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ANHMK,1976.6601861297006,fill,39496,180169.55312099762
ALAALAtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ALAGLUE,6.907571428571429,Other_species,34674,717.1730155983488
ALAR_num1,150.58307692307693,Other_species,38845,13955.440260601801
ALATA_D2_num1,1976.6601861297006,fill,45317,157026.64938250373
ANPRT,1.0667619047619048,Other_species,56870,67.52844834082745
ANS,26.371933333333335,Other_species,114364.0,830.1472491343429
ALATA_L_num1,36.076,Other_species,45517,2853.298767493464
ADOCBLtonex,1976.6601861297006,fill,136315.0,52202.44778686808
ALATA_L2_num1,1976.6601861297006,fill,36495,194984.97520391623
ALATRS,11.179833333333333,Other_species,96032,419.10404865044984
ALAabcpp,1976.6601861297006,fill,173064.0,41117.60198577938
ALAt2pp_copy1,1976.6601861297006,fill,51660,137746.35443412547
AOXSr2,0.05125,Other_species,41594,4.435735923450498
AP4AH,250.0,Other_species,31297,28756.749848228264
AP5AH,1.7333333333333332,Other_species,31297,199.38013228104927
APCS,6.3774999999999995,Other_species,32321,710.3431205717645
ALAt4pp,1976.6601861297006,fill,51663,137738.355691054
ALAtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ALCD19,0.55,Other_species,39359,50.30615615234127
APG3PAT120,1976.6601861297006,fill,22193,320640.5925321913
ALCD2x_num1,172.40561286666667,Other_species,35380,17542.685311475412
ADPRDP_num1,21.08502777777778,Other_species,21153,3588.4319009124
ALDD19xr,53.0,Other_species,53699,3553.1387921562787
ALDD2x,15.635898692307691,Other_species,53419,1053.7306069433664
APG3PAT140,1976.6601861297006,fill,22193,320640.5925321913
APG3PAT141,1976.6601861297006,fill,22193,320640.5925321913
APG3PAT160,1976.6601861297006,fill,22193,320640.5925321913
APG3PAT161,1976.6601861297006,fill,22193,320640.5925321913
ALDD2y,16.2793,Other_species,56306,1040.8389869640891
ALDD3y,1976.6601861297006,fill,56306,126380.43316994498
ADPT,15.142607692307692,Other_species,19859,2745.021788222352
ALLK,47.0,Other_species,33821,5002.80890570947
APG3PAT180,1976.6601861297006,fill,22193,320640.5925321913
APG3PAT181,1976.6601861297006,fill,22193,320640.5925321913
APH120,1976.6601861297006,fill,10300,690871.5213657205
ALLPI,3.1599999999999997,Other_species,16073,707.770795744416
ALLTAMH,41.75,Other_species,45694,3289.27211450081
ALLTN,310.85,Other_species,49602,22560.783839361316
ALLTNt2rpp,1976.6601861297006,fill,52456,135656.1054992169
APH140,1976.6601861297006,fill,10300,690871.5213657205
APH141,1976.6601861297006,fill,10300,690871.5213657205
APH160,1976.6601861297006,fill,10300,690871.5213657205
APH161,1976.6601861297006,fill,10300,690871.5213657205
APH180,1976.6601861297006,fill,10300,690871.5213657205
APH181,1976.6601861297006,fill,10300,690871.5213657205
ALLTNtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ALLabcpp,1976.6601861297006,fill,109948.0,64721.29252070908
APPLDHr,3.135854166666667,Other_species,38712,291.616940483571
ALLtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ADSK,62.8,Other_species,22321,10128.578468706599
ALPATE160pp,1976.6601861297006,fill,65389.0,108825.28667003506
ALPATG160pp,1976.6601861297006,fill,65389.0,108825.28667003506
APRAUR,0.3125,Other_species,40338,27.88933511825078
ARAI,323.853380555,Other_species,56074,20791.67118447052
ALR4x,1976.6601861297006,fill,38712,183818.36820796967
ADSL1r,1.5233333333333334,Other_species,51543,106.39660089633898
AM3PA,1976.6601861297006,fill,20536,346512.3037625108
AM4PA,1976.6601861297006,fill,20536,346512.3037625108
ARBTNabcpp,1976.6601861297006,fill,132307.0,53783.826026339666
AM4PCP,1976.6601861297006,fill,33567,211993.22757669503
AMALT1,27.71818181818182,Other_species,78503,1271.1037099913958
AMALT2,27.71818181818182,Other_species,78503,1271.1037099913958
ARBTptspp_num1,1976.6601861297006,fill,139164.0,51133.74629981117
AMALT3,27.71818181818182,Other_species,78503,1271.1037099913958
ARBTtex_num1,1976.6601861297006,fill,40368,176277.66225889124
AMALT4,27.71818181818182,Other_species,78503,1271.1037099913958
ADSL2r,35.741,Other_species,51543,2496.3156975729003
AMANK,133.86666666666667,Other_species,29644,16256.915396032924
AMAOTr,0.22803030000000002,Other_species,47336,17.34217255365895
ARBt2rpp,1976.6601861297006,fill,51684,137682.39048964714
ARBt3ipp,1976.6601861297006,fill,42538,167285.17255317417
ARBtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ARGAGMt7pp,1976.6601861297006,fill,46843,151911.20701208126
AMPMS2,1976.6601861297006,fill,70850,100437.2148209869
AMPN,61.0,Other_species,53995,4067.043244744884
ARGDC,7.7499,Other_species,84425,330.46656795972757
ADSS,1.426625,Other_species,47345,108.47713591720351
ARGDCpp,7.7499,Other_species,73898,377.54255866193944
AMPTASECG_num1,38.08,Other_species,52915,2590.7209675895306
AMPTASEPG_num1,1976.6601861297006,fill,54880,129664.29792395995
ARGORNt7pp,1976.6601861297006,fill,49501,143754.2003205374
AMPtex_num1,1976.6601861297006,fill,40368,176277.66225889124
ARGSL,230.47744444444444,Other_species,50318,16489.50276243094
AGDC,97.44444444444444,Other_species,40949,8566.753766880754
ARGTRS,8.732380952380952,Other_species,64683,486.00979281374435
ARGt3pp,1976.6601861297006,fill,23176,307040.76070361247
ASAD,224.36363636363637,Other_species,40018,20183.644632642587
ASCBptspp,1976.6601861297006,fill,151552.0,46954.02680312317
ASCBtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ASNN_num1,307.69,Other_species,37127,29834.998787944085
ARGtex_num1,1976.6601861297006,fill,38922,182826.59344501625
AGM3PA,1976.6601861297006,fill,20536,346512.3037625108
ASNNpp,307.69,Other_species,36851,30058.45160239885
ASNS1,3.003181818181818,Other_species,62659,172.54431997725058
AGM3PApp_num1,1976.6601861297006,fill,31412,226536.8862239565
ASNS2,2.87,Other_species,36651,281.90226733240564
ASNTRS,3.4086,Other_species,52570,233.4213429712764
AGM3PH,1976.6601861297006,fill,37595,189279.8688673207
ASNt2rpp,1976.6601861297006,fill,54233,131211.1937393639
ASNtex_num1,1976.6601861297006,fill,38922,182826.59344501625
BTNtex_num1,1976.6601861297006,fill,40368,176277.66225889124
BTS5,1976.6601861297006,fill,38648,184122.76625095535
ASO3tex_num1,1976.6601861297006,fill,38922,182826.59344501625
BUTCT,290.0,Other_species,46486.0,22458.374564384976
AGM3Pt2pp,1976.6601861297006,fill,53245,133645.9136081683
BUTSO3abcpp_num1,1976.6601861297006,fill,91221.0,78008.09758791202
BUTSO3tex_num1,1976.6601861297006,fill,38922,182826.59344501625
BUTt2rpp,1976.6601861297006,fill,47528,149721.7781111539
BUTtex_num1,1976.6601861297006,fill,38922,182826.59344501625
BWCOGDS1_num1,1976.6601861297006,fill,77952,91286.64652692583
ASP1DC,3.1066666666666665,Other_species,13834,808.442966604019
ASPCT_num1,103.268333,Other_species,51548.0,7212.03536121673
ASPK_num1,8.608235294117646,Other_species,89120,347.7294328862604
ASPO3,1976.6601861297006,fill,60337,117937.19724326569
ASPO4,1976.6601861297006,fill,60337,117937.19724326569
ASPO6,2.84003,Other_species,60337,169.45005552148766
ASPT,62.4016,Other_species,52356,4290.735732294293
BWCOGDS2_num1,1976.6601861297006,fill,77952,91286.64652692583
BWCOS,1976.6601861297006,fill,44067,161480.85120536733
AGM4PA,1976.6601861297006,fill,20536,346512.3037625108
CA2t3pp,1976.6601861297006,fill,39168,181678.32593103865
CA2tex_num1,134.631875,Other_species,38922,12452.462617542778
ASPTA,508.64454545454544,Other_species,43573,42024.19763698537
ASPTRS,3.769572727272727,Other_species,65913,205.8844509911826
ASPt2_2pp,1976.6601861297006,fill,45436,156615.3858188864
CAT_num1,35581.9375,Other_species,84163,1521986.7994249254
