,UniProtID,proteinNames,txt_subunit,geneNames
0,P22256,"['4-aminobutyrate aminotransferase GabT', '5-aminovalerate transaminase', 'GABA aminotransferase', 'GABA-AT', 'Gamma-amino-N-butyrate transaminase', 'GABA transaminase', 'Glutamate:succinic semialdehyde transaminase', 'L-AIBAT']",Homotetramer.,"['gabT', 'b2662', 'JW2637']"
1,P50457,"['4-aminobutyrate aminotransferase PuuE', 'GABA aminotransferase', 'GABA-AT', 'Gamma-amino-N-butyrate transaminase', 'GABA transaminase', 'Glutamate:succinic semialdehyde transaminase']",Homotetramer.,"['puuE', 'goaG', 'b1302', 'JW1295']"
2,P77674,"['Gamma-aminobutyraldehyde dehydrogenase', 'ABALDH', '1-pyrroline dehydrogenase', '4-aminobutanal dehydrogenase', '5-aminopentanal dehydrogenase']",Homotetramer.,"['patD', 'prr', 'ydcW', 'b1444', 'JW1439']"
3,P25527,"['Gamma-aminobutyric acid permease', 'GABA permease', '4-aminobutyrate carrier', '4-aminobutyrate permease', 'Gamma-aminobutyrate permease']",Monomer.,"['gabP', 'b2663', 'JW2638']"
4,P76459,"['Acetate CoA-transferase subunit beta', 'Acetoacetyl-CoA transferase subunit beta', 'AA-CoA transferase subunit beta', 'Acetyl-CoA:acetoacetate CoA-transferase subunit beta']",Heterotetramer composed of two alpha subunits (AtoD) and two beta subunits (AtoA).,"['atoA', 'b2222', 'JW2216']"
5,P77747,"['Outer membrane porin N', 'Outer membrane protein N', 'Porin OmpN']",Homotrimer.,"['ompN', 'ynaG', 'b1377', 'JW1371']"
6,P25539,['Riboflavin biosynthesis protein RibD'],Homodimer.,"['ribD', 'ribG', 'ybaE', 'b0414', 'JW0404']"
7,P76458,"['Acetate CoA-transferase subunit alpha', 'Acetoacetyl-CoA transferase subunit alpha', 'AA-CoA transferase subunit alpha', 'Acetyl-CoA:acetoacetyl-CoA transferase subunit alpha']",Heterotetramer composed of two alpha subunits (AtoD) and two beta subunits (AtoA).,"['atoD', 'b2221', 'JW2215']"
8,P21151,"['3-ketoacyl-CoA thiolase FadA', 'Acetyl-CoA acyltransferase', 'Beta-ketothiolase', 'Fatty acid oxidation complex subunit beta']",Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['fadA', 'oldA', 'b3845', 'JW5578']"
9,P08202,['L-arabinose isomerase'],Homohexamer.,"['araA', 'b0062', 'JW0061']"
10,P07822,"['Iron(3+)-hydroxamate-binding protein FhuD', 'Ferric hydroxamate uptake protein D', 'Ferrichrome-binding periplasmic protein', 'Iron(III)-hydroxamate-binding protein FhuD']","The complex is composed of two ATP-binding proteins (FhuC), a transmembrane protein (FhuB) and a solute-binding protein (FhuD) (PubMed:34887516). FhuD interacts with FhuB (PubMed:34887516, PubMed:8522527, PubMed:9426146). Substrate-loaded FhuD binds FhuB more strongly than FhuD alone (PubMed:34887516).","['fhuD', 'b0152', 'JW0148']"
11,P07821,"['Iron(3+)-hydroxamate import ATP-binding protein FhuC', 'Ferric hydroxamate uptake protein C', 'Ferrichrome transport ATP-binding protein FhuC', 'Iron(III)-hydroxamate import ATP-binding protein FhuC']","The complex is composed of two ATP-binding proteins (FhuC), a transmembrane protein (FhuB) and a solute-binding protein (FhuD) (PubMed:34887516). FhuC interacts with FhuB (PubMed:1551849).","['fhuC', 'b0151', 'JW0147']"
12,P06972,"['Iron(3+)-hydroxamate import system permease protein FhuB', 'Ferric hydroxamate uptake protein B', 'Ferrichrome transport system permease protein FhuB', 'Ferrichrome uptake protein FhuB', 'Iron(III)-hydroxamate import system permease protein FhuB']","The complex is composed of two ATP-binding proteins (FhuC), a transmembrane protein (FhuB) and a solute-binding protein (FhuD) (PubMed:34887516). FhuB interacts with FhuC (PubMed:1551849). FhuB interacts with FhuD (PubMed:34887516, PubMed:8522527, PubMed:9426146). FhuB binds substrate-loaded FhuD more strongly than FhuD alone (PubMed:34887516).","['fhuB', 'b0153', 'JW0149']"
13,P02931,"['Outer membrane porin F', 'Outer membrane protein 1A', 'Outer membrane protein B', 'Outer membrane protein F', 'Outer membrane protein IA', 'Porin OmpF']","(Microbial infection) Trimeric complexes with colicin E3, BtuB and OmpF can be cross-linked and immunoprecipitated (PubMed:18636093).","['ompF', 'cmlB', 'coa', 'cry', 'tolF', 'b0929', 'JW0912']"
14,P02932,['Outer membrane porin PhoE'],Homotrimer (PubMed:2464593). Forms mixed heterotrimers with OmpC and with OmpF; other mixed heterotrimers are also probable (PubMed:2464593).,"['phoE', 'ompE', 'b0241', 'JW0231']"
15,P06996,"['Outer membrane porin C', 'Outer membrane protein 1B', 'Outer membrane protein C', 'Porin OmpC']","Homotrimer (PubMed:16949612, PubMed:2464593). Forms mixed heterotrimers with OmpF and with PhoE; other mixed heterotrimers are also probable (PubMed:2464593).","['ompC', 'meoA', 'par', 'b2215', 'JW2203']"
16,P76503,"['3-ketoacyl-CoA thiolase FadI', 'ACSs', 'Acetyl-CoA acyltransferase', 'Acyl-CoA ligase', 'Beta-ketothiolase', 'Fatty acid oxidation complex subunit beta']",Heterotetramer of two alpha chains (FadJ) and two beta chains (FadI).,"['fadI', 'yfcY', 'b2342', 'JW2339']"
17,P0AEX9,"['Maltose/maltodextrin-binding periplasmic protein', 'MMBP', 'Maltodextrin-binding protein', 'Maltose-binding protein', 'MBP']","The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malE', 'b4034', 'JW3994']"
18,P76461,['Acetyl-CoA acetyltransferase'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['atoB', 'b2224', 'JW2218']"
19,P68187,['Maltose/maltodextrin import ATP-binding protein MalK'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE). Protein stability and stable complex formation require YidC.","['malK', 'b4035', 'JW3995']"
20,P08722,['PTS system beta-glucoside-specific EIIBCA component'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE). Protein stability and stable complex formation require YidC.","['bglF', 'bglC', 'bglS', 'b3722', 'JW3700']"
21,P76460,['Putative short-chain fatty acid transporter'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE). Protein stability and stable complex formation require YidC.","['atoE', 'b2223', 'JW2217']"
22,P77580,['Acetaldehyde dehydrogenase'],Interacts with MhpE.,"['mhpF', 'mhpE', 'b0351', 'JW0342']"
23,P02916,['Maltose/maltodextrin transport system permease protein MalF'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE). Protein stability and stable complex formation require YidC.","['malF', 'b4033', 'JW3993']"
24,P68183,['Maltose/maltodextrin transport system permease protein MalG'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE). Protein stability and stable complex formation require YidC.","['malG', 'b4032', 'JW3992']"
25,P0A9Q7,['Bifunctional aldehyde-alcohol dehydrogenase AdhE'],"Forms long filaments, called spirosomes (PubMed:31586059, PubMed:32188856, PubMed:32523125). Forms rod-like ultrastructures composed of 20-60 identical subunits (PubMed:1325457). Two monomers form a dimer in a head-to-head arm-crossing fashion through the ALDH domains (PubMed:31586059). Subsequently, two dimers form one helical pitch via the interaction of ADH domains in a tail-to-tail manner (PubMed:31586059, PubMed:32523125). These units are further assembled into spirosomes (PubMed:31586059, PubMed:32188856, PubMed:32523125). Formation of these spirosomes is required for activity (PubMed:31586059, PubMed:32188856, PubMed:32523125). Can be isolated in vitro in a wide range of oligomeric states (PubMed:31586059).","['adhE', 'ana', 'b1241', 'JW1228']"
26,P02943,"['Maltoporin', 'Maltose outer membrane channel', 'Maltose-inducible porin', 'Phage lambda receptor protein']","Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels (PubMed:16079137, PubMed:1988451, PubMed:7824948, PubMed:8805519, PubMed:9299337). An intrasubunit disulfide bond contributes to trimer stability (PubMed:1988451).","['lamB', 'malB', 'b4036', 'JW3996']"
27,P24241,"['PTS system arbutin-, cellobiose-, and salicin-specific EIIBC component']","Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels (PubMed:16079137, PubMed:1988451, PubMed:7824948, PubMed:8805519, PubMed:9299337). An intrasubunit disulfide bond contributes to trimer stability (PubMed:1988451).","['ascF', 'b2715', 'JW5435']"
28,P77567,"['Arylamine N-acetyltransferase', 'Arylhydroxamate N,O-acetyltransferase', 'N-hydroxyarylamine O-acetyltransferase']",Homodimer.,"['nhoA', 'yddI', 'b1463', 'JW1458']"
29,P0AE76,"['Bifunctional adenosylcobalamin biosynthesis protein CobU', 'Adenosylcobinamide kinase', 'Adenosylcobinamide-phosphate guanylyltransferase']",Homodimer.,"['cobU', 'b1993', 'JW1971']"
30,P39196,['Lysophospholipid transporter LplT'],Homodimer.,"['lplT', 'ygeD', 'b2835', 'JW2803']"
31,P31119,['Bifunctional protein Aas'],Homodimer.,"['aas', 'b2836', 'JW2804']"
32,P37666,"['Glyoxylate/hydroxypyruvate reductase B', '2-ketoaldonate reductase', '2-ketogluconate reductase', '2KR']",Homodimer.,"['ghrB', 'tkrA', 'yiaE', 'b3553', 'JW5656']"
33,P0AE26,['L-arabinose transport system permease protein AraH'],Homodimer.,"['araH', 'b4460', 'JW1887']"
34,P0A9Q5,['Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['accD', 'dedB', 'usg', 'b2316', 'JW2313']"
35,P02924,"['L-arabinose-binding periplasmic protein', 'ABP']","Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['araF', 'b1901', 'JW1889']"
36,P24182,['Biotin carboxylase'],"Acetyl-CoA carboxylase is a heterohexamer of biotin carboxyl carrier protein, biotin carboxylase and the two subunits of carboxyl transferase in a 2:2 complex.","['accC', 'fabG', 'b3256', 'JW3224']"
37,P0AAF3,['Arabinose import ATP-binding protein AraG'],"The complex is composed of two ATP-binding proteins (AraG), two transmembrane proteins (AraH) and a solute-binding protein (AraF).","['araG', 'b1900', 'JW1888']"
38,P0AE24,['Arabinose-proton symporter'],"The complex is composed of two ATP-binding proteins (AraG), two transmembrane proteins (AraH) and a solute-binding protein (AraF).","['araE', 'b2841', 'JW2809']"
39,P31122,['Sugar efflux transporter'],"The complex is composed of two ATP-binding proteins (AraG), two transmembrane proteins (AraH) and a solute-binding protein (AraF).","['sotB', 'ydeA', 'b1528', 'JW1521']"
40,P46891,['HMP-PP phosphatase'],"The complex is composed of two ATP-binding proteins (AraG), two transmembrane proteins (AraH) and a solute-binding protein (AraF).","['cof', 'b0446', 'JW0436']"
41,P0AEI6,['Phosphatase NudJ'],Monomer.,"['nudJ', 'ymfB', 'b1134', 'JW1120']"
42,P75895,['Putative carbamate hydrolase RutD'],Monomer.,"['rutD', 'ycdJ', 'b1009', 'JW0994']"
43,P0A6Q6,"['3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ', '(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase', '(3R)-hydroxymyristoyl-ACP dehydrase', '17 kDa actomyosin component', 'Beta-hydroxyacyl-ACP dehydratase']",Oligomer.,"['fabZ', 'sefA', 'yaeA', 'b0180', 'JW0175']"
44,P0A6Q3,"['3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase', '3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA', 'Beta-hydroxydecanoyl thioester dehydrase', 'Trans-2-decenoyl-[acyl-carrier-protein] isomerase']",Homodimer.,"['fabA', 'b0954', 'JW0937']"
45,P77397,['3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase'],Homodimer.,"['mhpA', 'b0347', 'JW0338']"
46,P37677,"['L-xylulose/3-keto-L-gulonate kinase', 'L-xylulokinase']",Homodimer.,"['lyx', 'lyxK', 'sgbK', 'xylK', 'yiaP', 'b3580', 'JW3552']"
47,P0AEK2,"['3-oxoacyl-[acyl-carrier-protein] reductase FabG', '3-ketoacyl-acyl carrier protein reductase', 'Beta-Ketoacyl-acyl carrier protein reductase', 'Beta-ketoacyl-ACP reductase']",Homotetramer.,"['fabG', 'b1093', 'JW1079']"
48,P0ABD8,"['Biotin carboxyl carrier protein of acetyl-CoA carboxylase', 'BCCP']",Homodimer.,"['accB', 'fabE', 'b3255', 'JW3223']"
49,P0ABD5,['Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['accA', 'b0185', 'JW0180']"
50,P0A953,"['3-oxoacyl-[acyl-carrier-protein] synthase 1', '3-oxoacyl-[acyl-carrier-protein] synthase I', 'Beta-ketoacyl-ACP synthase I', 'KAS I']",Homodimer.,"['fabB', 'fabC', 'b2323', 'JW2320']"
51,P27550,"['Acetyl-coenzyme A synthetase', 'Acetate--CoA ligase', 'Acyl-activating enzyme']",Forms a 1:1 complex with CobB/NAD-dependent deacetylase.,"['acs', 'yfaC', 'b4069', 'JW4030']"
52,P0AAI5,"['3-oxoacyl-[acyl-carrier-protein] synthase 2', '3-oxoacyl-[acyl-carrier-protein] synthase II', 'Beta-ketoacyl-ACP synthase II', 'KAS II']",Homodimer.,"['fabF', 'fabJ', 'b1095', 'JW1081']"
53,P75959,['N-acetyl-D-glucosamine kinase'],Homodimer.,"['nagK', 'ycfX', 'b1119', 'JW1105']"
54,P0C7L2,"['3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase']",Homodimer.,"['paaJ', 'paaE', 'ydbW', 'b1397', 'JW1392']"
55,P0AC78,"['Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase', 'UDP-GlcNAc:undecaprenyl-phosphate GlcNAc-1-phosphate transferase', 'Undecaprenyl-phosphate GlcNAc-1-phosphate transferase']",Homodimer.,"['wecA', 'rfe', 'b3784', 'JW3758']"
56,P08839,['Phosphoenolpyruvate-protein phosphotransferase'],Homodimer.,"['ptsI', 'b2416', 'JW2409']"
57,P0AFH2,['Oligopeptide transport system permease protein OppB'],"The complex is composed of two ATP-binding proteins (OppD and OppF), two transmembrane proteins (OppB and OppC) and a solute-binding protein (OppA or MppA).","['oppB', 'b1244', 'JW1236']"
58,P76027,['Oligopeptide transport ATP-binding protein OppD'],"The complex is composed of two ATP-binding proteins (OppD and OppF), two transmembrane proteins (OppB and OppC) and a solute-binding protein (OppA or MppA).","['oppD', 'b1246', 'JW1238']"
59,P77737,['Oligopeptide transport ATP-binding protein OppF'],"The complex is composed of two ATP-binding proteins (OppD and OppF), two transmembrane proteins (OppB and OppC) and a solute-binding protein (OppA or MppA).","['oppF', 'b1247', 'JW1239']"
60,P0AA04,['Phosphocarrier protein HPr'],"The complex is composed of two ATP-binding proteins (OppD and OppF), two transmembrane proteins (OppB and OppC) and a solute-binding protein (OppA or MppA).","['ptsH', 'hpr', 'b2415', 'JW2408']"
61,P0AFH6,['Oligopeptide transport system permease protein OppC'],"The complex is composed of two ATP-binding proteins (OppD and OppF), two transmembrane proteins (OppB and OppC) and a solute-binding protein (OppA or MppA).","['oppC', 'b1245', 'JW1237']"
62,P69783,"['PTS system glucose-specific EIIA component', 'EIIA-Glc', 'EIII-Glc', 'Glucose-specific phosphotransferase enzyme IIA component']",Heterodimer with glycerol kinase (glpk).,"['crr', 'gsr', 'iex', 'tgs', 'treD', 'b2417', 'JW2410']"
63,P69786,['PTS system glucose-specific EIICB component'],"Homodimer (Probable) (PubMed:10562420, PubMed:12716891, PubMed:18319344). The dephosphorylated form interacts with the Mlc transcriptional repressor (PubMed:11032803, PubMed:11157755, PubMed:12529317, PubMed:18319344). Mlc and the EIIB domain form a complex with the 1:1 stoichiometry (PubMed:18319344).","['ptsG', 'glcA', 'umg', 'b1101', 'JW1087']"
64,P77348,['Periplasmic murein peptide-binding protein MppA'],"The complex is composed of two ATP-binding proteins (OppD and OppF), two transmembrane proteins (OppB and OppC) and a solute-binding protein (MppA).","['mppA', 'ynaH', 'b1329', 'JW1322']"
65,P09323,['PTS system N-acetylglucosamine-specific EIICBA component'],"The complex is composed of two ATP-binding proteins (OppD and OppF), two transmembrane proteins (OppB and OppC) and a solute-binding protein (MppA).","['nagE', 'pstN', 'b0679', 'JW0665']"
66,P46883,"['Primary amine oxidase', '2-phenylethylamine oxidase', 'Copper amine oxidase', 'Tyramine oxidase']",Homodimer.,"['tynA', 'maoA', 'b1386', 'JW1381']"
67,P0A6C8,"['Acetylglutamate kinase', 'N-acetyl-L-glutamate 5-phosphotransferase', 'NAG kinase', 'NAGK']",Homodimer.,"['argB', 'b3959', 'JW5553']"
68,P0A6C5,['Amino-acid acetyltransferase'],Homohexamer.,"['argA', 'b2818', 'JW2786']"
69,P00934,"['Threonine synthase', 'TS']",Homohexamer.,"['thrC', 'b0004', 'JW0003']"
70,P00894,"['Acetolactate synthase isozyme 3 small subunit', 'ALS-III', 'Acetohydroxy-acid synthase III small subunit', 'AHAS-III']",Dimer of large and small chains.,"['ilvH', 'brnP', 'b0078', 'JW0077']"
71,P76008,"['Murein tetrapeptide carboxypeptidase', 'LD-carboxypeptidase A', 'Muramoyltetrapeptide carboxypeptidase']",Dimer of large and small chains.,"['ldcA', 'ycgQ', 'b1192', 'JW1181']"
72,P60061,['Arginine/agmatine antiporter'],Homodimer; each subunit has its own individual transport capacity.,"['adiC', 'aniC', 'yjdD', 'yjdE', 'b4115', 'JW4076']"
73,P00893,"['Acetolactate synthase isozyme 3 large subunit', 'AHAS-III', 'ALS-III', 'Acetohydroxy-acid synthase III large subunit']",Dimer of large and small chains.,"['ilvI', 'b0077', 'JW0076']"
74,P08142,"['Acetolactate synthase isozyme 1 large subunit', 'AHAS-I']",Dimer of large and small chains.,"['ilvB', 'b3671', 'JW3646']"
75,P28629,"['Biodegradative arginine decarboxylase', 'ADC']","Homodecamer. The basic unit is a homodimer, organized into a ring of giving a pentamer of five homodimers.","['adiA', 'adi', 'b4117', 'JW5731']"
76,P0ADF8,['Acetolactate synthase isozyme 1 small subunit'],Dimer of large and small chains.,"['ilvN', 'b3670', 'JW3645']"
77,P11868,['Propionate kinase'],Homodimer.,"['tdcD', 'yhaA', 'b3115', 'JW5806']"
78,P21170,"['Biosynthetic arginine decarboxylase', 'ADC']",Homotetramer.,"['speA', 'b2938', 'JW2905']"
79,P0A6A3,['Acetate kinase'],Homodimer.,"['ackA', 'ack', 'b2296', 'JW2293']"
80,P0A9P9,['5-keto-D-gluconate 5-reductase'],Homodimer.,"['idnO', 'yjgU', 'b4266', 'JW4223']"
81,P39344,"['Gnt-II system L-idonate transporter', '5-keto-D-gluconate transporter', 'L-idonate/5-ketogluconate/gluconate transporter']",Homodimer.,"['idnT', 'gntW', 'yjgT', 'b4265', 'JW4222']"
82,P33221,"['Formate-dependent phosphoribosylglycinamide formyltransferase', ""5'-phosphoribosylglycinamide transformylase 2"", 'Formate-dependent GAR transformylase', 'GAR transformylase 2', 'GART 2', 'GAR transformylase T', 'Non-folate glycinamide ribonucleotide transformylase', 'Phosphoribosylglycinamide formyltransferase 2']",Homodimer.,"['purT', 'b1849', 'JW1838']"
83,P0AF12,"[""5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"", ""5'-deoxyadenosine nucleosidase""]",Homodimer.,"['mtnN', 'mtn', 'pfs', 'yadA', 'b0159', 'JW0155']"
84,P0AAE5,['Putative arginine/ornithine antiporter'],Homodimer.,"['ydgI', 'b1605', 'JW1597']"
85,P76535,"['N-acetylmuramic acid 6-phosphate etherase', 'MurNAc-6-P etherase', 'N-acetylmuramic acid 6-phosphate hydrolase', 'N-acetylmuramic acid 6-phosphate lyase']",Homodimer.,"['murQ', 'yfeU', 'b2428', 'JW2421']"
86,P11447,"['Argininosuccinate lyase', 'ASAL']",Homodimer.,"['argH', 'b3960', 'JW3932']"
87,P27836,"['UDP-N-acetyl-D-mannosaminuronic acid transferase', 'UDP-ManNAcA transferase']",Homodimer.,"['wecG', 'rffM', 'b3794', 'JW3770']"
88,P0A6E4,['Argininosuccinate synthase'],Homotetramer.,"['argG', 'b3172', 'JW3140']"
89,P17115,['Arabinose 5-phosphate isomerase GutQ'],Homotetramer.,"['gutQ', 'srlQ', 'b2708', 'JW5431']"
90,P69805,"['PTS system mannose-specific EIID component', 'EII-M-Man', 'EIID-Man', 'Mannose permease IID component']","Homotrimer of protomers that are composed of two subunits, IIC and IID.","['manZ', 'gptB', 'ptsM', 'b1819', 'JW1808']"
91,P45395,['Arabinose 5-phosphate isomerase KdsD'],Homotetramer.,"['kdsD', 'yrbH', 'b3197', 'JW3164']"
92,P11875,['Arginine--tRNA ligase'],Monomer.,"['argS', 'b1876', 'JW1865']"
93,P69801,"['PTS system mannose-specific EIIC component', 'EII-P-Man', 'EIIC-Man', 'Mannose permease IIC component']","Homotrimer of protomers that are composed of two subunits, IIC and IID.","['manY', 'pel', 'ptsP', 'b1818', 'JW1807']"
94,P0A6A8,"['Acyl carrier protein', 'ACP', 'Cytosolic-activating factor', 'CAF', 'Fatty acid synthase acyl carrier protein']",Interacts with MukB.,"['acpP', 'b1094', 'JW1080']"
95,P69797,"['PTS system mannose-specific EIIAB component', 'EIIAB-Man', 'EIII-Man']",Homodimer.,"['manX', 'gptB', 'ptsL', 'b1817', 'JW1806']"
96,P56258,"['TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase', '4-alpha-L-fucosyltransferase', 'TDP-Fuc4NAc:lipid II Fuc4NAc transferase', 'Fuc4NAc transferase']",Homodimer.,"['wecF', 'rffT', 'yifM', 'b4481', 'JW5596']"
97,P77272,['PTS system N-acetylmuramic acid-specific EIIBC component'],Homodimer.,"['murP', 'yfeV', 'b2429', 'JW2422']"
98,P41036,"['Sialic acid transporter NanT', 'Sialic acid permease', 'Sialic acid/H(+) symporter']",Homodimer.,"['nanT', 'b3224', 'JW3193']"
99,P30859,['Putative ABC transporter arginine-binding protein 2'],"The complex is composed of two ATP-binding proteins (ArtP), two transmembrane proteins (ArtM and ArtQ) and two solute-binding proteins (ArtJ and ArtI).","['artI', 'b0863', 'JW0847']"
100,P69856,"['N-acetylneuraminic acid outer membrane channel protein NanC', 'N-acetylneuraminic acid-inducible outer membrane channel', 'NanR-regulated channel', 'Porin NanC']",Monomer.,"['nanC', 'yjhA', 'b4311', 'JW5778']"
101,P26612,['Cytoplasmic alpha-amylase'],Monomer.,"['amyA', 'yedC', 'b1927', 'JW1912']"
102,P0A6L4,"['N-acetylneuraminate lyase', 'N-acetylneuraminate pyruvate-lyase', 'N-acetylneuraminic acid aldolase', 'NALase', 'Sialate lyase', 'Sialic acid aldolase', 'Sialic acid lyase']",Homotetramer.,"['nanA', 'npl', 'b3225', 'JW3194']"
103,P07109,['Histidine/lysine/arginine/ornithine transport ATP-binding protein HisP'],"The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).","['hisP', 'b2306', 'JW2303']"
104,Q47146,['Acyl-coenzyme A dehydrogenase'],"The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).","['fadE', 'yafH', 'b0221', 'JW5020']"
105,P52094,['Histidine/lysine/arginine/ornithine transport system permease protein HisQ'],"The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).","['hisQ', 'b2308', 'JW2305']"
106,P0AAF6,['Arginine transport ATP-binding protein ArtP'],"The complex is composed of two ATP-binding proteins (ArtP), two transmembrane proteins (ArtM and ArtQ) and two solute-binding proteins (ArtJ and ArtI).","['artP', 'b0864', 'JW0848']"
107,P25718,['Periplasmic alpha-amylase'],Monomer.,"['malS', 'b3571', 'JW3543']"
108,P0A6R0,"['Beta-ketoacyl-[acyl-carrier-protein] synthase III', '3-oxoacyl-[acyl-carrier-protein] synthase 3', '3-oxoacyl-[acyl-carrier-protein] synthase III', 'EcFabH']",Homodimer.,"['fabH', 'b1091', 'JW1077']"
109,P0AEU3,['Histidine/lysine/arginine/ornithine transport system permease protein HisM'],"The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).","['hisM', 'b2307', 'JW2304']"
110,P0AE34,['Arginine ABC transporter permease protein ArtQ'],"The complex is composed of two ATP-binding proteins (ArtP), two transmembrane proteins (ArtM and ArtQ) and two solute-binding proteins (ArtJ and ArtI).","['artQ', 'b0862', 'JW0846']"
111,Q46829,['6-phospho-beta-glucosidase BglA'],Homotetramer.,"['bglA', 'bglD', 'yqfC', 'b2901', 'JW2869']"
112,P23908,['Acetylornithine deacetylase'],Homodimer.,"['argE', 'b3957', 'JW3929']"
113,P30860,['ABC transporter arginine-binding protein 1'],"The complex is composed of two ATP-binding proteins (ArtP), two transmembrane proteins (ArtM and ArtQ) and two solute-binding proteins (ArtJ and ArtI).","['artJ', 'b0860', 'JW0844']"
114,P0ADV9,['Lipopolysaccharide export system protein LptC'],"Component of the lipopolysaccharide transport and assembly complex. Interacts with LptA and the LptBFG transporter complex. When overexpressed, can form homodimers in vivo.","['lptC', 'yrbK', 'b3199', 'JW3166']"
115,P0AE30,['Arginine ABC transporter permease protein ArtM'],"The complex is composed of two ATP-binding proteins (ArtP), two transmembrane proteins (ArtM and ArtQ) and two solute-binding proteins (ArtJ and ArtI).","['artM', 'b0861', 'JW0845']"
116,P0ADC6,['Lipopolysaccharide export system permease protein LptG'],Component of the lipopolysaccharide transport and assembly complex. The LptBFG transporter is composed of two ATP-binding proteins (LptB) and two transmembrane proteins (LptF and LptG).,"['lptG', 'yjgQ', 'b4262', 'JW5760']"
117,P09551,"['Lysine/arginine/ornithine-binding periplasmic protein', 'LAO-binding protein']","The complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).","['argT', 'b2310', 'JW2307']"
118,P0AF98,['Lipopolysaccharide export system permease protein LptF'],Component of the lipopolysaccharide transport and assembly complex. The LptBFG transporter is composed of two ATP-binding proteins (LptB) and two transmembrane proteins (LptF and LptG).,"['lptF', 'yjgP', 'b4261', 'JW4218']"
119,P11667,['Arginine exporter protein ArgO'],Monomer.,"['argO', 'yggA', 'b2923', 'JW2890']"
120,P0A9V1,['Lipopolysaccharide export system ATP-binding protein LptB'],Component of the lipopolysaccharide transport and assembly complex. The LptBFG transporter is composed of two ATP-binding proteins (LptB) and two transmembrane proteins (LptF and LptG).,"['lptB', 'yhbG', 'b3201', 'JW3168']"
