,UniProtID,proteinNames,txt_subunit,geneNames
1060,P42630,"['L-serine dehydratase TdcG', 'SDH']",Dimer of homotrimers.,"['tdcG', 'yhaP', 'yhaQ', 'b4471', 'JW5520']"
1061,P27253,"['Methylmalonyl-CoA mutase', 'MCM']",Homodimer. Interacts with ArgK.,"['scpA', 'sbm', 'yliK', 'b2917', 'JW2884']"
1062,P69490,"['Cytochrome c-type biogenesis protein CcmE', 'Cytochrome c maturation protein E', 'Heme chaperone CcmE']",Forms a ternary complex with CcmC and CcmD. Interacts with CcmF. Shuttles between CcmC and CcmF for heme delivery.,"['ccmE', 'yejS', 'b2197', 'JW2185']"
1063,P16095,"['L-serine dehydratase 1', 'SDH 1']",Forms a ternary complex with CcmC and CcmD. Interacts with CcmF. Shuttles between CcmC and CcmF for heme delivery.,"['sdaA', 'b1814', 'JW1803']"
1064,P0ABM1,['Heme exporter protein C'],Forms a ternary complex with CcmC and CcmD. Interacts with CcmF. Shuttles between CcmC and CcmF for heme delivery.,"['ccmC', 'yejT', 'yejU', 'b2199', 'JW2187']"
1065,P00550,['PTS system mannitol-specific EIICBA component'],Homodimer.,"['mtlA', 'b3599', 'JW3573']"
1066,P0A8L1,"['Serine--tRNA ligase', 'Seryl-tRNA synthetase', 'SerRS', 'Seryl-tRNA(Ser/Sec) synthetase']","Homodimer (PubMed:7537870). The tRNA molecule binds across the dimer, one part binds the N-terminus of the first SerRS subunit and the other part to the active site of the second subunit (PubMed:7537870).","['serS', 'b0893', 'JW0876']"
1067,P24215,['Mannonate dehydratase'],"Homodimer (PubMed:7537870). The tRNA molecule binds across the dimer, one part binds the N-terminus of the first SerRS subunit and the other part to the active site of the second subunit (PubMed:7537870).","['uxuA', 'b4322', 'JW4285']"
1068,P30748,"['Molybdopterin synthase sulfur carrier subunit', 'MPT synthase subunit 1', 'Molybdenum cofactor biosynthesis protein D', 'Molybdopterin-converting factor small subunit', 'Molybdopterin-converting factor subunit 1', 'Sulfur carrier protein MoaD']",Heterotetramer of 2 MoaD subunits and 2 MoaE subunits. Forms a stable heterotetrameric complex of 2 MoaD and 2 MoeB during adenylation of MoaD by MoeB. During catalysis MoaD shuttles between the two heterotetrameric complexes.,"['moaD', 'chlA4', 'chlM', 'b0784', 'JW0767']"
1069,P33931,['Cytochrome c biogenesis ATP-binding export protein CcmA'],The complex is composed of two ATP-binding proteins (CcmA) and two transmembrane proteins (CcmB).,"['ccmA', 'yejW', 'b2201', 'JW5366']"
1070,P0ABL8,['Heme exporter protein B'],The complex is composed of two ATP-binding proteins (CcmA) and two transmembrane proteins (CcmB).,"['ccmB', 'yejV', 'b2200', 'JW2188']"
