reactions,data_type,kcat,km,MW,kcat_MW,catalytic_efficiency
HCO3E_reverse_num1,predict,37382.22528794785,0.0082635600375642,25096.479300000028,5362346.225058433,4861821.942648028
HCO3E_reverse_num2,predict,78538.2129862138,0.0052914405740523,23763.997000000003,11897727.758102713,3073687.3713368373
TPI_reverse,predict,15758.891341451752,0.0003249355209782,26971.50249999998,2103405.578878164,11516601.989082502
TPI,predict,835.023967200319,0.0002280074399971,26971.50249999998,111454.16470295456,11179977.595387012
PTAr_num1,predict,1515.1575112529003,0.0002252140952073,77171.18800000039,70681.3926527918,10556431.448139971
PTAr_num2,predict,10326.33657303988,0.0001497504274093,36066.3228,1030734.734702246,15678409.720481245
ACKr_num2,predict,2828.9832443250716,0.000690583555162,43289.950100000045,235258.75303723782,1798501.0987401216
PTAr_reverse_num1,predict,1194.161834897265,0.0002175569949742,77171.18800000039,55707.09376186008,4959124.441930871
PTAr_reverse_num2,predict,1208.0738262345087,0.0001446590319016,36066.3228,120585.2284570644,7365306.730087433
ACKr_num1,predict,1530.3574044916681,0.0007330233150184,43383.618700000006,126990.02114754444,1332758.0961311036
PGI,predict,6228.527333666312,0.0005933629654432,61529.00370000017,364424.85743026366,1536773.926273544
PGM_num1,predict,8.82087320754433,0.0005270627408528,56193.24160000009,565.1060989362738,1673590.7367065917
PGM_reverse_num1,predict,4480.773904754869,0.0004295783004955,56193.24160000009,287059.18359259603,1724517.6080552978
PGI_reverse,predict,3274.2103776577706,0.0002971362949388,61529.00370000017,191570.7495775353,2362601.286825965
MDH,predict,3056.2903437525642,6.552567375780258e-05,32336.896699999983,340250.49897596514,10229520.344019547
MDH_reverse,predict,6.445821129486953,9.416465517409488e-05,32336.896699999983,717.5999688972332,6845266.005137167
PTA2,predict,493.7990456677524,9.53670284403893e-05,77171.18800000039,23035.49563606433,6410011.04726846
ACKr_reverse_num2,predict,2181.1591619709875,9.794086511837078e-05,43289.950100000045,181385.58637644505,5768005.518110756
MAN6PI,predict,4055.5832466185866,0.0003718857492082,42849.41950000005,340730.39630856365,1201874.216110278
ACKr_reverse_num1,predict,4.443567492861546,0.0001039595281763,43383.618700000006,368.7300288369343,4274324.413367779
GLYALDtpp_reverse,predict,267.96686515315474,0.0003080539050614,29779.630900000004,32393.978212515623,1428520.5231394148
GLYALDtpp,predict,402.08583219116787,0.0003080539050614,29779.630900000004,48607.35180865537,1428520.5231394148
SUCDi,predict,441.8997074279414,0.0001832290329158,64421.13070000015,13441.010984137807,2356013.8506772537
THMabcpp,predict,2642.399511619742,7.956857441966557e-05,59532.45990000008,78815.98110598692,5320505.098407414
MAN6PI_reverse,predict,202.05649805678541,0.0001945510823885,42849.41950000005,16975.805074895514,2138106.083430087
MGSA,predict,1375.1615817377149,0.0001345450195692,16918.38119999999,292615.56621361483,2690080.1785491053
MALDtex_reverse_num3,predict,3022.6441685435093,0.0001996007077784,38921.51909999999,279575.9070656787,1768526.30009141
MALDtex_num3,predict,1305.3218434165974,0.0001996007077784,38921.51909999999,120734.20423869716,1768526.30009141
G6PDH2r,predict,2490.0744329799513,0.0001026597548361,55703.77830000008,160927.46726172813,3376701.642904388
MALDtex_num2,predict,800.6749620562127,0.0002022360676278,41219.34330000004,69929.05836523512,1696680.0475489465
MALDtex_reverse_num2,predict,2637.0740529571303,0.0002022360676278,41219.34330000004,230315.8136594006,1696677.253225763
MALtex_reverse_num1,predict,1418.5037031134455,0.0002291282157569,38921.51909999999,131202.82684979797,1437288.3242806045
MALtex_num1,predict,100.66491455499256,0.0002291275868248,38921.51909999999,9310.882534334927,1437286.7461990265
GAL1PPpp,predict,1505.4702161387775,0.0001035847881955,45682.38450000005,118638.57014949806,3093850.029843453
MALtex_num3,predict,20.35346715530092,0.0002321529221953,41219.34330000004,1777.6237051084522,1378897.0764851188
MALtex_reverse_num3,predict,331.0747954055105,0.0002321526673012,41219.34330000004,28915.289959503953,1378895.5625149943
GLYALDtex_num1,predict,3.193887890729041,0.0002885038893927,38921.51909999999,295.4148931618795,1107051.9352276905
GLYALDtex_reverse_num1,predict,1356.1235392172175,0.0002885038893927,38921.51909999999,125433.04716957937,1107050.1119841791
MALDtex_num1,predict,1705.3152371613808,0.0001973628628408,40367.58979999997,152080.78768628824,1591046.2562738012
MALDtex_reverse_num1,predict,1168.372788300014,0.0001973628628408,40367.58979999997,104196.0161287621,1591046.2562738012
GLYALDtex_reverse_num3,predict,922.6924373875964,0.0002923124101761,41219.34330000004,80585.77620753468,1062073.3662746516
