reaction_id,scaling_factor
HCO3E_reverse_num1,0.9304625850914254
HCO3E_reverse_num2,4.828890967428277
TPI_reverse,4.2111829896777095
TPI,0.32757367215827904
PTAr_num1,0.6373017097942182
PTAr_num2,4.3982123733641565
ACKr_num2,2.2777362594969204
PTAr_reverse_num1,1.1068407227353116
PTAr_reverse_num2,1.1338538601213446
ACKr_num1,1.566476021610737
PGI,6.830538676056138
PGM_num1,0.01
PGM_reverse_num1,6.048435613036896
PGI_reverse,4.664020394031937
MDH,4.559611535269374
MDH_reverse,0.01
PTA2,0.807780226005183
ACKr_reverse_num2,3.860981802452193
MAN6PI,9.07370729969697
ACKr_reverse_num1,0.01
GLYALDtpp_reverse,0.6089307320510516
GLYALDtpp,0.9137040880169496
SUCDi,1.0236502229270446
THMabcpp,6.241716507725702
MAN6PI_reverse,0.48574676975612907
MGSA,3.7994512820413426
MALDtex_reverse_num3,8.56275315736386
MALDtex_num3,3.6978050054357876
G6PDH2r,7.183224126850652
MALDtex_num2,2.3334456137422226
MALDtex_reverse_num2,7.685364608590538
MALtex_reverse_num1,4.307328583133215
MALtex_num1,0.3056731745444842
GAL1PPpp,4.697609666327418
MALtex_num3,0.06358173801202738
MALtex_reverse_num3,1.034239373960773
GLYALDtex_num1,0.01
GLYALDtex_reverse_num1,4.246003050407032
MALDtex_num1,5.4307077275584055
MALDtex_reverse_num1,3.7207731402504236
GLYALDtex_reverse_num3,2.972043688022536
GLYALDtex_num3,0.7637299221114079
CYNTtex_num1,0.01
CYNTtex_reverse_num1,6.755691828665384
G1PPpp,8.348840307138687
CYNTtex_reverse_num3,2.7963347072040383
CYNTtex_num3,4.450209707297776
PGK,0.01
L_LACt2rpp_num1,0.3729041786119868
L_LACt2rpp_reverse_num1,1.0434079127673754
MALtex_num4,0.01
MALtex_reverse_num4,5.203555602730196
PFK_num2,0.01
MALDtex_reverse_num4,8.571529039623819
MALDtex_num4,2.3650737254053897
GLYALDtex_num4,3.780431105525576
GLYALDtex_reverse_num4,2.5559126207024363
L_LACt2rpp_reverse_num2,5.8187602524741315
L_LACt2rpp_num2,2.1503667023762167
GLCUR1Ptex_num1,8.033931750290392
GLCUR1Ptex_reverse_num1,0.9743867135799535
CYNTtex_num4,0.01
CYNTtex_reverse_num4,2.2079921699789806
PGM_num3,1.9862255809382887
FRUURtex_num1,1.6636056185829866
FRUURtex_reverse_num1,5.263248399488873
GLCUR1Ptex_num3,0.2520632398060848
GLCUR1Ptex_reverse_num3,0.01
MALtex_reverse_num2,2.296204586918084
MALtex_num2,3.596786783392048
FRUURtex_num3,5.839939887835566
FRUURtex_reverse_num3,0.01
GLYALDtex_num2,5.499141555114719
GLYALDtex_reverse_num2,2.1250339946158605
PHYTSpp,1.588461783938461
CYNTtex_num2,0.2736844433355674
CYNTtex_reverse_num2,0.01
G3PAT180,2.860348279945792
FRUtex_reverse_num1,2.1319171781083748
FRUtex_num1,1.9055157180708275
TKT1,9.987498055337978
GLCUR1Ptex_num4,2.602404486353898
GLCUR1Ptex_reverse_num4,4.101371804580979
GLYCLTt2rpp_num1,2.330943290875781
GLYCLTt2rpp_reverse_num1,1.4587437218797776
D_LACt2pp_num1,7.7799527991930155
D_LACt2pp_reverse_num1,2.350410878918609
FRUtex_reverse_num3,4.903982662014682
FRUtex_num3,4.5192949875919135
MLTG5,1.8977494163285455
FRUURtex_num4,1.2987609235471484
FRUURtex_reverse_num4,1.1522595153721402
GLCNtex_reverse_num1,0.804914983156481
GLCNtex_num1,0.3935603657579183
GALCTNtex_reverse_num1,0.2990761299114135
GALCTNtex_num1,1.3754142817244377
MLTG4,1.868311671159445
GLCNtex_reverse_num3,5.4304887852738934
GLCNtex_num3,7.1093729369909555
GLYCLTt2rpp_reverse_num2,1.4461707949585083
GLYCLTt2rpp_num2,0.01
D_LACt2pp_num2,1.6258484744567592
D_LACt2pp_reverse_num2,0.07368356490797982
PGM_reverse_num3,6.61681523939583
GALCTNtex_num3,0.320180154432281
GALCTNtex_reverse_num3,9.82129548903033
GLCURtex_reverse_num1,0.01
GLCURtex_num1,7.129712891511315
GLYC3Ptex_num1,0.3583703834435944
GLYC3Ptex_reverse_num1,4.110023280139081
DHAtex_num1,3.6073273243133452
DHAtex_reverse_num1,6.561790145367803
PYRtex_num1,0.01
PYRtex_reverse_num1,2.927856108420885
F6Ptex_num1,5.709482071724474
F6Ptex_reverse_num1,3.2226667673921723
GLCUR1Ptex_num2,0.056382121032228394
GLCUR1Ptex_reverse_num2,1.8343191748362089
GLCURtex_num3,1.118751717162525
GLCURtex_reverse_num3,5.79383052095438
PGK_reverse,2.336995113682065
FRUtex_reverse_num4,6.238919650829913
FRUtex_num4,2.3036286088140647
GLYC3Ptex_reverse_num3,9.643355216391914
GLYC3Ptex_num3,1.0629609762860284
DHAtex_num3,0.4927457598287317
DHAtex_reverse_num3,0.01
ENO,0.01
PYRtex_reverse_num3,4.988756620761098
PYRtex_num3,1.6091255321913227
FRUURtex_num2,3.0909027009300036
FRUURtex_reverse_num2,5.271486065845861
G6Ptex_num1,0.01
G6Ptex_reverse_num1,6.604162406416703
F6Ptex_reverse_num3,0.05886070868872131
F6Ptex_num3,0.282300208689171
GALtex_reverse_num1,6.469035890552245
GALtex_num1,0.31893990013337087
TKT2_reverse,6.026470998613731
G6Ptex_reverse_num3,0.3816219812761223
G6Ptex_num3,0.3045409040984343
GLCNtex_reverse_num4,3.505485990282211
GLCNtex_num4,7.234122927014347
ME1,0.5876600115497523
SUCCtex_reverse_num1,1.231206497209168
SUCCtex_num1,1.4964044019022644
GALtex_num3,10.0
GALtex_reverse_num3,1.9489484841691807
GALCTNtex_num4,0.9713398809539991
GALCTNtex_reverse_num4,2.0329902372129056
GALCTNLtex_num4,5.04235234333132
GALCTNLtex_reverse_num4,0.01
GAMAN6Ptex_num1,4.607251751801236
GAMAN6Ptex_reverse_num1,9.058810723796128
ME2,3.3523123591118336
ECOAH2_reverse_num1,6.984394430337737
RPI_num1,1.6232397584778693
SUCCtex_reverse_num3,3.7646397125194175
SUCCtex_num3,0.31280809234675716
GLCURtex_num4,3.649518522433936
GLCURtex_reverse_num4,1.1581116216446121
GALCTNLtex_reverse_num2,0.5827758683048638
GALCTNLtex_num2,2.051478418332706
HACD2_num1,0.5899672591199292
GAMAN6Ptex_num3,6.037567334384335
GAMAN6Ptex_reverse_num3,3.1941523773685976
GLYC3Ptex_num4,0.01
GLYC3Ptex_reverse_num4,7.889953819281467
FRUtex_reverse_num2,0.43360335641737974
FRUtex_num2,6.874835958859867
DHAtex_reverse_num4,7.960427580509544
DHAtex_num4,2.1986826168369356
MLTG3,0.28008229144751234
PYRtex_num4,3.8162292077650406
PYRtex_reverse_num4,6.90409015941966
AAMYLpp,1.6252588306537394
F6Ptex_num4,4.093341087454464
F6Ptex_reverse_num4,0.01
XYLK_num1,4.045302046106496
SUCRtex_num1,4.215116620961795
SUCRtex_reverse_num1,3.238156509022171
MELIBtex_reverse_num1,1.72661439878671
MELIBtex_num1,3.3357457433350883
ASCBtex_num1,4.4740503169769905
ASCBtex_reverse_num1,2.2278496872123856
G6Ptex_reverse_num4,1.1036088104916484
G6Ptex_num4,6.815877646998926
G6PDH2r_reverse,0.9328523643692406
GLCNtex_reverse_num2,3.6093095702774227
GLCNtex_num2,4.9557490060831775
GALtex_num4,3.0922019019265705
GALtex_reverse_num4,0.01
GLCRtex_num1,5.523439680958928
GLCRtex_reverse_num1,0.22546320154546165
SBTtex_reverse_num1,3.657358220260348
SBTtex_num1,3.1372315167474327
SUCRtex_reverse_num3,3.2431969903282813
SUCRtex_num3,0.554566222263777
GALCTNtex_num2,4.461335715109501
GALCTNtex_reverse_num2,0.8281938845027865
MELIBtex_reverse_num3,2.140534283345307
XYLK2_num1,3.8695341952230953
PPAKr,2.6106097912605515
ASCBtex_reverse_num3,9.502793932620262
ASCBtex_num3,2.2453791724722976
SUCCtex_num4,1.182071358331197
SUCCtex_reverse_num4,4.779699807977219
MANtex_reverse_num1,2.7022191201581123
