reaction_id,scaling_factor
HCO3E_reverse_num1,1.235854336539232
HCO3E_reverse_num2,0.01
TPI_reverse,5.749620796373479
TPI,0.6340589006255585
PTAr_num1,4.370441620048674
PTAr_num2,3.2474814035659465
ACKr_num2,5.193850264662398
PTAr_reverse_num1,0.01043490880498272
PTAr_reverse_num2,1.3724617775341807
ACKr_num1,7.549499398110946
PGI,6.1073738237281905
PGM_num1,0.01
PGM_reverse_num1,0.01
PGI_reverse,0.026848794828558134
MDH,2.4541964816916706
MDH_reverse,7.625793467819791
PTA2,1.9242388718588435
ACKr_reverse_num2,7.00573975021514
MAN6PI,2.1912782184484287
ACKr_reverse_num1,1.6080208182090692
GLYALDtpp_reverse,0.023230950063298783
GLYALDtpp,2.6519881084769854
SUCDi,2.582857952911037
THMabcpp,2.823889780545876
MAN6PI_reverse,0.3452858442633116
MGSA,2.6926412355754468
MALDtex_reverse_num3,1.100160476898885
MALDtex_num3,2.0093028788449665
G6PDH2r,4.484311697803474
MALDtex_num2,6.9497101733336875
MALDtex_reverse_num2,0.01
MALtex_reverse_num1,2.9489729267738714
MALtex_num1,0.7542475352813338
GAL1PPpp,0.3921614331140286
MALtex_num3,0.012060298902527
MALtex_reverse_num3,2.521582235062178
GLYALDtex_num1,1.274480398515492
GLYALDtex_reverse_num1,1.3624918681618041
MALDtex_num1,0.07946723777731042
MALDtex_reverse_num1,2.779477649754734
GLYALDtex_reverse_num3,9.480139040510748
GLYALDtex_num3,0.27079483986927616
CYNTtex_num1,0.01
CYNTtex_reverse_num1,0.16382496121869505
G1PPpp,0.012923489852606131
CYNTtex_reverse_num3,4.030055227598709
CYNTtex_num3,2.9199846232573656
PGK,0.9095707129628304
L_LACt2rpp_num1,9.985963579813923
L_LACt2rpp_reverse_num1,1.5525183474969952
MALtex_num4,9.293871014544347
MALtex_reverse_num4,0.01
PFK_num2,3.8503929204559624
MALDtex_reverse_num4,1.812259929144262
MALDtex_num4,3.60784702401302
GLYALDtex_num4,2.3516531877613502
GLYALDtex_reverse_num4,2.195487822818786
L_LACt2rpp_reverse_num2,5.138392606204087
L_LACt2rpp_num2,0.01
GLCUR1Ptex_num1,1.5902163533158156
GLCUR1Ptex_reverse_num1,2.256061816356391
CYNTtex_num4,3.7550579254267253
CYNTtex_reverse_num4,0.9988677178872265
PGM_num3,2.9440098703314788
FRUURtex_num1,0.01974691277285702
FRUURtex_reverse_num1,3.7741160742944384
GLCUR1Ptex_num3,3.8029350251702834
GLCUR1Ptex_reverse_num3,5.886013178271647
MALtex_reverse_num2,5.715394841311162
MALtex_num2,6.105633476903173
FRUURtex_num3,2.4387895064185825
FRUURtex_reverse_num3,0.42423793738060617
GLYALDtex_num2,0.6111817203199036
GLYALDtex_reverse_num2,7.520075593067301
