BIGG id,Value,KinLLM_Bayesian
PGI,4.369318920162851,4.506331499999963
PFK,5.180950740602684,4.226916600000107
FBA,5.180950740602686,4.226916600000107
TPI,5.770934184358238,6.335018099999962
GAPD,13.093819584358284,13.657903499999922
PGK,0.0,0.0
PGM,0.0,0.0
ENO,11.202276042040626,12.626264099999865
GLCptspp,8.160000000000002,8.16
PYK,0.0,0.0
FBA_reverse,0.0,0.0
PGK_reverse,13.093819584358284,13.657903499999923
ENO_reverse,0.0,0.0
GAPD_reverse,0.0,0.0
TPI_reverse,0.0,0.0
PGI_reverse,0.0,0.0
PGM_reverse,11.202276042040626,12.626264099999865
G6PDH2r,3.790681079837147,3.6536685000000375
PGL,3.790681079837148,3.6536685000000375
GND,3.0130614962930515,3.6536685000000375
RPE,1.5430916641953996,1.9701630000000008
RPI,0.0,0.0
TKT1,0.8859484320976997,1.0994841000000004
TKT2,0.6571432320977,0.8706789000000004
TALA,0.8859484320976997,1.0994841000000004
G6PDH2r_reverse,0.0,0.0
RPE_reverse,0.0,0.0
RPI_reverse,1.4460874320976662,1.659623100000037
TKT1_reverse,0.0,0.0
TKT2_reverse,0.0,0.0
TALA_reverse,0.0,0.0
EDA,0.7776195835440961,0.0
EDD,0.7776195835440962,0.0
PDH,8.959070993487082,8.585423099999854
CS,1.0876768255847078,0.6451151999999998
ACONTa,1.0876768255847078,0.6451151999999998
ACONTb,1.0876768255847078,0.6451151999999999
ICDHyr,0.9600311999999972,0.6451151999999999
AKGDH,0.314916,0.0
SUCOAS,0.0,0.3149159999999999
SUCDi,0.4425616255846878,4.202228475144301e-17
FUM,1.06826802558463,0.6257064000000767
MDH,1.8665651696172811,0.6247308000000792
ACONTa_reverse,0.0,0.0
ACONTb_reverse,0.0,0.0
ICDHyr_reverse,0.0,0.0
SUCOAS_reverse,0.0,0.0
FUM_reverse,0.0,0.0
MDH_reverse,0.0,0.0
FBP,0.0,0.0
ME1,0.0,0.0
ME2,0.2221770238697418,0.0
PPC,2.098764076694052,1.7760162000000037
ACCOAC,0.046698,0.04669799999999998
ACACT1r,0.2135280000000001,0.21352800000000005
ACACT2r,0.2135280000000001,0.21352800000000013
ACACT3r,0.213528,0.21352800000000008
ACACT4r,0.213528,0.21352800000000005
ACACT5r,0.213528,0.21352800000000005
ACACT6r,0.1668336,0.16683360000000005
ACACT7r,0.1668335999999999,0.16683360000000003
ACACT8r,0.0,0.0
ACACT1r_reverse,0.0,0.0
ACACT2r_reverse,0.0,0.0
ACACT3r_reverse,0.0,0.0
ACACT4r_reverse,0.0,0.0
ACACT5r_reverse,0.0,0.0
ACACT6r_reverse,0.0,0.0
ACACT7r_reverse,0.0,0.0
ACACT8r_reverse,0.0,0.0
ECOAH1,0.2135280000000001,0.2135280000000001
ECOAH2,0.2135280000000001,0.2135280000000001
ECOAH3,0.213528,0.21352800000000008
ECOAH4,0.213528,0.21352800000000008
ECOAH5,0.213528,0.21352800000000002
ECOAH6,0.1668336,0.16683360000000005
ECOAH7,0.1668336,0.16683360000000005
ECOAH8,0.0,0.0
ECOAH1_reverse,0.0,0.0
ECOAH2_reverse,0.0,0.0
ECOAH3_reverse,0.0,0.0
ECOAH4_reverse,0.0,0.0
ECOAH5_reverse,0.0,0.0
ECOAH6_reverse,0.0,0.0
ECOAH7_reverse,0.0,0.0
ECOAH8_reverse,0.0,0.0
HACD1,0.2135280000000001,0.2135280000000001
HACD2,0.213528,0.2135280000000001
HACD3,0.213528,0.21352800000000005
HACD4,0.213528,0.21352800000000005
HACD5,0.213528,0.21352800000000002
HACD6,0.1668336,0.16683360000000003
HACD7,0.1668336,0.16683360000000003
HACD8,0.0,0.0
HACD1_reverse,0.0,0.0
HACD2_reverse,0.0,0.0
HACD3_reverse,0.0,0.0
HACD4_reverse,0.0,0.0
HACD5_reverse,0.0,0.0
HACD6_reverse,0.0,0.0
HACD7_reverse,0.0,0.0
HACD8_reverse,0.0,0.0
PPCK,0.2286178784089923,0.0
PPS,0.0,0.0
ASPTA,0.0,0.0
ALATA_L,0.0,0.0
GLNS,1.0863689999999415,1.0863690000000765
