metname,inchikey
ohpb,MZJFVXDTNBHTKZ-UWTATZPHSA-K
malACP,NA
2ddecg3p,NA
ru5p__D,FNZLKVNUWIIPSJ-UHNVWZDZSA-L
23camp,KMYWVDDIPVNLME-KQYNXXCUSA-M
dhpppn,QZDSXQJWBGMRLU-UHFFFAOYSA-M
2mahmp,AGQJQCFEPUVXNK-UHFFFAOYSA-K
hcys__L,FFFHZYDWPBMWHY-UHFFFAOYSA-N
cu2,JPVYNHNXODAKFH-UHFFFAOYSA-N
hom__L,UKAUYVFTDYCKQA-VKHMYHEASA-N
mptamp,XJXFAXLUOKQPAQ-YPRLVJTJSA-K
mg2,JLVVSXFLKOJNIY-UHFFFAOYSA-N
uri,DRTQHJPVMGBUCF-XVFCMESISA-N
aps,IRLPACMLTUPBCL-KQYNXXCUSA-L
mal__D,BJEPYKJPYRNKOW-UWTATZPHSA-L
23cump,HWDMHJDYMFRXOX-XVFCMESISA-M
ala__L,QNAYBMKLOCPYGJ-REOHCLBHSA-N
bwco,NA
prpp,PQGCEDQWHSBAJP-TXICZTDVSA-I
nh4,QGZKDVFQNNGYKY-UHFFFAOYSA-O
3amac,YTLYLLTVENPWFT-UPHRSURJSA-M
ichor,NTGWPRCCOQCMGE-YUMQZZPRSA-L
trnaleu,NA
4hphac,HBMCQTHGYMTCOF-UHFFFAOYSA-N
ddcap,NA
egmeACP,NA
amob,UOKVQQMBGVMXPU-CJPDYEHRSA-N
ala__D,QNAYBMKLOCPYGJ-UWTATZPHSA-N
eca4und,CVYQIROAIKSYLV-HBQGRVRBSA-H
murein5p4p,YJNGRCZHKAYCMA-VZNOAHCOSA-E
trnasecys,NA
3hbcoa,QHHKKMYHDBRONY-VKBDFPRVSA-J
acser,VZXPDPZARILFQX-BYPYZUCNSA-N
fprica,ABCOOORLYAOBOZ-KQYNXXCUSA-L
bwco1gdp,NA
dha,RXKJFZQQPQGTFL-UHFFFAOYSA-N
pe160,SLKDGVPOSSLUAI-PGUFJCEWSA-N
rmn,PNNNRSAQSRJVSB-BXKVDMCESA-N
dsbgox,NA
dmso,IAZDPXIOMUYVGZ-UHFFFAOYSA-N
gagicolipa,XCYFJKYUDKZCQY-RQZVRRRJSA-C
amp,UDMBCSSLTHHNCD-KQYNXXCUSA-L
chtbs,NA
gam,MSWZFWKMSRAUBD-IVMDWMLBSA-O
3ooctdACP,NA
uppg3,HUHWZXWWOFSFKF-UHFFFAOYSA-F
paps,GACDQMDRPRGCTN-KQYNXXCUSA-J
trnagly,NA
tsul,DHCDFWKWKRSZHF-UHFFFAOYSA-M
crn,PHIQHXFUZVPYII-ZCFIWIBFSA-N
alaala,DEFJQIDDEAULHB-QWWZWVQMSA-N
gbbtn,JHPNVNIEXXLNTR-UHFFFAOYSA-N
ocdcaACP,NA
acetol,XLSMFKSTNGKWQX-UHFFFAOYSA-N
altrn,RGHNJXZEOKUKBD-AIHAYLRMSA-M
moadcoo,NA
iscs,NA
fe,NA
rib__D,HMFHBZSHGGEWLO-SOOFDHNKSA-N
2obut,TYEYBOSBBBHJIV-UHFFFAOYSA-M
3gmp,ZDPUTNZENXVHJC-UUOKFMHZSA-L
gal,WQZGKKKJIJFFOK-PHYPRBDBSA-N
gg4abut,MKYPKZSGLSOGLL-LURJTMIESA-M
thmnp,XHIXPVCTDRNTTC-YQVKZWHSSA-N
murein3px3p,IYFHCENFVZTZLO-UHFFFAOYSA-G
na15dap,QZBYOYPROVGOGE-UHFFFAOYSA-Q
malcoame,CHQAJZULNPRMEN-FZEDXVDRSA-J
1agpg141,NA
acgal,OVRNDRQMDRJTHS-KEWYIRBNSA-N
pg140,BPHQZTVXXXJVHI-AJQTZOPKSA-M
argsuc,KDZOASGQNOPSCU-ZBHICJROSA-M
12dgr180,NA
dctp,RGWHQCVHVJXOKC-SHYZEUOFSA-J
clpn140,SDCJNZZAOLRVCP-GTOSQJSUSA-L
ap5a,OIMACDRJUANHTJ-XPWFQUROSA-I
clpn161,UYSHBKYVDAZLKJ-GMUISZSCSA-L
betald,SXKNCCSPZDCRFD-UHFFFAOYSA-N
pg161,GHQNERCMPIDAAU-ANXSUKRNSA-M
gdpmann,MVMSCBBUIHUTGJ-GDJBGNAASA-L
oxadpcoa,VKKKAAPGXHWXOO-BIEWRJSYSA-I
ttdceap,NA
mqn8,LXKDFTDVRVLXFY-WQWYCSGDSA-N
feroxEfe,NA
acon_T,GTZCVFVGUGFEME-HNQUOIGGSA-K
ggptrc,WKGTVHGVLRCTCF-UHFFFAOYSA-O
pa120,NA
um4p,NA
diact,QSJXEFYPDANLFS-UHFFFAOYSA-N
cm,WIIZWVCIJKGZOK-RKDXNWHRSA-N
35cgmp,ZOOGRGPOEVQQDX-UUOKFMHZSA-M
35dhphaccoa,NA
oaa,KHPXUQMNIQBQEV-UHFFFAOYSA-L
aacoa,OJFDKHTZOUZBOS-CITAKDKDSA-J
nadph,ACFIXJIJDZMPPO-NNYOXOHSSA-J
3ohcoa,NFOYYXQAVVYWKV-HDRQGHTBSA-J
skm,JXOHGGNKMLTUBP-HSUXUTPPSA-M
2dmmq8,GDUBPWSFXUAETN-AENDIINCSA-N
5aop,ZGXJTSGNIOSYLO-UHFFFAOYSA-N
dtdprmn,ZOSQFDVXNQFKBY-CGAXJHMRSA-L
feoxam,SRMBQCVUAVULDJ-UHFFFAOYSA-O
gal_bD,WQZGKKKJIJFFOK-FPRJBGLDSA-N
fecrm_un,ZZDYFKJSJLUQON-UFYCRDLUSA-N
hxan,FDGQSTZJBFJUBT-UHFFFAOYSA-N
14glucan,NA
3hoctACP,NA
hdeACP,NA
dscl,OQIIYZQTTMKFAU-ZNLOQLQNSA-G
13ppd,YPFDHNVEDLHUCE-UHFFFAOYSA-N
tag6p__D,BGWGXPAPYGQALX-OEXCPVAWSA-L
lald__L,BSABBBMNWQWLLU-VKHMYHEASA-N
3php,LFLUCDOSQPJJBE-UHFFFAOYSA-K
maltpt,FTNIPWXXIGNQQF-DWTFCAFKSA-N
sel,QYHFIVBSNOWOCQ-UHFFFAOYSA-L
chtbs6p,KYKNQNQCPWDNAK-CBTAGEKQSA-L
oxalcoa,QVXMZFTWJVBUHP-IBOSZNHHSA-I
glu1sa,MPUUQNGXJSEWTF-BYPYZUCNSA-N
feenter,NGILTSZTOFYVBF-UVJOBNTFSA-H
fe2,CWYNVVGOOAEACU-UHFFFAOYSA-N
poaac,WQKGFGLGYOHJOG-UPHRSURJSA-N
oxptn,VBKPPDYGFUZOAJ-UHFFFAOYSA-M
56dura,OIVLITBTBDPEFK-UHFFFAOYSA-N
op4en,NOXRYJAWRSNUJD-UHFFFAOYSA-M
1agpe160,YVYMBNSKXOXSKW-HXUWFJFHSA-N
rbflvrd,SGSVWAYHEWEQET-SCRDCRAPSA-N
rnam,JLEBZPBDRKPWTD-TURQNECASA-O
glx,HHLFWLYXYJOTON-UHFFFAOYSA-M
alpp,NA
asntrna,NA
3c3hmp,BITYXLXUCSKTJS-ZETCQYMHSA-L
mana,RGHNJXZEOKUKBD-MBMOQRBOSA-M
mmcoa__R,MZFOKIKEPGUZEN-AGCMQPJKSA-I
dxyl,IGUZJYCAXLYZEE-RFZPGFLSSA-N
23ddhb,INCSWYKICIYAHB-WDSKDSINSA-M
itp,HAEJPQIATWHALX-KQYNXXCUSA-J
bwcogdp,NA
dcamp,OFBHPPMPBOJXRT-DPXQIYNJSA-J
lystrna,NA
prbatp,RKNHJBVBFHDXGR-KEOHHSTQSA-H
u3aga,TZSJGZGYQDNRRX-MPLCHSTDSA-L
3mob,QHKABHOOEWYVLI-UHFFFAOYSA-M
micit,HHKPKXCSHMJWCF-WVBDSBKLSA-K
12dgr120,NA
adocbl,ZIHHMGTYZOSFRC-QRVZQHAISA-N
dcaACP,NA
glu5sa,KABXUUFDPUOJMW-BYPYZUCNSA-N
prbamp,RTQMRTSPTLIIHM-KEOHHSTQSA-J
r15bp,AAAFZMYJJHWUPN-TXICZTDVSA-J
oxa,MUBZPKHOEPUJKR-UHFFFAOYSA-L
isetac,SUMDYPCJJOFFON-UHFFFAOYSA-M
glutrna,NA
meoh,OKKJLVBELUTLKV-UHFFFAOYSA-N
iscu_2fe2s2,NA
2shchc,QJYRAJSESKVEAE-PSASIEDQSA-L
octeACP,NA
cytd,UHDGCWIWMRVCDJ-XVFCMESISA-N
man6p,NBSCHQHZLSJFNQ-QTVWNMPRSA-L
3dhguln,WTAHRPBPWHCMHW-LWKDLAHASA-M
mql8,OIEZRVBFVPGODT-WQWYCSGDSA-N
rephaccoa,NA
trnaphe,NA
ahcys,ZJUKTBDSGOFHSH-WFMPWKQPSA-N
thym,RWQNBRDOKXIBIV-UHFFFAOYSA-N
glyc__R,RBNPOMFGQQGHHO-UWTATZPHSA-M
anth,RWZYAGGXGHYGMB-UHFFFAOYSA-M
2p4c2me,HTJXTKBIUVFUAR-XHIBXCGHSA-J
h2o2,MHAJPDPJQMAIIY-UHFFFAOYSA-N
his__L,HNDVDQJCIGZPNO-YFKPBYRVSA-N
duri,MXHRCPNRJAMMIM-SHYZEUOFSA-N
3ooctACP,NA
ametam,ZUNBITIXDCPNSD-LSRJEVITSA-O
acnam,SQVRNKJHWKZAKO-LUWBGTNYSA-M
glcn,RGHNJXZEOKUKBD-SQOUGZDYSA-M
4c2me,YFAUKWZNPVBCFF-XHIBXCGHSA-L
3dhq,WVMWZWGZRAXUBK-SYTVJDICSA-M
gdpddman,PNHLMHWWFOPQLK-BKUUWRAGSA-L
g6p,NBSCHQHZLSJFNQ-GASJEMHNSA-L
trnaval,NA
xylu__D,ZAQJHHRNXZUBTE-WUJLRWPWSA-N
fe3hox,NA
12dgr141,NA
adphep_LD,KMSFWBYFWSKGGR-DTBZDYEHSA-L
4hthr,JBNUARFQOCGDRK-GBXIJSLDSA-N
sucsal,UIUJIQZEACWQSV-UHFFFAOYSA-M
fadh2,YPZRHBJKEMOYQH-UYBVJOGSSA-L
ocACP,NA
pacald,DTUQWGWMVIHBKE-UHFFFAOYSA-N
5caiz,JHLXDWGVSYMXPL-XVFCMESISA-K
ppbng,QSHWIQZFGQKFMA-UHFFFAOYSA-M
cys__L,XUJNEKJLAYXESH-REOHCLBHSA-N
g3ps,ZWZWYGMENQVNFU-UHNVWZDZSA-M
acmanap,QDSLHWJDSQGPEE-WCTZXXKLSA-L
23dhacoa,ZFXICKRXPZTFPB-FZHFFJAKSA-I
lcts,GUBGYTABKSRVRQ-QKKXKWKRSA-N
trnaasn,NA
ppt,ABLZXFCXXLZCGV-UHFFFAOYSA-L
2oph,VUNQJPPPTJIREN-CMAXTTDKSA-N
glutar,JFCQEDHGNNZCLN-UHFFFAOYSA-L
fpram,PMCOGCVKOAOZQM-ZRTZXPPTSA-M
din,VGONTNSXDCQUGY-RRKCRQDMSA-N
glcur1p,AIQDYKMWENWVQJ-QIUUJYRFSA-K
tddec2eACP,NA
1agpg180,HFJVKBVEKQHVTO-XZOQPEGZSA-M
sarcs,FSYKKLYZXJSNPZ-UHFFFAOYSA-N
lgt__S,VDYDCVUWILIYQF-CSMHCCOUSA-M
pi,NBIIXXVUZAFLBC-UHFFFAOYSA-L
3sala,ADVPTQAUNPRNPO-REOHCLBHSA-M
2dmmql8,FGYPGICSXJEKCG-AENDIINCSA-N
o16a4colipa,KAVZMDKPFMCUGM-QWDGEOHMSA-C
tag1p__D,NA
ppal,NBBJYMSMWIIQGU-UHFFFAOYSA-N
galct__D,DSLZVSRJTYRBFB-DUHBMQHGSA-L
mettrna,NA
3opalmACP,NA
5apru,LZEXYCAGPMYXLX-UMMCILCDSA-L
4mop,BKAJNAXTPSGJCU-UHFFFAOYSA-M
tmrs2eACP,NA
akg,KPGXRSRHYNQIFN-UHFFFAOYSA-L
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M
galt1p,GACTWZZMVMUKNG-DPYQTVNSSA-L
murein4px4p4p,NPJMJVATSCHTAI-UHFFFAOYSA-F
2sephchc,XYCATPIYKOARSZ-OAIFWDMCSA-K
tdecoa,NA
frdp,VWFJDQUYCIWHTN-YFVJMOTDSA-K
rml,QZNPNKJXABGCRC-FUTKDDECSA-N
airs,NA
acac,WDJHALXBUFZDSR-UHFFFAOYSA-M
palmACP,NA
athtp,FGOYXNBJKMNPDH-SAJUPQAESA-L
enlipidA,NA
1hdec9eg3p,NA
ps141,NA
na1,FKNQFGJONOIPTF-UHFFFAOYSA-N
4mpetz,OCYMERZCMYJQQO-UHFFFAOYSA-L
alatrna,NA
2kmb,SXFSQZDSUWACKX-UHFFFAOYSA-M
ttdca,NA
man,WQZGKKKJIJFFOK-QTVWNMPRSA-N
3odecACP,NA
orn,AHLPHDHHMVZTML-BYPYZUCNSA-O
taur,XOAAWQZATWQOTB-UHFFFAOYSA-N
ocdcea,ZQPPMHVWECSIRJ-KTKRTIGZSA-M
fc1p,KNYGWWDTPGSEPD-LFRDXLMFSA-L
forcoa,SXMOKYXNAPLNCW-GORZOVPNSA-J
fald,WSFSSNUMVMOOMR-UHFFFAOYSA-N
gmeACP,NA
occoa,KQMZYOXOBSXMII-CECATXLMSA-J
6pgl,IJOJIVNDFQSGAB-SQOUGZDYSA-L
drib,PDWIQYODPROSQH-PYHARJCCSA-N
fcl__L,QZNPNKJXABGCRC-LFRDXLMFSA-N
psclys,BFSYFTQDGRDJNV-CDEVMZEPSA-O
mococdp,WKSPNQYEWZEMMI-FEFZDOOUSA-K
anhgm3p,ZWZMFRJKRXDGBE-UHFFFAOYSA-L
23ccmp,NMPZCCZXCOMSDQ-XVFCMESISA-M
cpgn,FQIVLXIUJLOKPL-DWZMLRRXSA-N
g1p,HXXFSFRBOHSIMQ-GASJEMHNSA-L
murein4px4px4p,NA
lipa,DIXUKJUHGLIZGU-OIPVZEHTSA-H
udpgal,HSCJRCZFDFQWRP-ABVWGUQPSA-L
ara5p,PPQRONHOSHZGFQ-WDCZJNDASA-L
2h3oppan,QWBAFPFNGRFSFB-UHFFFAOYSA-M
kdo,NNLZBVFSCVTSLA-HXUQBWEZSA-M
phhlipa,XNYUHCDJIRFEJF-LIOVHSHWSA-G
2ommbl,HDSGDGSLNMIMKU-KFSSTAEESA-N
h2s,RWSOTUBLDIXVET-UHFFFAOYSA-M
colipaOA,NA
udpglcur,HDYANYHVCAPMJV-LXQIFKJMSA-K
tdeACP,NA
pa181,NA
34dhpha,CFFZDZCDUFSOFZ-UHFFFAOYSA-M
2tpr3dpcoa,NFWZJXFBUKDGOX-HWCXJHOSSA-H
3hocoa,ATVGTMKWKDUCMS-OTOYJEMWSA-J
udpacgal,LFTYTUAZOPRMMI-LDDHHVEYSA-L
nicrnt,JOUIQRNQJGXQDC-ZYUZMQFOSA-L
cpg180,ACOSNNHXZDLJJE-UHFFFAOYSA-M
uacmamu,DZOGQXKQLXAPND-XHUKORKBSA-K
lald__D,BSABBBMNWQWLLU-GSVOUGTGSA-N
1agpe120,IZDRGPDUDLWAGR-UHFFFAOYSA-N
glycogen,NA
hpmeACP,NA
xan,LRFVTYWOQMYALW-UHFFFAOYSA-N
dadp,DAEAPNUQQAICNR-RRKCRQDMSA-K
trnacys,NA
lys__L,KDXKERNSBIXSRK-YFKPBYRVSA-O
ascb6p,KIENGQUGHPTFGC-JLAZNSOCSA-K
tag__D,BJHIKXHVCXFQLS-PQLUHFTBSA-N
o16a3und,MAEXVFVVTLQJBE-BYBSPDODSA-K
2agpg161,NA
ugmda,IMWOXEZVYQDRDF-MCZXNMLPSA-J
tton,KRURGYOKPVLRHQ-UHFFFAOYSA-L
succoa,VNOYUJKHFWYWIR-ITIYDSSPSA-I
colipap,NA
mincyc,DYKFCLLONBREIL-KVUCHLLUSA-N
cyan,LELOWRISYMNNSU-UHFFFAOYSA-N
nmn,DAYLJWODMCOQEW-TURQNECASA-M
2agpg141,NA
pe181,NA
ins,UGQMRVRMYYASKQ-KQYNXXCUSA-N
chor,WTFXTQVDAKGDEY-HTQZYQBOSA-L
pg180,FVJZSBGHRPJMMA-IOLBBIBUSA-M
1odecg3p,LAYXSTYJRSVXIH-HXUWFJFHSA-L
gdpofuc,PNHLMHWWFOPQLK-WAMCPPDZSA-L
hgmeACP,NA
4r5au,XKQZIXVJVUPORE-RPDRRWSUSA-N
5dglcn,IZSRJDGCGRAUAR-MROZADKFSA-M
2fe2s,NA
ugmd,QUHLBZKCGUXHGP-AJVQVANPSA-J
apg161,NA
trnagln,NA
34dhpac,IADQVXRMSNIUEL-UHFFFAOYSA-N
s17bp,OKHXOUGRECCASI-SHUUEZRQSA-J
sucarg,UMOXFSXIFQOWTD-LURJTMIESA-M
acon_C,GTZCVFVGUGFEME-IWQZZHSRSA-K
pyam5p,ZMJGSOSNSPKHNH-UHFFFAOYSA-M
thmmp,HZSAJDVWZRBGIF-UHFFFAOYSA-M
ps160,KLFKZIQAIPDJCW-GPOMZPHUSA-M
eig3p,HFYBTHCYPKEDQQ-RITPCOANSA-L
arbtn,NA
ctp,PCDQPRRSZKQHHS-XVFCMESISA-J
pgp140,NA
3dhgulnp,BDUIIKXSXFDPEC-LWKDLAHASA-K
cpe180,HCFAHMIUAQMBSN-UHFFFAOYSA-M
2pglyc,ASCFNMCAHFUBCO-UHFFFAOYSA-K
dhgly,TVMUHOAONWHJBV-UHFFFAOYSA-N
cenchddd,AEUBLTTWYCDTGM-HXOXMVQHSA-M
pa161,NA
3hadpcoa,OTEACGAEDCIMBS-NOTSHUFBSA-I
h2,UFHFLCQGNIYNRP-UHFFFAOYSA-N
hhlipa,HHPCMWTVGVTYIC-CFEULOSXSA-H
23dhbzs3,NA
3amp,LNQVTSROQXJCDD-KQYNXXCUSA-L
4hoxpacd,IPRPPFIAVHPVJH-UHFFFAOYSA-N
hxa,FUZZWVXGSFPDMH-UHFFFAOYSA-M
LptA,NA
3ntym,IUCYCHQMRZWPGT-UHFFFAOYSA-N
so4,QAOWNCQODCNURD-UHFFFAOYSA-L
thrtrna,NA
n8aspmd,FONIWJIDLJEJTL-UHFFFAOYSA-P
h,GPRLSGONYQIRFK-UHFFFAOYSA-N
murein5px3p,NA
aso4,DJHGAFSJWGLOIV-UHFFFAOYSA-L
23dhbzs,VDTYHTVHFIIEIL-LURJTMIESA-M
kphphhlipa,HKWVBDGTKAFRJF-UHFFFAOYSA-C
fad,IMGVNJNCCGXBHD-UYBVJOGSSA-K
uaagmda,OXJNZXDFVLDLEI-MBCYCBSHSA-J
arab__L,PYMYPHUHKUWMLA-VAYJURFESA-N
o16a2und,JLHGQTKMJCQGJD-CEOXHMAOSA-L
3psme,QUTYKIXIUDQOLK-PRJMDXOYSA-J
2dr1p,KBDKAJNTYKVSEK-VPENINKCSA-L
2oxpaccoa,ZQZCWPBSHHYCMM-BETJHJQZSA-J
fe3hox_un,NA
cdpdodecg,PDCWLWQTNQCGRI-IGIWICMZSA-L
ascb__L,CIWBSHSKHKDKBQ-JLAZNSOCSA-M
ile__L,AGPKZVBTJJNPAG-WHFBIAKZSA-N
dtdp,UJLXYODCHAELLY-XLPZGREQSA-K
pa141,NA
agdpcbi,IQTYKHRKNGVJEO-RRMAJTJESA-K
4mhetz,BKAWJIRCKVUVED-UHFFFAOYSA-N
acglc__D,ILLOJQCWUBEHBA-KEWYIRBNSA-N
kdo8p,IZZNRKJLBIYBJN-HXUQBWEZSA-K
hphhlipa,OCKKDDJUVZAABC-XSAOWLIJSA-G
copre2,BKIWSQUNFCJSOI-HZUOBFSFSA-E
ade,GFFGJBXGBJISGV-UHFFFAOYSA-N
ethso3,CCIVGXIOQKPBKL-UHFFFAOYSA-M
urdglyc,NWZYYCVIOKVTII-SFOWXEAESA-M
ppap,FMNMEQSRDWIBFO-UHFFFAOYSA-L
thr__L,AYFVYJQAPQTCCC-GBXIJSLDSA-N
malttr,FYGDTMLNYKFZSV-PXXRMHSHSA-N
phpyr,BTNMPGBKDVTSJY-UHFFFAOYSA-M
acald,IKHGUXGNUITLKF-UHFFFAOYSA-N
acgam,OVRNDRQMDRJTHS-RTRLPJTCSA-N
5mtr,ACWASDPGAVYCNI-JKUQZMGJSA-N
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K
12dgr160,NA
grxox,NA
2agpg140,NHYJQQUDLXESED-UHFFFAOYSA-M
ggbutal,JZNLEPLZUABCSQ-ZETCQYMHSA-N
hx2coa,OINXHIBNZUUIMR-IXUYQXAASA-J
mththf,BVIYGXUQVXBHQS-IUYQGCFVSA-N
ac,QTBSBXVTEAMEQO-UHFFFAOYSA-M
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L
lipidX,HEHQDWUWJVPREQ-XQJZMFRCSA-L
trnahis,NA
mnl1p,GACTWZZMVMUKNG-KVTDHHQDSA-L
hphaccoa,GPCAQTOAAYEBGJ-CECATXLMSA-J
3fe4s,NA
apg180,WCMVNCVROQLVSH-JBQXKKLXSA-M
dgmp,LTFMZDNNPPEQNG-KVQBGUIXSA-L
xtp,CAEFEWVYEZABLA-UUOKFMHZSA-J
arbt,BJRNKVDFDLYUGJ-RMPHRYRLSA-N
g3pe,JZNWSCPGTDBMEW-YFKPBYRVSA-N
fmettrna,NA
2dh3dgal6p,OVPRPPOVAXRCED-NQXXGFSBSA-K
galctn__D,RGHNJXZEOKUKBD-MGCNEYSASA-M
datp,SUYVUBYJARFZHO-RRKCRQDMSA-J
feoxam_un,NA
remnant1,NA
dhnpt,YQIFAMYNGGOTFB-XINAWCOVSA-N
pser__L,BZQFBWGGLXLEPQ-REOHCLBHSA-L
asp__L,CKLJMWTZIZZHCS-REOHCLBHSA-M
8aonn,GUAHPAJOXVYFON-UHFFFAOYSA-N
malthx,OCIBBXPLUVYKCH-QXVNYKTNSA-N
salchs2,NA
apg181,NA
pgp181,NA
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K
pap,WHTCPDAXWFLDIH-KQYNXXCUSA-J
mmcoa__S,MZFOKIKEPGUZEN-IBNUZSNCSA-I
sufbcd_2fe2s2,NA
dd2coa,IRFYVBULXZMEDE-DEEZISNZSA-J
myrsACP,NA
adocblp,NA
udcpo5,NA
btn,YBJHBAHKTGYVGT-ZKWXMUAHSA-M
t3c11vaceACP,NA
zn2,PTFCDOFLOPIGGS-UHFFFAOYSA-N
utp,PGAVKCOVUIYSFO-XVFCMESISA-J
trnaarg,NA
phaccoa,ZIGIFDRJFZYEEQ-CECATXLMSA-J
psd5p,NA
salcn,NGFMICBWJRZIBI-UJPOAAIJSA-N
pppi,UNXRWKVEANCORM-UHFFFAOYSA-I
gdpfuc,LQEBEXMHBLQMDB-JGQUBWHWSA-L
2amsa,XMTCKNXTTXDPJX-REOHCLBHSA-N
tpalm2eACP,NA
N1aspmd,MQTAVJHICJWXBR-UHFFFAOYSA-P
u23ga,KOJCFMYSTWNMQW-RUAJDYCTSA-L
raffin,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N
3hcvac11eACP,NA
tdec2eACP,NA
trnamet,NA
hkntd,WCJYZUFKKTYNLB-PFCALIJCSA-L
trnaile,NA
murein5p5p5p,FOZGDVCGOFWZKF-SSRSPRHQSA-G
cpgn_un,NA
rml1p,KNYGWWDTPGSEPD-OTWZMJIISA-L
sucr,CZMRCDWAGMRECN-UGDNZRGBSA-N
ckdo,YWWJKULNWGRYAS-UOVSKDHASA-L
gfgaragund,SOZYQWIVOMQYML-KIWKAZHESA-L
fmn,ANKZYBDXHMZBDK-SCRDCRAPSA-K
lpp,NA
acorn,JRLGPAXAGHMNOL-LURJTMIESA-N
hpyr,HHDDCCUIIUWNGJ-UHFFFAOYSA-M
slnt,MCAHWIHFGHIESP-UHFFFAOYSA-L
murein5px4p,NQXCJQVWBSGGNW-UHFFFAOYSA-E
pyr,LCTONWCANYUPML-UHFFFAOYSA-M
3hcinnm,KKSDGJDHHZEWEP-SNAWJCMRSA-M
hexACP,NA
4ppan,XHFVGHPGDLDEQO-ZETCQYMHSA-K
4pasp,IXZNKTPIYKDIGG-REOHCLBHSA-L
nac,PVNIIMVLHYAWGP-UHFFFAOYSA-M
3hmrsACP,NA
cystrna,NA
but2eACP,NA
3dhphaccoa,NA
succ,KDYFGRWQOYBRFD-UHFFFAOYSA-L
btnso,KCSKCIQYNAOBNQ-YBSFLMRUSA-M
23dhdp,UWOCFOFVIBZJGH-YFKPBYRVSA-L
uamag,OJZCATPXPWFLHF-HPUCEMLMSA-J
2agpg181,NA
gdptp,KCPMACXZAITQAX-UUOKFMHZSA-H
gmhep1p,KMEJCSKJXSBBAN-QTNLNCNHSA-L
dgslnt,GJEZZQVPWMCGSB-BJDJZHNGSA-L
bmocogdp,NA
2mcacn,NUZLRKBHOBPTQV-ARJAWSKDSA-K
ru5p__L,FNZLKVNUWIIPSJ-CRCLSJGQSA-L
dmlz,SXDXRJZUAJBNFL-XKSSXDPKSA-M
glyc,PEDCQBHIVMGVHV-UHFFFAOYSA-N
ppgpp,BUFLLCUFNHESEH-UUOKFMHZSA-I
frmd,ZHNUHDYFZUAESO-UHFFFAOYSA-N
n2o,GQPLMRYTRLFLPF-UHFFFAOYSA-N
aspsa,HOSWPDPVFBCLSY-VKHMYHEASA-N
2agpe180,KIHAGWUUUHJRMS-JOCHJYFZSA-N
5aprbu,RQRINYISXYAZKL-RPDRRWSUSA-L
garagund,QZKSQRMITRSRFM-QUNHHUOXSA-L
3hpp,ALRHLSYJTWAHJZ-UHFFFAOYSA-M
hmbil,WDFJYRZCZIUBPR-UHFFFAOYSA-F
2pg,GXIURPTVHJPJLF-UWTATZPHSA-K
hdcoa,NA
1agpe140,RPXHXZNGZBHSMJ-GOSISDBHSA-N
lipoamp,QWEGOCJRZOKSOE-ADUAKINBSA-M
5fthf,VVIAGPKUTFNRDU-STQMWFEESA-L
actp,LIPOUNRJVLNBCD-UHFFFAOYSA-L
alltt,NUCLJNSWZCHRKL-UHFFFAOYSA-M
trnaasp,NA
sbzcoa,AVOVYFCDODUXLY-HSJNEKGZSA-I
dtdp4aaddg,YHXQWYBLXUELDA-ZCVKINLTSA-L
3c2hmp,RNQHMTFBUSSBJQ-CRCLSJGQSA-L
moadcosh,NA
dsbard,NA
sucgsa,XTOKIEIBKARFSZ-LURJTMIESA-L
adphep_DD,KMSFWBYFWSKGGR-FQBROAFUSA-L
pe120,NA
t3c7mrseACP,NA
ACP,NA
bmoco,NA
octdp,IKKLDISSULFFQO-DJMILUHSSA-K
3hhdcoa,DEHLMTDDPWDRDR-BCIKBWLNSA-J
dpcoa,KDTSHFARGAKYJN-IBOSZNHHSA-L
2agpe160,CKPBBEOJHAPPBT-HXUWFJFHSA-N
ppp9,KSFOVUSSGSKXFI-UJJXFSCMSA-L
2cpr5p,QKMBYNRMPRKVTO-MNOVXSKESA-K
pheme,KABFMIBPWCXCRK-RGGAHWMASA-J
3omrsACP,NA
trnathr,NA
6pgc,BIRSGZKFKXLSJQ-SQOUGZDYSA-K
uLa4n,NA
pgp180,UZNYMWWMHBZMLI-IOLBBIBUSA-K
arg__L,ODKSFYDXXFIFQN-BYPYZUCNSA-O
anhgm,NA
cd2,WLZRMCYVCSSEQC-UHFFFAOYSA-N
3odcoa,AZCVXMAPLHSIKY-HSJNEKGZSA-J
gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N
cpppg3,NIUVHXTXUXOFEB-UHFFFAOYSA-J
cl,VEXZGXHMUGYJMC-UHFFFAOYSA-M
aact,BCDGQXUMWHRQCB-UHFFFAOYSA-O
dms,QMMFVYPAHWMCMS-UHFFFAOYSA-N
ps120,NA
xyl__D,SRBFZHDQGSBBOR-IOVATXLUSA-N
2tdecg3p,NA
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L
alac__S,NMDWGEGFJUBKLB-YFKPBYRVSA-M
eca3und,AEBNALYOCQHPHC-FKUZKRBFSA-I
