metname,inchikey
leu__L,ROHFNLRQFUQHCH-YFKPBYRVSA-N
sulfac,AGGIJOLULBJGTQ-UHFFFAOYSA-L
cu,VMQMZMRVKUZKQL-UHFFFAOYSA-N
pnto__R,GHOKWGTUZJEAQD-ZETCQYMHSA-M
all6p,VFRROHXSMXFLSN-BGPJRJDNSA-L
dcdp,FTDHDKPUHBLBTL-SHYZEUOFSA-K
mn2,WAEMQWOKJMHJLA-UHFFFAOYSA-N
pe180,LVNGJLRDBYCPGB-LDLOPFEMSA-N
hqn,QIGBRXMKCJKVMJ-UHFFFAOYSA-N
23dhmb,JTEYKUFKXGDTEU-VKHMYHEASA-M
no2,IOVCWXUNBOPUCH-UHFFFAOYSA-M
2dh3dgal,WPAMZTWLKIDIOP-NQXXGFSBSA-M
fuc__L,PNNNRSAQSRJVSB-KCDKBNATSA-N
mnl,FBPFZTCFMRRESA-KVTDHHQDSA-N
4hba,BVJSUAQZOZWCKN-UHFFFAOYSA-N
ps140,NA
o6a4colipa,NA
octapb,NA
cgly,ZUKPVRWZDMRIEO-VKHMYHEASA-N
thex2eACP,NA
guln__L,RGHNJXZEOKUKBD-QTBDOELSSA-M
minohp,IMQLKJBTEOYOSI-GPIVLXJGSA-B
ura,ISAKRJDGNUQOIC-UHFFFAOYSA-N
xtsn,UBORTCNDUKBEOP-UUOKFMHZSA-N
fe3dhbzs,IHUQSEJNRLOEKL-UHFFFAOYSA-N
cbm,KXDHJXZQYSOELW-UHFFFAOYSA-M
iscu,NA
Nmtrp,CZCIKBSVHDNIDH-NSHDSACASA-N
xmp,DCTLYFZHFGENCW-UUOKFMHZSA-L
2tdec7eg3p,NA
pa180,YFWHNAWEOZTIPI-DIPNUNPCSA-L
dc2coa,MGNBGCRQQFMNBM-YJHHLLFWSA-J
pdx5p,WHOMFKWHIQZTHY-UHFFFAOYSA-L
amet,MEFKEPWMEQBLKI-AIRLBKTGSA-O
dtdp4d6dg,PSXWNITXWWECNY-UCBTUHGZSA-L
fe3dhbzs3,NA
adn,OIRDTQYFTABQOQ-KQYNXXCUSA-N
fldrd,NA
3ocmrs7eACP,NA
apoACP,NA
galctn__L,RGHNJXZEOKUKBD-RSJOWCBRSA-M
ghb,SJZRECIVHVDYJC-UHFFFAOYSA-M
LalaLglu,VYZAGTDAHUIRQA-WHFBIAKZSA-M
db4p,OKYHYXLCTGGOLM-UHFFFAOYSA-L
acACP,NA
acmana,MBLBDJOUHNCFQT-XAMCCFCMSA-N
frulys,BFSYFTQDGRDJNV-AYHFEMFVSA-O
4ahmmp,VUTBELPREDJDDH-UHFFFAOYSA-N
pgp120,NA
dopa,VYFYYTLLBUKUHU-UHFFFAOYSA-O
metsox_S__L,QEFRNWWLZKMPFJ-YGVKFDHGSA-N
