reac,reaction,ec_number
BIOMASS_Ec_iJO1366,0.000223 10fthf_c + 2.6e-05 2fe2s_c + 0.000223 2ohph_c + 0.00026 4fe4s_c + 0.513689 ala__L_c + 0.000223 amet_c + 0.295792 arg__L_c + 0.241055 asn__L_c + 0.241055 asp__L_c + 54.124831 atp_c + 0.000122 bmocogdp_c + 2e-06 btn_c + 0.005205 ca2_c + 0.005205 cl_c + 0.000576 coa_c + 2.5e-05 cobalt2_c + 0.133508 ctp_c + 0.000709 cu2_c + 0.09158 cys__L_c + 0.026166 datp_c + 0.027017 dctp_c + 0.027017 dgtp_c + 0.026166 dttp_c + 0.000223 fad_c + 0.006715 fe2_c + 0.007808 fe3_c + 0.26316 gln__L_c + 0.26316 glu__L_c + 0.612638 gly_c + 0.215096 gtp_c + 48.601527 h2o_c + 0.094738 his__L_c + 0.290529 ile__L_c + 0.195193 k_c + 0.019456 kdo2lipid4_e + 0.450531 leu__L_c + 0.343161 lys__L_c + 0.153686 met__L_c + 0.008675 mg2_c + 0.000223 mlthf_c + 0.000691 mn2_c + 7e-06 mobd_c + 0.013894 murein5px4p_p + 0.001831 nad_c + 0.000447 nadp_c + 0.013013 nh4_c + 0.000323 ni2_c + 0.017868 pe160_c + 0.045946 pe160_p + 0.054154 pe161_c + 0.02106 pe161_p + 0.185265 phe__L_c + 0.000223 pheme_c + 0.221055 pro__L_c + 0.000223 pydx5p_c + 0.000223 ribflv_c + 0.215792 ser__L_c + 0.000223 sheme_c + 0.004338 so4_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.253687 thr__L_c + 0.056843 trp__L_c + 0.137896 tyr__L_c + 5.5e-05 udcpdp_c + 0.144104 utp_c + 0.423162 val__L_c + 0.000341 zn2_c --> 53.95 adp_c + 53.95 h_c + 53.945662 pi_c + 0.773903 ppi_c,NA
EX,csn_e --> ,NA
EX,cu_e --> ,NA
EX,cu2_e --> ,NA
EX,cyan_e --> ,NA
EX,cynt_e --> ,NA
EX,cys__D_e --> ,NA
EX,cys__L_e --> ,NA
EX_glcn,glcn_e --> ,NA
EX_glcr,glcr_e --> ,NA
EX_glcur,glcur_e --> ,NA
EX_glcur1p,glcur1p_e --> ,NA
EX_gln__L,gln__L_e --> ,NA
EX_glu__L,glu__L_e --> ,NA
EX_gly,gly_e --> ,NA
EX_glyald,glyald_e --> ,NA
EX_glyb,glyb_e --> ,NA
EX_glyc,glyc_e --> ,NA
EX,cytd_e --> ,NA
EX_dad_2,dad_2_e --> ,NA
EX_damp,damp_e --> ,NA
EX_dca,dca_e --> ,NA
EX_glyc__R,glyc__R_e --> ,NA
EX_glyc2p,glyc2p_e --> ,NA
EX_dcmp,dcmp_e --> ,NA
EX_dcyt,dcyt_e --> ,NA
EX_glyc3p,glyc3p_e --> ,NA
EX_ddca,ddca_e --> ,NA
EX_glyclt,glyclt_e --> ,NA
EX_12ppd__R,12ppd__R_e --> ,NA
EX_gmp,gmp_e --> ,NA
EX_gsn,gsn_e --> ,NA
EX_gthox,gthox_e --> ,NA
EX_dgmp,dgmp_e --> ,NA
EX_dgsn,dgsn_e --> ,NA
EX_dha,dha_e --> ,NA
EX_gthrd,gthrd_e --> ,NA
EX_gtp,gtp_e --> ,NA
EX_dimp,dimp_e --> ,NA
EX_din,din_e --> ,NA
EX_dms,dms_e --> ,NA
EX_dmso,dmso_e --> ,NA
EX_dopa,dopa_e --> ,NA
EX_doxrbcn,doxrbcn_e --> ,NA
EX_gua,gua_e --> ,NA
EX_h,h_e --> ,NA
EX_h2,h2_e --> ,NA
EX_h2o,h2o_e --> ,NA
EX_h2o2,h2o2_e --> ,NA
EX_h2s,h2s_e --> ,NA
EX_hacolipa,hacolipa_e --> ,NA
EX_dtmp,dtmp_e --> ,NA
EX_dump,dump_e --> ,NA
EX_duri,duri_e --> ,NA
EX_halipa,halipa_e --> ,NA
EX_hdca,hdca_e --> ,NA
EX_12ppd__S,12ppd__S_e --> ,NA
EX_hdcea,hdcea_e --> ,NA
EX_hg2,hg2_e --> ,NA
EX,eca4colipa_e --> ,NA
EX,enlipa_e --> ,NA
EX,enter_e --> ,NA
EX,etha_e --> ,NA
EX_his__L,his__L_e --> ,NA
EX_hom__L,hom__L_e --> ,NA
EX,ethso3_e --> ,NA
EX_14glucan,14glucan_e --> ,NA
EX,etoh_e --> ,NA
EX_f6p,f6p_e --> ,NA
EX_hxa,hxa_e --> ,NA
EX_hxan,hxan_e --> ,NA
EX_fald,fald_e --> ,NA
EX_15dap,15dap_e --> ,NA
EX_fe2,fe2_e --> ,NA
EX_idon__L,idon__L_e --> ,NA
EX_ile__L,ile__L_e --> ,NA
EX_fe3,fe3_e --> ,NA
EX_23camp,23camp_e --> ,NA
EX_fe3dcit,fe3dcit_e --> ,NA
EX_fe3dhbzs,fe3dhbzs_e --> ,NA
EX_fe3hox,fe3hox_e --> ,NA
EX_imp,imp_e --> ,NA
EX_indole,indole_e --> ,NA
EX_inost,inost_e --> ,NA
EX_ins,ins_e --> ,NA
EX_isetac,isetac_e --> ,NA
EX_fe3hox_un,fe3hox_un_e --> ,NA
EX_fecrm,fecrm_e --> ,NA
EX_fecrm_un,fecrm_un_e --> ,NA
