reac,reaction,ec_number
HETZK,4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c,2.7.1.50
HEX1,atp_c + glc__D_c --> adp_c + g6p_c + h_c,2.7.1.1
GTPtex_num1,gtp_e --> gtp_p,NA
GUACYC,gtp_c --> 35cgmp_c + ppi_c,4.6.1.1
HEX4,atp_c + man_c --> adp_c + h_c + man6p_c,2.7.1.1
FE3HOXUtex,fe3hox_un_c + h_p --> fe3hox_un_p + h_c,NA
HEX7,atp_c + fru_c --> adp_c + f6p_c + h_c,2.7.1.1
HEXt2rpp,h_p + hxa_p --> h_c + hxa_c,NA
HG2abcpp,atp_c + h2o_c + hg2_c --> adp_c + h_c + hg2_p + pi_c,NA
HG2t3pp,h_p + hg2_c --> h_c + hg2_p,NA
HG2tex_num1,hg2_e --> hg2_p,NA
GUAD,gua_c + h2o_c + h_c --> nh4_c + xan_c,3.5.4.3
GUAPRT_num1,gua_c + prpp_c --> gmp_c + ppi_c,2.4.2.22
GUAt2pp,gua_p + h_p --> gua_c + h_c,NA
GUAtex,gua_e --> gua_p,NA
GUAtpp,gua_p --> gua_c,NA
GUI1,glcur_c --> fruur_c,5.3.1.12
HISTD,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,1.1.1.23
FE3HOXUtpp,fe3hox_un_p + h_p --> fe3hox_un_e + h_c,NA
HISTP,h2o_c + hisp_c --> histd_c + pi_c,3.1.3.15
HISTRS,atp_c + his__L_c + trnahis_c --> amp_c + histrna_c + ppi_c,6.1.1.21
GUI2,galur_c --> tagur_c,5.3.1.12
GUR1PPpp,glcur1p_p + h2o_p --> glcur_p + pi_p,NA
H2O2tex_num1,h2o2_e --> h2o2_p,NA
H2Otex_num1,h2o_e --> h2o_p,NA
HISabcpp,atp_c + h2o_c + his__L_p --> adp_c + h_c + his__L_c + pi_c,3.6.3.21
HISt2rpp,h_p + his__L_p --> h_c + his__L_c,NA
HIStex_num1,his__L_e --> his__L_p,NA
HKNDDH,h2o_c + hkndd_c --> h_c + op4en_c + succ_c,3.7.1.14
HPPK2,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,2.7.6.3
FE3HOXabcpp,atp_c + fe3hox_p + h2o_c --> adp_c + fe3hox_c + h_c + pi_c,NA
HPPPNDO,dhpppn_c + o2_c --> h_c + hkndd_c,1.13.11.16
HPPPNt2rpp,3hpppn_p + h_p --> 3hpppn_c + h_c,NA
HKNTDH,h2o_c + hkntd_c --> fum_c + h_c + op4en_c,3.7.1.14
HMBS,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,2.5.1.61
HMPK1_num1,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c,2.7.1.49
HPPPNtex_num1,3hpppn_e --> 3hpppn_p,NA
HPYRI,hpyr_c --> 2h3oppan_c,5.3.1.22
HOMt2pp_num1,h_p + hom__L_c --> h_c + hom__L_p,NA
FE3HOXexs,fe3_e + fe3hox_un_e --> fe3hox_e,NA
HOMtex_num1,hom__L_e --> hom__L_p,NA
HOPNTAL,4h2opntn_c --> acald_c + pyr_c,4.1.2
HPYRRx_num1,h_c + hpyr_c + nadh_c --> glyc__R_c + nad_c,1.1.1.26
HPYRRy_num1,h_c + hpyr_c + nadph_c --> glyc__R_c + nadp_c,1.1.1
HSDy_num1,hom__L_c + nadp_c --> aspsa_c + h_c + nadph_c,1.1.1.3
FE3HOXtonex,fe3hox_e + h_p --> fe3hox_p + h_c,NA
HSK,atp_c + hom__L_c --> adp_c + h_c + phom_c,2.7.1.39
HSST,hom__L_c + succoa_c --> coa_c + suchms_c,2.3.1.46
ILEabcpp,atp_c + h2o_c + ile__L_p --> adp_c + h_c + ile__L_c + pi_c,NA
ILEt2rpp,h_p + ile__L_p --> h_c + ile__L_c,NA
ILEtex_num1,ile__L_e --> ile__L_p,NA
IMPC,h2o_c + imp_c --> fprica_c,2.1.2.3
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,1.1.1.205
HSTPT,glu__L_c + imacp_c --> akg_c + hisp_c,2.6.1.9
HXAND,h2o_c + hxan_c + nad_c --> h_c + nadh_c + xan_c,1.17.1.4
HXAtex_num1,hxa_e --> hxa_p,NA
HXCT,accoa_c + hxa_c --> ac_c + hxcoa_c,2.8.3.8
HXPRT_num1,hxan_c + prpp_c --> imp_c + ppi_c,2.4.2.8
IMPtex_num1,imp_e --> imp_p,NA
INDOLEt2rpp,h_p + indole_p --> h_c + indole_c,NA
HYD1pp_num1,h2_c + 2.0 h_c + q8_c --> 2.0 h_p + q8h2_c,NA
FE3Ri,fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c,NA
HYD2pp_num1,h2_c + 2.0 h_c + mqn8_c --> 2.0 h_p + mql8_c,NA
HYD3pp_num1,2dmmq8_c + h2_c + 2.0 h_c --> 2dmmql8_c + 2.0 h_p,1.18.99.1
INDOLEtex_num1,indole_e --> indole_p,NA
INOSTt4pp,inost_p + na1_p --> inost_c + na1_c,NA
INSH,h2o_c + ins_c --> hxan_c + rib__D_c,3.2.2.1
INSK,atp_c + ins_c --> adp_c + h_c + imp_c,2.7.1.73
INSTtex_num1,inost_e --> inost_p,NA
HYPOE,h2o_c + pyam5p_c --> pi_c + pydam_c,3.1.3.74
HYXNtex_num1,hxan_e --> hxan_p,NA
HYXNtpp,hxan_p --> hxan_c,NA
Htex_num1,h_e --> h_p,NA
I2FE2SR,2fe1s_c + iscssh_c + iscu_c --> 4.0 h_c + iscs_c + iscu_2fe2s_c,NA
I2FE2SS,fadh2_c + 2.0 fe2_c + 2.0 iscssh_c + iscu_c --> fad_c + 6.0 h_c + 2.0 iscs_c + iscu_2fe2s_c,NA
I2FE2SS2,fadh2_c + 2.0 fe2_c + 2.0 iscssh_c + iscu_2fe2s_c --> fad_c + 6.0 h_c + 2.0 iscs_c + iscu_2fe2s2_c,NA
INSt2pp,h_p + ins_p --> h_c + ins_c,NA
INSt2pp,h_p + ins_p --> h_c + ins_c,NA
INStex,ins_e --> ins_p,NA
IPDDI,ipdp_c --> dmpp_c,5.3.3.2
IPDPS,h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,1.17.1.2
I2FE2ST,4.0 h_c + iscu_2fe2s_c --> 2fe2s_c + iscu_c,NA
I4FE4SR,fadh2_c + 2.0 h_c + iscu_2fe2s2_c --> fad_c + iscu_4fe4s_c,NA
IPMD,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,1.1.1.85
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,NA
FE3abcpp,atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c,3.6.3.30
ICDHyr,icit_c + nadp_c --> akg_c + co2_c + nadph_c,1.1.1.42
ICHORS,chor_c --> ichor_c,5.4.4.2
IPPMIa,3c2hmp_c --> 2ippm_c + h2o_c,4.2.1.33
IPPMIb,2ippm_c + h2o_c --> 3c3hmp_c,4.2.1.33
IPPS,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,2.3.3.13
ICHORS,chor_c --> ichor_c,5.4.4.2
ICHORT,h2o_c + ichor_c --> 23ddhb_c + pyr_c,3.3.2.1
ISETACabcpp_num1,atp_c + h2o_c + isetac_p --> adp_c + h_c + isetac_c + pi_c,NA
ISETACtex_num1,isetac_e --> isetac_p,NA
ICL,icit_c --> glx_c + succ_c,4.1.3.1
FE3tex_num1,fe3_e --> fe3_p,NA
ICYSDS,cys__L_c + iscs_c --> ala__L_c + iscssh_c,NA
K2L4Aabcpp,atp_c + h2o_c + kdo2lipid4_c --> adp_c + h_c + kdo2lipid4_p + pi_c,NA
K2L4Aabctex,atp_c + h2o_c + kdo2lipid4_p --> adp_c + h_c + kdo2lipid4_e + pi_c,NA
IDOND,5dglcn_c + h_c + nadh_c --> idon__L_c + nad_c,1.1.1.264
IDOND2,5dglcn_c + h_c + nadph_c --> idon__L_c + nadp_c,1.1.1.264
IDONt2rpp,h_p + idon__L_p --> h_c + idon__L_c,3.6.3
IDONtex_num1,idon__L_e --> idon__L_p,NA
KARA1,23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c,1.1.1.383
KARA2,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c,1.1.1.86
KAS14_num1,acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c,2.3.1.-
KAS15,accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c,2.3.1.180
KDOCT2,ctp_c + kdo_c --> ckdo_c + ppi_c,2.7.7.38
IG3PS,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c,2.4.2.-
IGPDH,eig3p_c --> h2o_c + imacp_c,4.2.1.19
IGPS,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,4.1.1.48
KDOPP,h2o_c + kdo8p_c --> kdo_c + pi_c,3.1.3.45
ILETA,akg_c + ile__L_c --> 3mop_c + glu__L_c,2.6.1.42
FECRMR1,fadh2_c + 2.0 fecrm_c --> fad_c + 2.0 fe2_c + 2.0 fecrm_un_c + 2.0 h_c,NA
ILETRS,atp_c + ile__L_c + trnaile_c --> amp_c + iletrna_c + ppi_c,6.1.1.5
MLDCP2Bpp,h2o_p + murein4p3p_p --> ala__D_p + murein3p3p_p,3.4.17.13
KDOPS,ara5p_c + h2o_c + pep_c --> kdo8p_c + pi_c,2.5.1.55
KG6PDC_num1,3dhgulnp_c + h_c --> co2_c + xu5p__L_c,4.1.1.85
Kabcpp,atp_c + h2o_c + k_p --> adp_c + h_c + k_c + pi_c,3.6.3.10
Kt2pp_num1,h_p + k_p --> h_c + k_c,NA
Kt3pp_num1,h_p + k_c --> h_c + k_p,NA
FECRMR2,2.0 fecrm_c + fmnh2_c --> 2.0 fe2_c + 2.0 fecrm_un_c + fmn_c + 2.0 h_c,NA
Ktex_num1,k_e --> k_p,NA
LA4NTpp,colipa_p + uLa4n_p --> acolipa_p + udcpp_p,NA
LACZ,h2o_c + lcts_c --> gal_c + glc__D_c,3.2.1.108
LACZpp,h2o_p + lcts_p --> gal_p + glc__D_p,3.2.1.108
L_LACD2_num1,lac__L_c + q8_c --> pyr_c + q8h2_c,1.1.2.3
L_LACD3_num1,lac__L_c + mqn8_c --> mql8_c + pyr_c,1.1.2.3
L_LACt2rpp_num1,h_p + lac__L_p --> h_c + lac__L_c,NA
L_LACtex_num1,lac__L_e --> lac__L_p,NA
LADGMDH,LalaDgluMdap_c + h2o_c --> 26dap__M_c + LalaDglu_c,NA
LALADGLUtex_num1,LalaDglu_e --> LalaDglu_p,NA
LALADGLUtpp_num1,LalaDglu_p + h_p --> LalaDglu_c + h_c,NA
LALALGLUtex_num1,LalaLglu_e --> LalaLglu_p,NA
LALALGLUtpp_num1,LalaLglu_p + h_p --> LalaLglu_c + h_c,NA
FECRMR3,2.0 fecrm_c + rbflvrd_c --> 2.0 fe2_c + 2.0 fecrm_un_c + 2.0 h_c + ribflv_c,NA
LALDO2x,h_c + mthgxl_c + nadh_c --> lald__D_c + nad_c,1.1.1.78
LALDO3,h_c + mthgxl_c + nadph_c --> lald__L_c + nadp_c,1.1.1.283
LALGP,LalaLglu_c + h2o_c --> ala__L_c + glu__L_c,3.4.13.18
LCADi,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,1.2.1.22
LCARR,h_c + lald__D_c + nadh_c --> 12ppd__R_c + nad_c,1.1.1.77
LPLIPAL1E161pp,1agpe161_p + h2o_p --> g3pe_p + h_p + hdcea_p,NA
LPLIPAL1E180pp,1agpe180_p + h2o_p --> g3pe_p + h_p + ocdca_p,NA
LPLIPAL1E181pp,1agpe181_p + h2o_p --> g3pe_p + h_p + ocdcea_p,NA
LPLIPAL1G120pp,1agpg120_p + h2o_p --> ddca_p + g3pg_p + h_p,NA
LPLIPAL1G140pp,1agpg140_p + h2o_p --> g3pg_p + h_p + ttdca_p,NA
LCARS,h_c + lald__L_c + nadh_c --> 12ppd__S_c + nad_c,1.1.1.77
FECRMUtex,fecrm_un_p + h_p --> fecrm_un_e + h_c,NA
LCTSt3ipp_num1,h_p + lcts_c --> h_c + lcts_p,NA
LCTStex_num1,lcts_e --> lcts_p,NA
LCTStpp,h_p + lcts_p --> h_c + lcts_c,NA
LPLIPAL1G141pp,1agpg141_p + h2o_p --> g3pg_p + h_p + ttdcea_p,NA
LPLIPAL1G160pp,1agpg160_p + h2o_p --> g3pg_p + h_p + hdca_p,NA
LPLIPAL1G161pp,1agpg161_p + h2o_p --> g3pg_p + h_p + hdcea_p,NA
LPLIPAL1G180pp,1agpg180_p + h2o_p --> g3pg_p + h_p + ocdca_p,NA
LPLIPAL1G181pp,1agpg181_p + h2o_p --> g3pg_p + h_p + ocdcea_p,NA
LPLIPAL2A120,2ddecg3p_c + h2o_c --> ddca_c + glyc3p_c + 2.0 h_c,3.1.1.5
LPLIPAL2A140,2tdecg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ttdca_c,3.1.1.5
LDH_D_num1,lac__D_c + nad_c --> h_c + nadh_c + pyr_c,1.1.1.28
LDH_D2,lac__D_c + q8_c --> pyr_c + q8h2_c,NA
LEUTAi_num1,4mop_c + glu__L_c --> akg_c + leu__L_c,2.6.1.42
LEUTRS,atp_c + leu__L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c,6.1.1.4
LEUabcpp_num1,atp_c + h2o_c + leu__L_p --> adp_c + h_c + leu__L_c + pi_c,NA
LEUt2rpp,h_p + leu__L_p --> h_c + leu__L_c,NA
LPLIPAL2A141,2tdec7eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ttdcea_c,3.1.1.5
LPLIPAL2A160,2hdecg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + hdca_c,3.1.1.5
LEUtex_num1,leu__L_e --> leu__L_p,NA
FECRMUtpp,fecrm_un_c + h_p --> fecrm_un_p + h_c,NA
LGTHL,gthrd_c + mthgxl_c --> lgt__S_c,4.4.1.5
LIPACabcpp,atp_c + h2o_c + lipa_cold_c --> adp_c + h_c + lipa_cold_p + pi_c,NA
LPLIPAL2A161,2hdec9eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + hdcea_c,NA
LPLIPAL2A180,2odecg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ocdca_c,3.1.1.5
LPLIPAL2A181,2odec11eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ocdcea_c,NA
LPLIPAL2ATE120,2agpe120_c + pg120_c --> apg120_c + g3pe_c,NA
LIPAHT2ex,colipa_e + h_e + hdca_e --> h2o_e + hacolipa_e,NA
LPLIPAL2ATE140,2agpe140_c + pg140_c --> apg140_c + g3pe_c,NA
LIPAHTex,h_e + hdca_e + lipa_e --> h2o_e + halipa_e,NA
LPLIPAL2ATE141,2agpe141_c + pg141_c --> apg141_c + g3pe_c,NA
LIPAMPL,lipoamp_c --> amp_c + lipopb_c,NA
FECRMabcpp,atp_c + fecrm_p + h2o_c --> adp_c + fecrm_c + h_c + pi_c,3.6.3.34
LIPATPT,atp_c + lipoate_c --> lipoamp_c + ppi_c,2.7.7.63
LIPAabcpp,atp_c + h2o_c + lipa_c --> adp_c + h_c + lipa_p + pi_c,NA
LPLIPAL2ATE160,2agpe160_c + pg160_c --> apg160_c + g3pe_c,NA
LPLIPAL2ATE161,2agpe161_c + pg161_c --> apg161_c + g3pe_c,NA
LPLIPAL2ATE180,2agpe180_c + pg180_c --> apg180_c + g3pe_c,NA
LPLIPAL2ATE181,2agpe181_c + pg181_c --> apg181_c + g3pe_c,NA
LPLIPAL2ATG120,2agpg120_c + pg120_c --> apg120_c + g3pg_c,NA
LPLIPAL2ATG140,2agpg140_c + pg140_c --> apg140_c + g3pg_c,NA
LIPAabctex,atp_c + h2o_c + lipa_p --> adp_c + h_c + lipa_e + pi_c,NA
LIPOCT,h_c + ocACP_c --> ACP_c + octapb_c,NA
LIPOS,4fe4s_c + 2.0 amet_c + h_c + nad_c + octapb_c --> 2fe2s_c + 2.0 dad_5_c + 2.0 fe2_c + lipopb_c + 2.0 met__L_c + nadh_c,NA
LIPOt2pp,h_p + lipoate_p --> h_c + lipoate_c,NA
LIPOtex_num1,lipoate_e --> lipoate_p,NA
LPLIPAL2ATG141,2agpg141_c + pg141_c --> apg141_c + g3pg_c,NA
LPLIPAL2ATG160,2agpg160_c + pg160_c --> apg160_c + g3pg_c,NA
LPLIPAL2ATG161,2agpg161_c + pg161_c --> apg161_c + g3pg_c,NA
LPADSS,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c,2.4.1.182
LPLIPAL1A120pp,1ddecg3p_p + h2o_p --> ddca_p + glyc3p_p + h_p,3.1.1.5
FECRMexs,fe3_e + fecrm_un_e --> fecrm_e,NA
LPLIPAL1A140pp,1tdecg3p_p + h2o_p --> glyc3p_p + h_p + ttdca_p,3.1.1.5
LPLIPAL1A141pp,1tdec7eg3p_p + h2o_p --> glyc3p_p + h_p + ttdcea_p,3.1.1.5
LPLIPAL2ATG180,2agpg180_c + pg180_c --> apg180_c + g3pg_c,NA
LPLIPAL2ATG181,2agpg181_c + pg181_c --> apg181_c + g3pg_c,NA
LPLIPAL2E120,2agpe120_c + h2o_c --> ddca_c + g3pe_c + h_c,NA
LPLIPAL2E140,2agpe140_c + h2o_c --> g3pe_c + h_c + ttdca_c,NA
LPLIPAL1A160pp,1hdecg3p_p + h2o_p --> glyc3p_p + h_p + hdca_p,3.1.1.5
FECRMtonex,fecrm_e + h_p --> fecrm_p + h_c,NA
LPLIPAL1A161pp,1hdec9eg3p_p + h2o_p --> glyc3p_p + h_p + hdcea_p,NA
LPLIPAL1A180pp,1odecg3p_p + h2o_p --> glyc3p_p + h_p + ocdca_p,3.1.1.5
LPLIPAL1A181pp,1odec11eg3p_p + h2o_p --> glyc3p_p + h_p + ocdcea_p,NA
LPLIPAL1E120pp,1agpe120_p + h2o_p --> ddca_p + g3pe_p + h_p,NA
LPLIPAL1E140pp,1agpe140_p + h2o_p --> g3pe_p + h_p + ttdca_p,NA
LPLIPAL1E141pp,1agpe141_p + h2o_p --> g3pe_p + h_p + ttdcea_p,NA
LPLIPAL2E141,2agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c,NA
LPLIPAL2E160,2agpe160_c + h2o_c --> g3pe_c + h_c + hdca_c,3.1.1.5
LPLIPAL2E161,2agpe161_c + h2o_c --> g3pe_c + h_c + hdcea_c,NA
LPLIPAL2E180,2agpe180_c + h2o_c --> g3pe_c + h_c + ocdca_c,3.1.1.5
LPLIPAL2E181,2agpe181_c + h2o_c --> g3pe_c + h_c + ocdcea_c,NA
LPLIPAL2G120,2agpg120_c + h2o_c --> ddca_c + g3pg_c + h_c,NA
LPLIPAL1E160pp,1agpe160_p + h2o_p --> g3pe_p + h_p + hdca_p,NA
FEENTERR1,fadh2_c + 2.0 feenter_c --> 2.0 enter_c + fad_c + 2.0 fe2_c + 2.0 h_c,NA
MACPD,h_c + malACP_c --> acACP_c + co2_c,2.3.1
LPLIPAL2G140,2agpg140_c + h2o_c --> g3pg_c + h_c + ttdca_c,NA
LPLIPAL2G141,2agpg141_c + h2o_c --> g3pg_c + h_c + ttdcea_c,NA
LPLIPAL2G160,2agpg160_c + h2o_c --> g3pg_c + h_c + hdca_c,NA
LPLIPAL2G161,2agpg161_c + h2o_c --> g3pg_c + h_c + hdcea_c,NA
MALCOAMT,amet_c + malcoa_c --> ahcys_c + malcoame_c,NA
MALDDH,mal__D_c + nad_c --> co2_c + nadh_c + pyr_c,1.1.1.83
FEENTERR2,2.0 feenter_c + fmnh2_c --> 2.0 enter_c + 2.0 fe2_c + fmn_c + 2.0 h_c,NA
MALDt2_2pp,2.0 h_p + mal__D_p --> 2.0 h_c + mal__D_c,NA
LPLIPAL2G180,2agpg180_c + h2o_c --> g3pg_c + h_c + ocdca_c,NA
LPLIPAL2G181,2agpg181_c + h2o_c --> g3pg_c + h_c + ocdcea_c,NA
LSERDHr,nadp_c + ser__L_c --> 2amsa_c + h_c + nadph_c,1.1.1.276
MALDtex_num1,mal__D_e --> mal__D_p,NA
FEENTERR3,2.0 feenter_c + rbflvrd_c --> 2.0 enter_c + 2.0 fe2_c + 2.0 h_c + ribflv_c,NA
MALS_num1,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,2.3.3.9
MALTATr,accoa_c + malt_c --> acmalt_c + coa_c,2.3.1.79
LYSDC,h_c + lys__L_c --> 15dap_c + co2_c,4.1.1.18
LYSTRS_num1,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,6.1.1.6
LYSabcpp,atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c,3.6.3.21
LYSt2pp,h_p + lys__L_p --> h_c + lys__L_c,NA
LYSt3pp,h_p + lys__L_c --> h_c + lys__L_p,NA
MALTHXabcpp,atp_c + h2o_c + malthx_p --> adp_c + h_c + malthx_c + pi_c,NA
MALTHXtexi,malthx_e --> malthx_p,NA
MALTPTabcpp,atp_c + h2o_c + maltpt_p --> adp_c + h_c + maltpt_c + pi_c,NA
MALTPTtexi,maltpt_e --> maltpt_p,NA
MALTTRabcpp,atp_c + h2o_c + malttr_p --> adp_c + h_c + malttr_c + pi_c,3.6.3
LYStex_num1,lys__L_e --> lys__L_p,NA
LYXI,lyx__L_c --> xylu__L_c,5.3.1.-
LYXt2pp,h_p + lyx__L_p --> h_c + lyx__L_c,NA
MALTTRtexi,malttr_e --> malttr_p,NA
FEENTERabcpp,atp_c + feenter_p + h2o_c --> adp_c + feenter_c + h_c + pi_c,3.6.3.34
MALTTTRabcpp,atp_c + h2o_c + maltttr_p --> adp_c + h_c + maltttr_c + pi_c,3.6.3
MALTTTRtexi,maltttr_e --> maltttr_p,NA
MALTabcpp,atp_c + h2o_c + malt_p --> adp_c + h_c + malt_c + pi_c,3.6.3.19
LYXtex_num1,lyx__L_e --> lyx__L_p,NA
M1PD,mnl1p_c + nad_c --> f6p_c + h_c + nadh_c,1.1.1.17
MALTptspp,malt_p + pep_c --> malt6p_c + pyr_c,NA
FEENTERexs,enter_e + fe3_e --> feenter_e,NA
MALTtexi,malt_e --> malt_p,NA
MALt2_2pp,2.0 h_p + mal__L_p --> 2.0 h_c + mal__L_c,NA
MDDCP4pp_num1,h2o_p + murein5p4p_p --> ala__D_p + murein4p4p_p,3.4.16.4
FEENTERtex,enter_p + h_p --> enter_e + h_c,NA
MDDCP5pp_num1,h2o_p + murein5p3p_p --> ala__D_p + murein4p3p_p,3.4.16.4
MDDEP1pp_num1,h2o_p + murein4px4p_p --> murein4p4p_p,NA
MDDEP2pp_num1,h2o_p + murein3px4p_p --> murein4p3p_p,NA
MDDEP3pp_num1,h2o_p + murein5px4p_p --> murein5p4p_p,NA
MALt2_3pp_num1,3.0 h_p + mal__L_p --> 3.0 h_c + mal__L_c,NA
MALt3pp,h_p + mal__L_c --> h_c + mal__L_p,NA
MALtex_num1,mal__L_e --> mal__L_p,NA
MAN1PT2,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,2.7.7.22
MAN6PI,man6p_c --> f6p_c,5.3.1.8
MAN6Pt6_2pp,man6p_p + 2.0 pi_c --> man6p_c + 2.0 pi_p,NA
MAN6Ptex_num1,man6p_e --> man6p_p,NA
MDDEP4pp_num1,h2o_p + murein4px4px4p_p --> murein4px4p4p_p,NA
MDH,mal__L_c + nad_c --> h_c + nadh_c + oaa_c,1.1.1.299
MDH2,mal__L_c + q8_c --> oaa_c + q8h2_c,NA
MDH3,mal__L_c + mqn8_c --> mql8_c + oaa_c,NA
MANAO,mana_c + nad_c --> fruur_c + h_c + nadh_c,1.1.1.57
MANGLYCptspp,manglyc_p + pep_c --> man6pglyc_c + pyr_c,NA
ME1,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,1.1.1.38
MANGLYCtex_num1,manglyc_e --> manglyc_p,NA
G6PP,g6p_c + h2o_c --> glc__D_c + pi_c,3.1.3.58
MANPGH,h2o_c + man6pglyc_c --> glyc__R_c + man6p_c,3.2.1.170
MANptspp,man_p + pep_c --> man6p_c + pyr_c,NA
MANtex_num1,man_e --> man_p,NA
MCITD,2mcit_c --> 2mcacn_c + h2o_c,4.2.1.79
ME2,mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,1.1.1.40
MECDPDH5_num1,2mecdp_c + 2.0 flxr_c + h_c --> 2.0 flxso_c + h2mb4p_c + h2o_c,NA
MECDPS,2p4c2me_c --> 2mecdp_c + cmp_c,4.6.1.12
MCITL2,micit_c --> pyr_c + succ_c,4.1.3.30
MCITS,h2o_c + oaa_c + ppcoa_c --> 2mcit_c + coa_c + h_c,2.3.3.5
MCOATA,ACP_c + malcoa_c --> coa_c + malACP_c,2.3.1.-
MCPST,cyan_c + mercppyr_c --> h_c + pyr_c + tcynt_c,2.8.1.2
MELIBt2pp,h_p + melib_p --> h_c + melib_c,NA
MELIBt3ipp,h_p + melib_c --> h_c + melib_p,NA
MELIBtex_num1,melib_e --> melib_p,NA
MEOHtex_num1,meoh_e --> meoh_p,NA
MEOHtrpp,meoh_p --> meoh_c,NA
MCTP1App_num1,murein5p5p_p --> ala__D_p + murein5px4p_p,NA
MCTP1Bpp_num1,murein5p5p_p --> alaala_p + murein5px3p_p,NA
MCTP2App_num1,murein5p5p5p_p --> 2.0 ala__D_p + murein5px4px4p_p,NA
MEPCT,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,2.7.7.60
MDDCP1pp_num1,h2o_p + murein5px4p_p --> ala__D_p + murein4px4p_p,3.4.16.4
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,2.5.1.6
MDDCP2pp_num1,h2o_p + murein5px4px4p_p --> ala__D_p + murein4px4px4p_p,3.4.16.4
MLTG1,h2o_c + malttr_c --> glc__D_c + malt_c,3.2.1.20
MDDCP3pp_num1,h2o_p + murein5p5p_p --> ala__D_p + murein5p4p_p,3.4.16.4
MLDCP3App,h2o_p + murein5px3p_p --> alaala_p + murein3px3p_p,3.4.17.13
METDabcpp,atp_c + h2o_c + met__D_p --> adp_c + h_c + met__D_c + pi_c,NA
METDtex_num1,met__D_e --> met__D_p,NA
METOX1s,h2o2_c + met__L_c --> h2o_c + metsox_S__L_c,NA
METOX2s,h2o2_c + met__L_c --> h2o_c + metsox_R__L_c,NA
METS_num1,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c,2.1.1.13
METSOX1abcpp,atp_c + h2o_c + metsox_S__L_p --> adp_c + h_c + metsox_S__L_c + pi_c,NA
METSOX1tex_num1,metsox_S__L_e --> metsox_S__L_p,NA
MSO3abcpp,atp_c + h2o_c + mso3_p --> adp_c + h_c + mso3_c + pi_c,NA
MLTG2,h2o_c + maltttr_c --> glc__D_c + malttr_c,NA
MSO3tex_num1,mso3_e --> mso3_p,NA
MTAN,5mta_c + h2o_c --> 5mtr_c + ade_c,3.2.2.16
MTHFC,h2o_c + methf_c --> 10fthf_c + h_c,1.5.1.15
MTHFD,mlthf_c + nadp_c --> methf_c + nadph_c,1.5.1.5
MTHFR2,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c,1.5.1.20
MTHTHFSs,h2o_c + mdhdhf_c --> mththf_c,NA
METSOX2abcpp,atp_c + h2o_c + metsox_R__L_p --> adp_c + h_c + metsox_R__L_c + pi_c,NA
METSOX2tex_num1,metsox_R__L_e --> metsox_R__L_p,NA
METSOXR1_num1,metsox_S__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c,1.8.4.13
METSOXR2_num1,metsox_R__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c,1.8.4.14
