reactions,metabolites,metabolitestotal,gpr,genes
12PPDRtex_num1,12ppd__R_e,12ppd__R,ECDH1ME8569_0229,ECDH1ME8569_0229
12PPDStex_num1,12ppd__S_e,12ppd__S,ECDH1ME8569_0229,ECDH1ME8569_0229
14GLUCANabcpp,14glucan_p,14glucan,ECDH1ME8569_3890 and ECDH1ME8569_3889 and ECDH1ME8569_3888 and ECDH1ME8569_3891,ECDH1ME8569_3888
14GLUCANabcpp,14glucan_p,14glucan,ECDH1ME8569_3890 and ECDH1ME8569_3889 and ECDH1ME8569_3888 and ECDH1ME8569_3891,ECDH1ME8569_3890
14GLUCANabcpp,14glucan_p,14glucan,ECDH1ME8569_3890 and ECDH1ME8569_3889 and ECDH1ME8569_3888 and ECDH1ME8569_3891,ECDH1ME8569_3889
14GLUCANabcpp,14glucan_p,14glucan,ECDH1ME8569_3890 and ECDH1ME8569_3889 and ECDH1ME8569_3888 and ECDH1ME8569_3891,ECDH1ME8569_3891
14GLUCANtexi,14glucan_e,14glucan,ECDH1ME8569_3892,ECDH1ME8569_3892
23CAMPtex_num1,23camp_e,23camp,ECDH1ME8569_0229,ECDH1ME8569_0229
23CCMPtex_num1,23ccmp_e,23ccmp,ECDH1ME8569_0229,ECDH1ME8569_0229
23CGMPtex_num1,23cgmp_e,23cgmp,ECDH1ME8569_0229,ECDH1ME8569_0229
23CUMPtex_num1,23cump_e,23cump,ECDH1ME8569_0229,ECDH1ME8569_0229
23DAPPAtex_num1,23dappa_e,23dappa,ECDH1ME8569_0229,ECDH1ME8569_0229
23PDE2pp,23cump_p,23cump,ECDH1ME8569_o0082,ECDH1ME8569_o0082
23PDE4pp,23ccmp_p,23ccmp,ECDH1ME8569_o0082,ECDH1ME8569_o0082
23PDE7pp,23camp_p,23camp,ECDH1ME8569_o0082,ECDH1ME8569_o0082
23PDE9pp,23cgmp_p,23cgmp,ECDH1ME8569_o0082,ECDH1ME8569_o0082
26DAHtex_num1,26dap__M_e,26dap__M,ECDH1ME8569_0229,ECDH1ME8569_0229
2AGPA120tipp,2ddecg3p_p,2ddecg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA140tipp,2tdecg3p_p,2tdecg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA141tipp,2tdec7eg3p_p,2tdec7eg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA160tipp,2hdecg3p_p,2hdecg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA161tipp,2hdec9eg3p_p,2hdec9eg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA180tipp,2odecg3p_p,2odecg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA181tipp,2odec11eg3p_p,2odec11eg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE120tipp,2agpe120_p,2agpe120,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE140tipp,2agpe140_p,2agpe140,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE141tipp,2agpe141_p,2agpe141,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE160tipp,2agpe160_p,2agpe160,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE161tipp,2agpe161_p,2agpe161,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE180tipp,2agpe180_p,2agpe180,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE181tipp,2agpe181_p,2agpe181,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPEAT120,2agpe120_c,2agpe120,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT120,ddca_c,ddca,ECDH1ME8569_2743,ECDH1ME8569_2743
3NTD4pp,3cmp_p,3cmp,ECDH1ME8569_o0082,ECDH1ME8569_o0082
3NTD7pp,3amp_p,3amp,ECDH1ME8569_o0082,ECDH1ME8569_o0082
3NTD9pp,3gmp_p,3gmp,ECDH1ME8569_o0082,ECDH1ME8569_o0082
2AGPEAT140,2agpe140_c,2agpe140,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT140,ttdca_c,ttdca,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT141,2agpe141_c,2agpe141,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT141,ttdcea_c,ttdcea,ECDH1ME8569_2743,ECDH1ME8569_2743
3OAR100,3odecACP_c,3odecACP,ECDH1ME8569_1028,ECDH1ME8569_1028
2AGPEAT160,2agpe160_c,2agpe160,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT160,hdca_c,hdca,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT161,2agpe161_c,2agpe161,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT161,hdcea_c,hdcea,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT180,2agpe180_c,2agpe180,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT180,ocdca_c,ocdca,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT181,2agpe181_c,2agpe181,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT181,ocdcea_c,ocdcea,ECDH1ME8569_2743,ECDH1ME8569_2743
3OAR120,3oddecACP_c,3oddecACP,ECDH1ME8569_1028,ECDH1ME8569_1028
3OAR121,3ocddec5eACP_c,3ocddec5eACP,ECDH1ME8569_1028,ECDH1ME8569_1028
3OAR140,3omrsACP_c,3omrsACP,ECDH1ME8569_1028,ECDH1ME8569_1028
3OAR141,3ocmrs7eACP_c,3ocmrs7eACP,ECDH1ME8569_1028,ECDH1ME8569_1028
2AGPG120tipp,2agpg120_p,2agpg120,ECDH1ME8569_2742,ECDH1ME8569_2742
3OAR160,3opalmACP_c,3opalmACP,ECDH1ME8569_1028,ECDH1ME8569_1028
2AGPG140tipp,2agpg140_p,2agpg140,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPG141tipp,2agpg141_p,2agpg141,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPG160tipp,2agpg160_p,2agpg160,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPG161tipp,2agpg161_p,2agpg161,ECDH1ME8569_2742,ECDH1ME8569_2742
3OAR161,3ocpalm9eACP_c,3ocpalm9eACP,ECDH1ME8569_1028,ECDH1ME8569_1028
3OAR180,3ooctdACP_c,3ooctdACP,ECDH1ME8569_1028,ECDH1ME8569_1028
3OAR181,3ocvac11eACP_c,3ocvac11eACP,ECDH1ME8569_1028,ECDH1ME8569_1028
3OAR40,actACP_c,actACP,ECDH1ME8569_1028,ECDH1ME8569_1028
3OAR60,3ohexACP_c,3ohexACP,ECDH1ME8569_1028,ECDH1ME8569_1028
3OAR80,3ooctACP_c,3ooctACP,ECDH1ME8569_1028,ECDH1ME8569_1028
3OAS100_num1,malACP_c,malACP,ECDH1ME8569_2261,ECDH1ME8569_2261
3OAS100_num1,ocACP_c,ocACP,ECDH1ME8569_2261,ECDH1ME8569_2261
2AGPG180tipp,2agpg180_p,2agpg180,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPG181tipp,2agpg181_p,2agpg181,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPGAT120,2agpg120_c,2agpg120,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT120,ddca_c,ddca,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT140,2agpg140_c,2agpg140,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT140,ttdca_c,ttdca,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT141,2agpg141_c,2agpg141,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT141,ttdcea_c,ttdcea,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT160,2agpg160_c,2agpg160,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT160,hdca_c,hdca,ECDH1ME8569_2743,ECDH1ME8569_2743
3OAS120_num1,dcaACP_c,dcaACP,ECDH1ME8569_1030,ECDH1ME8569_1030
3OAS120_num1,malACP_c,malACP,ECDH1ME8569_1030,ECDH1ME8569_1030
3OAS121,cdec3eACP_c,cdec3eACP,ECDH1ME8569_2261,ECDH1ME8569_2261
3OAS121,malACP_c,malACP,ECDH1ME8569_2261,ECDH1ME8569_2261
2AGPGAT161,2agpg161_c,2agpg161,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT161,hdcea_c,hdcea,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT180,2agpg180_c,2agpg180,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT180,ocdca_c,ocdca,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT181,2agpg181_c,2agpg181,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPGAT181,ocdcea_c,ocdcea,ECDH1ME8569_2743,ECDH1ME8569_2743
2DGULRGx,2dhguln_c,2dhguln,ECDH1ME8569_3432,ECDH1ME8569_3432
3OAS140_num1,ddcaACP_c,ddcaACP,ECDH1ME8569_2261,ECDH1ME8569_2261
3OAS140_num1,malACP_c,malACP,ECDH1ME8569_2261,ECDH1ME8569_2261
3OAS141,cddec5eACP_c,cddec5eACP,ECDH1ME8569_2261,ECDH1ME8569_2261
3OAS141,malACP_c,malACP,ECDH1ME8569_2261,ECDH1ME8569_2261
3OAS160_num1,malACP_c,malACP,ECDH1ME8569_2261,ECDH1ME8569_2261
3OAS160_num1,myrsACP_c,myrsACP,ECDH1ME8569_2261,ECDH1ME8569_2261
3OAS161,malACP_c,malACP,ECDH1ME8569_2261,ECDH1ME8569_2261
3OAS161,tdeACP_c,tdeACP,ECDH1ME8569_2261,ECDH1ME8569_2261
2DGULRGy,2dhguln_c,2dhguln,ECDH1ME8569_3432,ECDH1ME8569_3432
2DGULRx,2dhguln_c,2dhguln,ECDH1ME8569_3432,ECDH1ME8569_3432
3OAS180_num1,malACP_c,malACP,ECDH1ME8569_1030,ECDH1ME8569_1030
3OAS180_num1,palmACP_c,palmACP,ECDH1ME8569_1030,ECDH1ME8569_1030
3OAS181,hdeACP_c,hdeACP,ECDH1ME8569_1030,ECDH1ME8569_1030
3OAS181,malACP_c,malACP,ECDH1ME8569_1030,ECDH1ME8569_1030
3OAS60_num1,butACP_c,butACP,ECDH1ME8569_1030,ECDH1ME8569_1030
3OAS60_num1,malACP_c,malACP,ECDH1ME8569_1030,ECDH1ME8569_1030
3OAS80_num1,hexACP_c,hexACP,ECDH1ME8569_2261,ECDH1ME8569_2261
3OAS80_num1,malACP_c,malACP,ECDH1ME8569_2261,ECDH1ME8569_2261
2DGULRy,2dhguln_c,2dhguln,ECDH1ME8569_3432,ECDH1ME8569_3432
2MAHMP_num1,2mahmp_c,2mahmp,ECDH1ME8569_0431,ECDH1ME8569_0431
3OXCOAT,oxadpcoa_c,oxadpcoa,ECDH1ME8569_1341,ECDH1ME8569_1341
34dhpactex_num1,34dhpac_e,34dhpac,ECDH1ME8569_0229,ECDH1ME8569_0229
3AMACHYD,3amac_c,3amac,ECDH1ME8569_0963,ECDH1ME8569_0963
3AMPtex_num1,3amp_e,3amp,ECDH1ME8569_0229,ECDH1ME8569_0229
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,ECDH1ME8569_1273 and ECDH1ME8569_1184 and ECDH1ME8569_1185 and ECDH1ME8569_1186 and ECDH1ME8569_1187,ECDH1ME8569_1184
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,ECDH1ME8569_1273 and ECDH1ME8569_1184 and ECDH1ME8569_1185 and ECDH1ME8569_1186 and ECDH1ME8569_1187,ECDH1ME8569_1187
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,ECDH1ME8569_1273 and ECDH1ME8569_1184 and ECDH1ME8569_1185 and ECDH1ME8569_1186 and ECDH1ME8569_1187,ECDH1ME8569_1186
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,ECDH1ME8569_1273 and ECDH1ME8569_1184 and ECDH1ME8569_1185 and ECDH1ME8569_1186 and ECDH1ME8569_1187,ECDH1ME8569_1185
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,ECDH1ME8569_1273 and ECDH1ME8569_1184 and ECDH1ME8569_1185 and ECDH1ME8569_1186 and ECDH1ME8569_1187,ECDH1ME8569_1273
3PEPTtex_num1,LalaDgluMdap_e,LalaDgluMdap,ECDH1ME8569_0229,ECDH1ME8569_0229
3CMPtex_num1,3cmp_e,3cmp,ECDH1ME8569_0229,ECDH1ME8569_0229
3GMPtex_num1,3gmp_e,3gmp,ECDH1ME8569_0880,ECDH1ME8569_0880
3HAD100_num1,3hdecACP_c,3hdecACP,ECDH1ME8569_0905,ECDH1ME8569_0905
3HAD120_num1,3hddecACP_c,3hddecACP,ECDH1ME8569_0173,ECDH1ME8569_0173
3UMPtex_num1,3ump_e,3ump,ECDH1ME8569_0229,ECDH1ME8569_0229
42A12BOOXpp,dopa_p,dopa,ECDH1ME8569_1331,ECDH1ME8569_1331
4HOXPACDtex_num1,4hoxpacd_e,4hoxpacd,ECDH1ME8569_0229,ECDH1ME8569_0229
3HAD121_num1,3hcddec5eACP_c,3hcddec5eACP,ECDH1ME8569_0173,ECDH1ME8569_0173
3HAD140_num1,3hmrsACP_c,3hmrsACP,ECDH1ME8569_0905,ECDH1ME8569_0905
4HTHRS,phthr_c,phthr,ECDH1ME8569_0004,ECDH1ME8569_0004
4PCP,LalaDgluMdapDala_c,LalaDgluMdapDala,ECDH1ME8569_1131,ECDH1ME8569_1131
3HAD141_num1,3hcmrs7eACP_c,3hcmrs7eACP,ECDH1ME8569_0905,ECDH1ME8569_0905
3HAD160_num1,3hpalmACP_c,3hpalmACP,ECDH1ME8569_0905,ECDH1ME8569_0905
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,ECDH1ME8569_o0022 and ECDH1ME8569_1184 and ECDH1ME8569_1185 and ECDH1ME8569_1186 and ECDH1ME8569_1187,ECDH1ME8569_1184
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,ECDH1ME8569_o0022 and ECDH1ME8569_1184 and ECDH1ME8569_1185 and ECDH1ME8569_1186 and ECDH1ME8569_1187,ECDH1ME8569_1187
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,ECDH1ME8569_o0022 and ECDH1ME8569_1184 and ECDH1ME8569_1185 and ECDH1ME8569_1186 and ECDH1ME8569_1187,ECDH1ME8569_1186
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,ECDH1ME8569_o0022 and ECDH1ME8569_1184 and ECDH1ME8569_1185 and ECDH1ME8569_1186 and ECDH1ME8569_1187,ECDH1ME8569_1185
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,ECDH1ME8569_o0022 and ECDH1ME8569_1184 and ECDH1ME8569_1185 and ECDH1ME8569_1186 and ECDH1ME8569_1187,ECDH1ME8569_o0022
4PEPTtex_num1,LalaDgluMdapDala_e,LalaDgluMdapDala,ECDH1ME8569_0229,ECDH1ME8569_0229
5DGLCNR,5dglcn_c,5dglcn,ECDH1ME8569_4120,ECDH1ME8569_4120
5DGLCNt2rpp,5dglcn_p,5dglcn,ECDH1ME8569_4119,ECDH1ME8569_4119
5DGLCNtex_num1,5dglcn_e,5dglcn,ECDH1ME8569_0229,ECDH1ME8569_0229
5DOAN,dad_5_c,dad_5,ECDH1ME8569_0153,ECDH1ME8569_0153
5MTRtex_num1,5mtr_e,5mtr,ECDH1ME8569_1321,ECDH1ME8569_1321
3HAD161_num1,3hcpalm9eACP_c,3hcpalm9eACP,ECDH1ME8569_0173,ECDH1ME8569_0173
3HAD180_num1,3hoctaACP_c,3hoctaACP,ECDH1ME8569_0905,ECDH1ME8569_0905
3HAD181_num1,3hcvac11eACP_c,3hcvac11eACP,ECDH1ME8569_0905,ECDH1ME8569_0905
3HAD40_num1,3haACP_c,3haACP,ECDH1ME8569_0905,ECDH1ME8569_0905
3HAD60_num1,3hhexACP_c,3hhexACP,ECDH1ME8569_0905,ECDH1ME8569_0905
3HAD80_num1,3hoctACP_c,3hoctACP,ECDH1ME8569_0905,ECDH1ME8569_0905
3HCINNMH,3hcinnm_c,3hcinnm,ECDH1ME8569_0334,ECDH1ME8569_0334
3HPPPNH,3hpppn_c,3hpppn,ECDH1ME8569_0334,ECDH1ME8569_0334
3HPPtex_num1,3hpp_e,3hpp,ECDH1ME8569_1321,ECDH1ME8569_1321
A5PISO_num1,ru5p__D_c,ru5p__D,ECDH1ME8569_3086,ECDH1ME8569_3086
AACPS1,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS1,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS1,ttdca_c,ttdca,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS1,ttdca_c,ttdca,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS2,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS2,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS2,ttdcea_c,ttdcea,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS2,ttdcea_c,ttdcea,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS3,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS3,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS3,hdca_c,hdca,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS3,hdca_c,hdca,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
3KGK,3dhguln_c,3dhguln,ECDH1ME8569_3461,ECDH1ME8569_3461
3NTD2pp,3ump_p,3ump,ECDH1ME8569_o0082,ECDH1ME8569_o0082
AACPS4,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS4,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS4,hdcea_c,hdcea,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS4,hdcea_c,hdcea,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS5,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS5,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS5,ocdcea_c,ocdcea,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS5,ocdcea_c,ocdcea,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS6,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS6,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS6,ocdca_c,ocdca,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS6,ocdca_c,ocdca,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS7,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS7,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS7,ddca_c,ddca,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS7,ddca_c,ddca,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS8,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS8,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS8,dca_c,dca,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS8,dca_c,dca,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS9,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS9,ACP_c,ACP,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AACPS9,octa_c,octa,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_1029
AACPS9,octa_c,octa,ECDH1ME8569_2743 and ECDH1ME8569_1029,ECDH1ME8569_2743
AADDGT,dtdp4aaddg_c,dtdp4aaddg,ECDH1ME8569_3675,ECDH1ME8569_3675
AADDGT,unagamu_c,unagamu,ECDH1ME8569_3675,ECDH1ME8569_3675
ACLS_num1,pyr_c,pyr,ECDH1ME8569_3555 and ECDH1ME8569_3556,ECDH1ME8569_3556
ACLS_num1,pyr_c,pyr,ECDH1ME8569_3555 and ECDH1ME8569_3556,ECDH1ME8569_3555
ACM6PH,acmum6p_c,acmum6p,ECDH1ME8569_2362,ECDH1ME8569_2362
ACMAMUT,uacmamu_c,uacmamu,ECDH1ME8569_3677,ECDH1ME8569_3677
ACMAMUT,unaga_c,unaga,ECDH1ME8569_3677,ECDH1ME8569_3677
ACMANAptspp,acmana_p,acmana,ECDH1ME8569_1762 and ECDH1ME8569_1763 and ECDH1ME8569_1764 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_1764
ACMANAptspp,acmana_p,acmana,ECDH1ME8569_1762 and ECDH1ME8569_1763 and ECDH1ME8569_1764 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_1763
ACMANAptspp,acmana_p,acmana,ECDH1ME8569_1762 and ECDH1ME8569_1763 and ECDH1ME8569_1764 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2350
ACMANAptspp,acmana_p,acmana,ECDH1ME8569_1762 and ECDH1ME8569_1763 and ECDH1ME8569_1764 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2349
ACMANAptspp,acmana_p,acmana,ECDH1ME8569_1762 and ECDH1ME8569_1763 and ECDH1ME8569_1764 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_1762
ACMANAptspp,pep_c,pep,ECDH1ME8569_1762 and ECDH1ME8569_1763 and ECDH1ME8569_1764 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_1764
ACMANAptspp,pep_c,pep,ECDH1ME8569_1762 and ECDH1ME8569_1763 and ECDH1ME8569_1764 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_1763
ACMANAptspp,pep_c,pep,ECDH1ME8569_1762 and ECDH1ME8569_1763 and ECDH1ME8569_1764 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2350
ACMANAptspp,pep_c,pep,ECDH1ME8569_1762 and ECDH1ME8569_1763 and ECDH1ME8569_1764 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2349
ACMANAptspp,pep_c,pep,ECDH1ME8569_1762 and ECDH1ME8569_1763 and ECDH1ME8569_1764 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_1762
ACMANAtex_num1,acmana_e,acmana,ECDH1ME8569_0229,ECDH1ME8569_0229
AAMYL,14glucan_c,14glucan,ECDH1ME8569_1867,ECDH1ME8569_1867
AAMYLpp,14glucan_p,14glucan,ECDH1ME8569_3452,ECDH1ME8569_3452
AB6PGH,arbt6p_c,arbt6p,ECDH1ME8569_2803,ECDH1ME8569_2803
ABTA_num1,4abut_c,4abut,ECDH1ME8569_2578,ECDH1ME8569_2578
ABTA_num1,akg_c,akg,ECDH1ME8569_2578,ECDH1ME8569_2578
ABUTD,4abutn_c,4abutn,ECDH1ME8569_1387,ECDH1ME8569_1387
ABUTt2pp,4abut_p,4abut,ECDH1ME8569_2579,ECDH1ME8569_2579
ABUTtex_num1,4abut_e,4abut,ECDH1ME8569_0229,ECDH1ME8569_0229
ACACCT,acac_c,acac,ECDH1ME8569_2156 and ECDH1ME8569_2157,ECDH1ME8569_2157
ACACCT,acac_c,acac,ECDH1ME8569_2156 and ECDH1ME8569_2157,ECDH1ME8569_2156
ACACCT,accoa_c,accoa,ECDH1ME8569_2156 and ECDH1ME8569_2157,ECDH1ME8569_2157
ACACCT,accoa_c,accoa,ECDH1ME8569_2156 and ECDH1ME8569_2157,ECDH1ME8569_2156
ACACT1r_num1,accoa_c,accoa,ECDH1ME8569_2159,ECDH1ME8569_2159
ACMUMptspp,acmum_p,acmum,ECDH1ME8569_2351 and ECDH1ME8569_2363 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2363
ACMUMptspp,acmum_p,acmum,ECDH1ME8569_2351 and ECDH1ME8569_2363 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2350
ACMUMptspp,acmum_p,acmum,ECDH1ME8569_2351 and ECDH1ME8569_2363 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2349
ACMUMptspp,acmum_p,acmum,ECDH1ME8569_2351 and ECDH1ME8569_2363 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2351
ACMUMptspp,pep_c,pep,ECDH1ME8569_2351 and ECDH1ME8569_2363 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2363
ACMUMptspp,pep_c,pep,ECDH1ME8569_2351 and ECDH1ME8569_2363 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2350
ACMUMptspp,pep_c,pep,ECDH1ME8569_2351 and ECDH1ME8569_2363 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2349
ACMUMptspp,pep_c,pep,ECDH1ME8569_2351 and ECDH1ME8569_2363 and ECDH1ME8569_2349 and ECDH1ME8569_2350,ECDH1ME8569_2351
ACMUMtex_num1,acmum_e,acmum,ECDH1ME8569_0229,ECDH1ME8569_0229
ACNAMt2pp,acnam_p,acnam,ECDH1ME8569_3112,ECDH1ME8569_3112
ACNAMtex_num1,acnam_e,acnam,ECDH1ME8569_4170,ECDH1ME8569_4170
ACNML,acnam_c,acnam,ECDH1ME8569_3113,ECDH1ME8569_3113
ACOAD1f,btcoa_c,btcoa,ECDH1ME8569_0209,ECDH1ME8569_0209
ACOAD2f,hxcoa_c,hxcoa,ECDH1ME8569_0209,ECDH1ME8569_0209
ACOAD3f,occoa_c,occoa,ECDH1ME8569_0209,ECDH1ME8569_0209
ACACT2r_num1,accoa_c,accoa,ECDH1ME8569_2280,ECDH1ME8569_2280
ACACT2r_num1,btcoa_c,btcoa,ECDH1ME8569_2280,ECDH1ME8569_2280
ACACT3r_num1,accoa_c,accoa,ECDH1ME8569_2280,ECDH1ME8569_2280
ACACT3r_num1,hxcoa_c,hxcoa,ECDH1ME8569_2280,ECDH1ME8569_2280
ACACT4r_num1,accoa_c,accoa,ECDH1ME8569_2280,ECDH1ME8569_2280
ACACT4r_num1,occoa_c,occoa,ECDH1ME8569_2280,ECDH1ME8569_2280
ACACT5r_num1,accoa_c,accoa,ECDH1ME8569_2280,ECDH1ME8569_2280
ACACT5r_num1,dcacoa_c,dcacoa,ECDH1ME8569_2280,ECDH1ME8569_2280
ACACT6r_num1,accoa_c,accoa,ECDH1ME8569_2280,ECDH1ME8569_2280
ACACT6r_num1,ddcacoa_c,ddcacoa,ECDH1ME8569_2280,ECDH1ME8569_2280
