reactions,metabolites,metabolitestotal,gpr,genes
CRNt2rpp_reverse,crn_c,crn,ECDH1ME8569_3970,ECDH1ME8569_3970
CMtex_reverse_num1,cm_p,cm,ECDH1ME8569_1321,ECDH1ME8569_1321
CRNtex_reverse_num1,crn_p,crn,ECDH1ME8569_0229,ECDH1ME8569_0229
AGMtex_reverse_num1,agm_p,agm,ECDH1ME8569_0229,ECDH1ME8569_0229
CSNtex_reverse_num1,csn_p,csn,ECDH1ME8569_0229,ECDH1ME8569_0229
CTBTt2rpp_reverse,ctbt_c,ctbt,ECDH1ME8569_3970,ECDH1ME8569_3970
CTECOAI6_copy1_reverse,td2coa_c,td2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
CTECOAI7_copy1_reverse,hdd2coa_c,hdd2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
CTECOAI8_copy1_reverse,od2coa_c,od2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
CYANtex_reverse_num1,cyan_p,cyan,ECDH1ME8569_0229,ECDH1ME8569_0229
CYNTtex_reverse_num1,cynt_p,cynt,ECDH1ME8569_0229,ECDH1ME8569_0229
CYSDtex_reverse_num1,cys__D_p,cys__D,ECDH1ME8569_0229,ECDH1ME8569_0229
CYStex_reverse_num1,cys__L_p,cys__L,ECDH1ME8569_0229,ECDH1ME8569_0229
DCAtex_reverse_num1,dca_p,dca,ECDH1ME8569_0229,ECDH1ME8569_0229
CYTDt2pp_copy2_reverse,cytd_c,cytd,ECDH1ME8569_2339,ECDH1ME8569_2339
CYTDtex_reverse_num1,cytd_p,cytd,ECDH1ME8569_0229,ECDH1ME8569_0229
DCYTtex_reverse,dcyt_p,dcyt,ECDH1ME8569_0396,ECDH1ME8569_0396
D_LACt2pp_reverse_num1,lac__D_c,lac__D,ECDH1ME8569_3488,ECDH1ME8569_3488
D_LACtex_reverse_num1,lac__D_p,lac__D,ECDH1ME8569_0229,ECDH1ME8569_0229
DDGLCNt2rpp_reverse,2ddglcn_c,2ddglcn,ECDH1ME8569_3779,ECDH1ME8569_3779
DDGLCNtex_reverse_num1,2ddglcn_p,2ddglcn,ECDH1ME8569_0880,ECDH1ME8569_0880
