,kcat,data_type,MW,kcat_MW
NTD5_num2,15.28,Database,24907,2208.5357530011643
UPPRT_num2,0.024,Database,23638,3.6551315678145357
PQBS1_num2,25774.289347944356,fill,22173,4184703.9937130604
PQBS1_num3,25774.289347944356,fill,45624,2033741.9264553676
ICHORS_num2,1.6320000000000001,Database,132266,44.41957872771536
AGMT_num2,1.516,Other_species,33463,163.0935660281505
AMYLS_num2,303.75,Other_species,54346,20121.07606815589
NO3abcpp_num2,25774.289347944356,fill,29920.0,3101184.5472125565
NH4tpp_num2,25774.289347944356,fill,47172,1967002.4941193862
NH4tpp_num3,25774.289347944356,fill,58129,1596233.2338866948
NAt3pp_num3,25774.289347944356,fill,47872,1938240.3420078477
NAt3pp_num4,25774.289347944356,fill,75548,1228191.8998861609
NAt3pp_num5,25774.289347944356,fill,44753,2073323.3895515315
NAt3pp_num6,25774.289347944356,fill,57539,1612600.8733658856
Htex_num5,25774.289347944356,fill,59146,1568786.420934631
H2Otex_num5,25774.289347944356,fill,59146,1568786.420934631
H2Otex_num8,25774.289347944356,fill,102188,908007.2185833922
HCO3tex_num5,25774.289347944356,fill,59146,1568786.420934631
NAtex_num5,25774.289347944356,fill,59146,1568786.420934631
NAtex_num12,25774.289347944356,fill,59146,1568786.420934631
GLCtex_num5,25774.289347944356,fill,59146,1568786.420934631
GLNtex_num5,25774.289347944356,fill,59146,1568786.420934631
ARGtex_num5,25774.289347944356,fill,59146,1568786.420934631
HIStex_num5,25774.289347944356,fill,59146,1568786.420934631
UREAtex_num5,25774.289347944356,fill,59146,1568786.420934631
NO3tex_num5,25774.289347944356,fill,59146,1568786.420934631
NH4tex_num5,25774.289347944356,fill,59146,1568786.420934631
SO4tex_num5,25774.289347944356,fill,59146,1568786.420934631
PItex_num5,25774.289347944356,fill,59146,1568786.420934631
TR1017_num5,25774.289347944356,fill,59146,1568786.420934631
MNtex_num5,25774.289347944356,fill,59146,1568786.420934631
Ktex_num5,25774.289347944356,fill,59146,1568786.420934631
Zn2tex_num5,25774.289347944356,fill,59146,1568786.420934631
NI2tex_num5,25774.289347944356,fill,59146,1568786.420934631
