Method,Reaction,True_Flux,Pred_Flux,Abs_Error,Rel_Error,Norm_Error,Bias_Ratio,Color
KinLLM,AKGDH,0.699761702,0.758618318,0.058856616,0.084109512,0.004059902905594576,1.0346263925882946,#845ea7
KinLLM,SUCOAS,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,SUCOAS_reverse,0.875426346,0.578566106,0.29686024,0.339103616,0.031129216784453136,0.8417105312436514,#8b68ac
KinLLM,SUCDi,1.347179292,0.872326404,0.474852888,0.352479355,0.049171236398985685,0.7976921108589945,#916fb0
KinLLM,FUM,1.621946881,1.116363942,0.505582939,0.311713623,0.05455105033248979,0.8071726995448616,#9271b1
KinLLM,MDH,1.930037138,1.116112145,0.813924993,0.421714679,0.07984080119169892,0.722213420968591,#9c7eb7
KinLLM,PPCK,0.676230013,0.0,0.676230013,1.0,0.055469836844838735,0.5965768374533931,#9878b5
KinLLM,PPC,1.360134342,1.015202059,0.344932283,0.253601628,0.040187999244861855,0.8538505724603366,#8d6aad
KinLLM,ME1,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,ME2,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,ICL,0.361126234,0.0,0.361126234,1.0,0.02962248479848388,0.7346857146829484,#8e6bae
KinLLM,MALS,0.352595731,0.000229499,0.352366232,0.999349115,0.028906607576200224,0.7394888776268066,#8d6bae
fba,PGI,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,PGI_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,PFK,0.216658905,3.141413473,2.924754568,13.49935081,0.1888565931035416,3.4039231998223856,#ece3f3
fba,FBP,0.053667733,0.0,0.053667733,1.0,0.004402260083274902,0.9490657905531592,#845ea7
fba,FBA,0.162991172,3.141413473,2.978422301,18.27351914,0.19325885318681651,3.561001641893805,#eee6f5
fba,FBA_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,TPI,1.924675903,3.092938722,1.168262819,0.60699197,0.04556280919320169,1.3994503520207653,#a98dc0
fba,G6PDH2r,2.064386548,1.709874445,0.354512103,0.171727579,0.05686941955477119,0.8843122114501595,#8d6bae
fba,G6PDH2r_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,GND,2.287036055,1.709874445,0.577161611,0.25236227,0.0751329269257074,0.8244127535132862,#9474b2
fba,RPE,1.199997288,0.873701844,0.326295444,0.271913484,0.04096509138525995,0.8516837062573688,#8d6aad
fba,RPE_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,RPI,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,RPI_reverse,1.075995639,0.822517915,0.253477724,0.235575048,0.03416013583442579,0.8779006471699047,#8a66ab
fba,TKT1,0.656781111,0.502260241,0.15452087,0.235269966,0.02083795693951166,0.9067342879671448,#8762a9
fba,TKT1_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,TKT2,0.543216177,0.371441603,0.171774574,0.316217707,0.020127134445748287,0.8886905304907259,#8763aa
fba,TKT2_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,TALA,0.37730582,0.502260241,0.124954421,0.331175439,0.0020868593151815926,1.0907238023578525,#8661a9
fba,TALA_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,EDD,0.550739128,0.0,0.550739128,1.0,0.045176062858701835,0.6448537874256823,#9473b2
fba,EDA,0.550739128,0.0,0.550739128,1.0,0.045176062858701835,0.6448537874256823,#9473b2
fba,GAPD,5.192174441,6.624321138,1.432146697,0.275827924,0.009815426660494952,1.2312833255338196,#b298c6
fba,PGK_reverse,5.192174441,6.624321138,1.432146697,0.275827924,0.009815426660494952,1.2312833255338196,#b298c6
fba,PGM_reverse,4.810850978,6.034905374,1.224054395,0.254436149,0.002325410365851821,1.2106497655221746,#ab8fc1
fba,ENO,4.813148203,6.034905374,1.22175717,0.25383743,0.002136973453120694,1.2101713440523478,#ab8fc1
fba,PYK,0.447999464,3.025463287,2.577463823,5.753274344,0.16225346972676474,2.780017111249428,#ddcfe6
fba,PDH,3.492426165,3.723977468,0.231551304,0.066300988,0.041529683295588704,1.0515425951357846,#8965ab
fba,CS,1.377249484,1.127460861,0.249788623,0.181367737,0.038813565727752436,0.8949253645100382,#8a66ab
fba,ACONTa,1.368690706,1.127460861,0.241229845,0.176248618,0.038111505762763564,0.8981589937474938,#8a66ab
fba,ACONTb,1.368690706,1.127460861,0.241229845,0.176248618,0.038111505762763564,0.8981589937474938,#8a66ab
fba,ICDHyr,1.007564472,1.127460861,0.119896389,0.118996245,0.008489020964279698,1.0597223106267444,#8661a9
fba,AKGDH,0.699761702,0.758618318,0.058856616,0.084109512,0.007501436840929715,1.0346263925882946,#845ea7
fba,SUCOAS,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,SUCOAS_reverse,0.875426346,0.578566106,0.29686024,0.339103616,0.03375392916008246,0.8417105312436514,#8b68ac
fba,SUCDi,1.347179292,0.872555903,0.474623389,0.352309,0.0531135208901342,0.7977898873692005,#916fb0
fba,FUM,1.621946881,1.116363942,0.505582939,0.311713623,0.059615526498457486,0.8071726995448616,#9271b1
fba,MDH,1.930037138,1.116112145,0.813924993,0.421714679,0.0849041350600187,0.722213420968591,#9c7eb7
fba,PPCK,0.676230013,0.0,0.676230013,1.0,0.055469836844838735,0.5965768374533931,#9878b5
fba,PPC,1.360134342,1.015202059,0.344932283,0.253601628,0.04479354626946007,0.8538505724603366,#8d6aad
fba,ME1,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,ME2,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
fba,ICL,0.361126234,0.0,0.361126234,1.0,0.02962248479848388,0.7346857146829484,#8e6bae
fba,MALS,0.352595731,0.000229499,0.352366232,0.999349115,0.028907648717150666,0.7394888776268066,#8d6bae
