Method,Reaction,True_Flux,Pred_Flux,Abs_Error,Rel_Error,Norm_Error,Bias_Ratio,Color
FluxAnchor,PGI,0.0,1.267286937067315,1.267286937067315,0.0,0.08060832637333684,2.2672869370673148,#9b7cb7
FluxAnchor,PGI_reverse,0.0773625358526963,0.0,0.0773625358526963,1.0,0.005493387003003429,0.9281926619144348,#845ea7
FluxAnchor,PFK,2.993823256294518,0.0,2.993823256294518,1.0,0.21258648755687748,0.25038664353109186,#c0a9cf
FluxAnchor,FBP,0.3557745677368527,0.0,0.3557745677368527,1.0,0.025262969535100537,0.7375857489857368,#8965ab
FluxAnchor,FBA,2.638048688557724,0.0,2.638048688557724,1.0,0.18732351802178113,0.27487262695113684,#b89fca
FluxAnchor,FBA_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,TPI,0.8182867340110365,3.1524615634134623,2.334174829402426,2.8525145677981185,0.14241343682779578,2.2837220806497167,#b297c6
FluxAnchor,G6PDH2r,3.1502102576901447,0.7823493995192222,2.367860858170922,0.7516516881343436,0.1739283704065129,0.42946002463769456,#b398c6
FluxAnchor,G6PDH2r_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,GND,3.428211414714852,3.38932240951922,0.0388890051956325,0.0113438176620934,0.027847032453582665,0.9912178978026197,#835da7
FluxAnchor,RPE,1.9378888537494643,1.972418406346147,0.0345295525966824,0.0178181284906376,0.012146687372502601,1.0117531854728319,#825ca6
FluxAnchor,RPE_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,RPI,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,RPI_reverse,1.4775632429204806,1.4021765231730725,0.0753867197474082,0.0510209766712946,0.015731097689940063,0.9695722319247261,#835da7
FluxAnchor,TKT1,1.0247835706702726,1.0567574731730736,0.0319739025028009,0.0312006392548702,0.0055510257069269625,1.015791269232897,#825ca6
FluxAnchor,TKT1_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,TKT2,0.913105283078508,0.9156609331730736,0.0025556500945655,0.0027988558843393,0.006595661665527067,1.0013358648461068,#825ca6
FluxAnchor,TKT2_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,TALA,1.013483731277037,1.0567574731730736,0.0432737418960365,0.0426980133578558,0.0047486426131641,1.0214919749406617,#835da7
FluxAnchor,TALA_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,EDD,0.4988140808751605,0.0,0.4988140808751605,1.0,0.03541997116035856,0.6671941588753276,#8c69ad
FluxAnchor,EDA,0.4988140808751689,0.0,0.4988140808751689,1.0,0.03541997116035916,0.667194158875324,#8c69ad
FluxAnchor,GAPD,4.999097014065952,7.292850239999998,2.2937532259340463,0.4588335092277897,0.1088986669025418,1.3823497470629218,#b196c5
