WILD TYPE,0.41,8.16,0.6,4.95,0.77,0.07,0.2,0.02,0.04,0.02,0.32,0.01,0.02,0.01,0,0.02,0.01,0.02,8.12,2.38,1.58,5.71,0.8,6.41,0.5,0.25,0.5,13.81,12.88,9.98,9.14,2.16,2.16,1.25,1.25,0.82,0.42,0.23,2.59,5.53,0,0.02,0.08,0.13,0.1,0.17,0.15,0.05,0.04,0.05,0.17,0.17,0.09,0.04,0.11,0.11,0.11,0.11,0.2,0.2,0.08,0.13,0.08,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transcription factor mutants  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlsR,0.37,8.11,0.54,3.92,0.78,0.06,0.2,0.03,0.06,0.02,0.33,0,0.01,0.01,0.01,0.03,0.01,0.05,7.14,1.93,1.55,5.19,0.39,5.9,0.5,0.26,0.5,12.38,11.53,8.78,7.7,2.33,2.33,1.48,1.48,1.02,0.46,0.36,2.61,4.04,0,0.06,0.01,0.04,0.05,0.02,0.06,0.01,0.01,0.01,0.12,0.12,0.28,0.09,0.08,0.08,0.08,0.08,0.33,0.4,0.17,0.58,0.01,0
AppY,0.4,7.74,0.55,4.76,0.75,0.1,0.16,0.01,0.04,0.01,0.3,0.03,0.04,0.01,0.01,0.05,0.01,0,7.41,2.45,1.43,4.94,1.02,5.58,0.46,0.22,0.46,12.33,11.48,8.75,8.32,1.91,1.91,1.07,1.07,0.61,0.46,0.18,2.41,5.09,0,0.06,0.36,0.1,0.31,0.46,0.37,0.04,0.03,0.04,0.31,0.31,0.81,0.16,0.19,0.19,0.19,0.19,0.3,0.49,0.13,0.37,0.04,0
ArcA,0.43,7.3,0.56,3.19,0.82,0.04,0.16,0.01,0.04,0.01,0.44,0.02,0.01,0.02,0.01,0.02,0.01,0.01,7.14,1.79,1.27,5.31,0.53,5.83,0.4,0.16,0.4,12.29,11.42,8.72,7.64,2.72,2.72,1.86,1.86,1.51,0.35,0.24,2.42,3.55,0,0.05,0.09,0.09,0.1,0.07,0.11,0.03,0.03,0.03,0.15,0.16,0.14,0.12,0.22,0.22,0.22,0.22,0.09,0.31,0.08,0.31,0.09,0
ArcB,0.42,7.36,0.56,4.39,0.78,0.03,0.18,0.05,0.02,0.01,0.37,0.03,0.04,0.01,0.02,0.02,0.01,0.01,7.3,1.94,1.6,5.33,0.34,6.08,0.51,0.28,0.51,12.71,11.85,9.51,8,2.3,2.3,1.46,1.46,1.4,0.06,0.51,2.34,4.37,0,0.05,0.42,0.04,0.37,0.45,0.39,0.01,0.01,0.01,0.33,0.33,0.25,0.16,0.25,0.25,0.26,0.26,0.33,0.06,0.26,0.18,0.1,0
ArgR,0.38,6.87,0.46,4.64,0.74,0.11,0.21,0.02,0.03,0.01,0.32,0.03,0.05,0.01,0,0.01,0,0.04,6.77,2.29,1.3,4.45,0.99,5.05,0.42,0.22,0.42,11.26,10.53,8.01,7.92,1.87,1.87,1.14,1.14,0.58,0.56,0.23,2.33,4.92,0,0.16,0.36,0.15,0.2,0.51,0.3,0.05,0.05,0.05,0.12,0.11,0.62,0.44,0.43,0.43,0.44,0.44,0.08,0.52,0.01,0.49,0.03,0
AscG,0.41,7.28,0.53,4.72,0.72,0.11,0.22,0.04,0,0,0.28,0.01,0.05,0.04,0.01,0,0,0.06,7,2.45,1.52,4.53,0.93,5.24,0.49,0.27,0.49,11.62,10.82,8.53,7.79,1.75,1.75,0.96,0.96,0.82,0.14,0.34,2.16,4.79,0,0.27,0.08,0.12,0.36,0.21,0.42,0.04,0.04,0.04,0.68,0.66,0.52,0.38,0.26,0.26,0.25,0.25,0.13,0.11,0.13,0.28,0.08,0
BasR,0.41,7.15,0.52,4.89,0.76,0.1,0.22,0.02,0.05,0.02,0.34,0.04,0.01,0.04,0.01,0.02,0.01,0.04,7.1,2.23,1.33,4.84,0.9,5.43,0.43,0.2,0.43,11.9,11.11,8.62,8.07,1.91,1.91,1.12,1.12,0.78,0.35,0.19,2.21,4.91,0,0.02,0.3,0.22,0.27,0.07,0.12,0.08,0.07,0.08,0.1,0.1,0.4,0.03,0.03,0.03,0.03,0.03,0.33,0.3,0.11,0.19,0,0
BolA,0.42,7.12,0.53,3.69,0.79,0.07,0.2,0,0.07,0.02,0.26,0.01,0.01,0.01,0,0.08,0.02,0.01,6.67,1.85,1.29,4.79,0.57,5.34,0.41,0.18,0.41,11.36,10.52,7.83,6.96,1.7,1.7,0.87,0.87,0.42,0.45,0.14,2.34,3.96,0,0.01,0.01,0.12,0.01,0.11,0.08,0.04,0.04,0.04,0.08,0.07,0.53,0.04,0.06,0.06,0.06,0.06,0.39,0.45,0.14,0.31,0.01,0
ChpB,0.41,6.9,0.51,5.04,0.77,0.06,0.2,0.02,0.04,0.01,0.32,0.01,0,0.01,0.03,0.06,0.01,0.04,6.89,2.02,1.46,4.85,0.57,5.53,0.47,0.25,0.47,11.81,11.04,8.77,7.74,1.75,1.75,0.97,0.97,0.81,0.16,0.33,2.13,4.78,0,0.01,0.07,0.05,0.08,0.02,0.06,0.01,0.01,0.01,0.07,0.08,0.03,0.07,0.11,0.11,0.11,0.11,0.01,0.11,0.22,0.12,0.04,0
CpxR,0.39,7.86,0.54,5.96,0.77,0.07,0.23,0.02,0.04,0.01,0.35,0.03,0.02,0.04,0.01,0.05,0.01,0.03,7.86,2.29,1.54,5.54,0.75,6.27,0.5,0.27,0.5,13.48,12.66,10.28,9.36,1.95,1.95,1.14,1.14,0.96,0.18,0.24,2.14,6.12,0,0.01,0.28,0.07,0.27,0.21,0.22,0.02,0.02,0.02,0.2,0.2,0.04,0.02,0.08,0.08,0.08,0.08,0.31,0.23,0.16,0.06,0.06,0
