BIGG id,Value
pts,8.12
zwf,2.38
gnd,1.58
pgi,5.71
edd,0.8
eda,0.8
pfk,6.41
fba,6.41
tktA,0.5
tktB,0.25
tal,0.5
gap,13.81
pgk,13.81
eno,12.88
pyk,9.98
pdh,9.14
glta,2.16
can,2.16
icd,2.16
suc,1.25
sdh,1.25
fum,1.25
mdh,0.82
mae,0.42
pck,0.23
pcc,2.59
pta,5.53
acka,5.53
acea,0
aceb,0
