,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b0390,152.0642842,162.1614151,334.8135832,109.7848154,,,,,,,,,,,,,,,,,,,,,,,,47.8,25.3125,53.78947368,60.5,77.85520362,83.72173913,52.15,40.352,61.88582677,32.10852713,40.19465649,44.86363636,54.16287879,32.92565056,42.77777778,33.27240143,37.58802817,30.64163823,33.27364865,27.6442953,,,42.35770235,,28.95104895,,438.77,336.65,,164.09,
b0391,1456.219109,3076.763637,1174.353485,867.0993707,386.8973946,364.0538518,335.3663585,,337.0532402,432.2363708,418.464034,375.6692395,470.6804477,424.8402655,308.972297,304.761106,393.6845238,378.7517005,,431.9093866,,225.5706362,249.0655861,237.7600823,271.6854508,172.4152623,,671.25,487.9625,358.9631579,473.0673077,454.918552,241.8608696,458.75,539.484,503.2834646,395.3023256,522.3664122,671.2954545,498.0113636,457.0074349,598.5842294,585.0143369,473.5915493,363.2150171,526.5844595,268.1677852,332.32,272.0112994,369.5430809,233.7730496,222.4708625,122.4655963,1298.39,,,,
b0393,302.4143797,722.7339631,252.4214885,168.0050854,293.9284031,290.7007191,309.279263,293.2472601,314.0428582,318.3990648,289.2855101,357.584108,276.7669034,293.3547164,318.3151038,295.9746291,313.362398,298.2090826,313.3653397,338.9994032,341.1909428,361.6817831,283.3744545,341.9009893,392.6444713,368.2121274,369.4096034,202.8875,185.64375,113.8578947,109.9855769,169.7285068,121.9,109.6041667,180.048,157.515748,170.4069767,167,160.9318182,129.8371212,127.7769517,182.8136201,179.6523297,197.5633803,176.6894198,146.2331081,204.442953,159.2266667,134.5734463,153.4934726,145.3758865,172.3286713,156.1697248,393.99,394.41,376.62,317.53,373.4
b0394,386.0764303,597.1068011,292.900687,118.4300889,,149.4040976,153.0770125,,,,113.0833757,,108.6488277,77.6194349,106.44019,,77.00672935,,62.32699021,66.99931104,,,,49.90790734,,48.26011741,,110.58125,94.49375,153.3894737,118.8846154,116.0542986,98.23913043,97.325,87.176,105.8661417,101.7751938,96.71755725,121.8901515,99.1969697,74.24163569,74.03942652,70.46236559,70.66549296,89.08191126,66.85810811,66.8557047,29.79333333,30.55367232,97.74151436,28.28132388,62.42424242,26.65825688,467.7,363.05,283.08,211.46,150.48
b0397,18.11364945,20.5000217,36.27469741,14.22935031,,,,,,,,,,,,,,,,,,,,,,,,2.5875,9.125,4.178947368,4.230769231,3.990950226,2.07826087,4.4,4.448,4.586614173,8.313953488,4.396946565,4.837121212,3.981060606,3.713754647,10.59139785,8.458781362,2.471830986,5.412969283,8.763513514,11.40604027,20.88333333,23.42937853,2.049608355,7.281323877,2.265734266,8.364678899,,,,,
b0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.0125,0.4,0.850961538,0.085972851,7.682608696,1.358333333,2.792,4.523622047,0.519379845,2.854961832,0.75,1.041666667,2.040892193,0.003584229,2.243727599,3.753521127,0.003412969,0.611486486,0.026845638,4.156666667,2.759887006,3.375979112,2.106382979,3.146853147,3.77293578,,,,,
b0399,59.61764026,86.68713289,71.39942792,19.25197691,,,,,,,,,,,,,,,,,,,,,,,,2.03125,7.58125,6.768421053,4.298076923,6.823529412,4.547826087,2.520833333,5.48,6.401574803,6.131782946,5.236641221,6.026515152,2.825757576,4.394052045,6.623655914,6.007168459,2.595070423,8.450511945,2.516891892,0.832214765,6.816666667,5.016949153,4.908616188,8.328605201,2.125874126,6.149082569,100.56,,,,
b0403,10.39174649,1.115462145,17.19250363,7.82689748,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.0375,0.157894737,0.350961538,0.135746606,0.173913043,0.279166667,0.372,0.330708661,0.093023256,0.187022901,0.21969697,0.087121212,0.215613383,0,0.05734767,0.320422535,0.006825939,0.057432432,0,,,0.044386423,,0.174825175,,,,,,
b0404,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45625,3.4125,2.463157895,72.17788462,8.316742081,3.430434783,6.8625,5.644,15.51968504,7.782945736,14.30916031,11.23863636,,3.992565056,6.716845878,,7.697183099,9.955631399,,11.97315436,,,,,11.86013986,,,,,,
b0405,121.497181,189.8321916,99.68837272,91.89831432,68.79876743,74.64934148,71.09077816,,67.22009804,45.23002107,,,,68.01802589,67.65894444,,92.96415136,75.91127191,96.56620216,71.30332467,102.6206129,68.31572174,,73.44805582,76.50295563,85.56189535,79.4052137,66.10625,65.4875,50.57368421,53.58173077,74.07692308,75.43913043,61.79583333,54.82,80.43700787,88.96124031,74.87022901,88.18939394,76.93560606,69.86245353,136.1792115,119.8028674,146.3028169,98.06825939,97.76013514,125.5973154,119.4,155.460452,108.618799,143.5673759,208.2331002,209.1261468,,,,,
b0406,677.7492597,1268.538926,499.6703615,351.8952642,188.691911,170.5056531,204.9312655,174.1146812,306.7962105,212.4430531,208.2000062,421.5968956,255.4070006,260.0296906,293.5657819,399.4112111,332.7174736,316.5489041,351.6197699,399.5803672,354.1188401,489.9612488,561.6250701,565.7902928,,666.7768061,594.1421641,138.04375,135.28125,108.2578947,89.40865385,118.0361991,160.5173913,101.375,140.672,188.3228346,196.8992248,146.0839695,181.7575758,142.0340909,137.204461,162.0286738,171.9283154,297.9225352,224.0614334,177.1689189,228.6040268,336.7833333,207.1920904,355.2506527,200.2174941,248.6736597,247.1100917,82.66,100.11,117.64,145.55,155.51
b0407,3339.832772,4218.423228,2315.471129,1010.393205,6301.753412,6497.906598,7363.552734,7765.59962,7798.962419,6657.560066,6568.279156,8171.158719,6784.504987,6042.153673,7811.300057,7919.685779,6159.512629,5838.193278,5941.535095,7609.1529,6901.370532,6885.277003,6534.849613,5684.45613,6589.106936,6063.633295,5936.920941,1497.80625,1364.95625,1302.984211,1363.591346,1600.674208,1247.856522,1246.425,2300.004,1793.188976,1779.356589,2083.648855,2031.670455,1610.587121,1218.066914,1585.655914,1817.189964,1767.915493,1418.09215,1813.320946,1776.063758,2006.926667,1888.392655,2092.710183,1902.86052,1736.745921,1754.383028,2967.35,3695.45,3511.69,3063.74,1968.69
b0408,623.5124813,1062.591668,508.4726657,273.433544,642.3284909,600.2675941,624.665103,717.3187681,642.4770609,636.9254112,629.2130389,684.848393,622.993457,579.9427894,669.2614586,678.1548185,654.6930628,609.437871,590.7730204,677.2930714,620.6448527,663.8786273,667.6207897,675.70995,678.7382707,692.7536445,687.8373933,152,151.43125,202.6894737,190.9471154,138.9638009,130.2782609,194.5041667,194.396,148.0787402,182.3565891,176.1717557,159.8901515,178.7310606,200.1821561,113.8637993,171.6057348,151.3661972,150.5938567,208.4932432,199.7684564,75.10666667,186.0084746,162.7441253,119.1347518,204.8997669,248.5917431,174.27,178.23,185.86,166.83,151.96
b0409,578.0791946,874.985929,652.9892269,295.7241962,174.5925321,175.3608063,176.5891055,191.0389918,168.5247054,176.3182694,166.3930664,188.8297016,167.6128596,208.7248736,187.2158561,170.9750912,193.0779021,160.2780318,179.5274845,190.7917184,,185.1135299,175.3227217,198.0051924,,194.2137803,,165.875,114.6375,303.4052632,275.8365385,122.4117647,403.6869565,299.3875,197.832,249.8188976,185.3062016,301.5419847,205.9128788,179.1439394,294.4312268,83.55555556,126.4336918,163.5915493,111.7713311,189.2398649,136.6778523,86.23666667,288.180791,251.3681462,125.6524823,291.3170163,272.6582569,121.23,37.41,201.79,31.58,25.43
b0410,35.82861897,36.1346424,399.2833632,123.5430303,,218.1813958,169.3758391,,,209.8011407,,,,187.3248077,199.3533853,,163.4661642,133.8191429,76.18972446,,,158.0627067,,,,95.4791953,,169.93125,34.69375,32.06315789,44.04807692,47.21719457,34.20434783,55.14166667,60.464,62.44488189,49.65116279,67.17557252,70.97348485,55.93181818,50.95910781,20.75268817,42.56989247,36.26056338,10.10238908,44.41216216,14.95302013,76.71,39.18079096,12.0156658,65.08274232,28.46853147,36.82110092,529,595.19,435.03,390.65,282.64
b0411,1073.069293,1803.480866,893.7729506,432.2259916,1412.058176,1419.175562,1867.435082,1872.95795,1715.447461,1429.568806,1517.35485,1767.924289,1551.83042,1477.054138,1676.542138,1657.672558,1402.738139,1234.614087,1327.354208,1518.065115,1326.851033,1419.160051,1288.629358,1295.64071,1321.809145,1412.208388,1447.683073,403.4125,382.39375,407.4894737,453.0625,225.0950226,273.0086957,410.1583333,290.048,340.2440945,410.8643411,449.5496183,284.719697,403.1174242,436.7100372,393.3512545,374.2867384,467.9119718,430.887372,424.1790541,391.7013423,449.49,403.559322,388.6214099,1804.349882,2154.237762,1954.46789,277.59,244.24,236.92,225.88,161.42
