,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b0002,3863.272561,5415.352072,3032.337886,2319.704874,2678.864971,2699.98603,1472.647817,1655.330853,1736.186872,3132.110572,3488.881075,2379.878123,4021.705747,4547.327733,2772.452201,2861.061465,5126.894979,5470.072368,5651.213885,3246.680852,3178.695124,3393.667253,3412.558626,3448.297249,3387.929707,3628.832143,3476.808778,1606.65,1748.6625,770.7578947,983.0673077,938.1764706,916.7347826,1364.591667,4072.576,1347.566929,1478.868217,1990.316794,1772.511364,1662.234848,2951.01487,2300.096774,3334.523297,2008.190141,1802.924915,3257.168919,1514.11745,1458.426667,2132.310734,461.8328982,321.6312057,503.4755245,289.0366972,1283.92,1682.15,2003.18,3023.58,3016.75
b0003,763.5999702,878.2044631,596.6025014,425.2064648,483.0550422,516.458367,295.9107401,452.1838632,378.771589,554.7553147,605.6666574,417.3750422,776.6009197,808.6377696,553.2666581,531.8596291,847.8168275,1003.86628,890.6624106,657.6211874,593.6190889,703.7071009,644.4516813,705.632021,670.8395437,758.5278279,652.0182838,315.3125,199.90625,79.69473684,84.63461538,137.9728507,165.3695652,86.85,336.532,178.5866142,155.2286822,263.1908397,167.5,87.61363636,121.3791822,545.311828,420.09319,209.1866197,284.8293515,240.6148649,195.5671141,281.2766667,234.6694915,77.83550914,58.13711584,102.9277389,45.2706422,153.6,200.23,239.37,380.01,389.07
b0004,3888.661925,5887.486998,2971.677895,2156.207863,4480.056558,4463.802554,3198.951359,3763.230591,3487.484017,4856.254715,5271.373313,4028.305327,5820.563892,6219.871408,4814.709895,4556.35157,6908.68642,7689.878191,7523.288885,5182.449224,4974.289816,5380.08498,5238.685766,5407.442319,5176.734418,5723.264868,4681.254964,3114.8125,3345,1574.473684,1645.759615,2115.683258,2435.252174,2122.345833,7854.524,3491.15748,3921.317829,3440.064885,4208.011364,3462.867424,3259.873606,6280.37276,6084.103943,5143.855634,3257.139932,4900.864865,2501.822148,4558.78,4035.584746,902.7493473,888.6595745,816.1911422,324.3394495,3232.54,4049.7,3877.28,4934.6,5554.55
b0006,240.1919162,257.2848244,339.8866636,219.270989,177.4009533,,162.1210053,,240.8796205,219.4827637,,200.4654694,,,180.9051926,,,,208.561394,160.2582051,,169.9180226,,,,183.9141001,,66.90625,55.6625,96.22631579,139.4903846,175.040724,187.6130435,152.3125,227.956,204.3070866,208.4224806,284.980916,226.9507576,246.5265152,171.5650558,191.8207885,264.3799283,282.8943662,184.5085324,282.2331081,226.0067114,204.29,186.1525424,236.7467363,182.5390071,257.5477855,175.9793578,58.55,72.61,84.15,86.51,98.74
b0008,7435.105989,7908.56127,5138.076586,2542.354856,15678.37039,15145.26882,13765.04187,14517.37462,14355.93097,16126.04312,15830.90449,15864.4204,16072.65036,16228.38362,16534.85218,16399.36022,16283.68742,16650.60913,16855.6946,17354.62873,17757.44372,17387.67895,17533.80022,17311.73203,17027.33847,17102.46439,15791.27551,4109.1375,4764.7625,1986.484211,2345.653846,3494.027149,2922.63913,2896.629167,4488.616,3814.188976,3726.310078,3751.435115,4279.015152,3454.253788,3706.040892,4866.387097,4789.362007,3742.619718,4507.648464,4226.878378,6519.295302,3082.483333,2120.966102,4804.067885,3020.054374,3685.517483,2422.190367,6274.28,7069.1,7157.77,7460.43,7615.78
b0009,138.2568917,121.9609939,126.4061027,25.85126859,,95.5617442,111.6164646,,,90.27632224,,,,,,,,,72.72894276,58.28685556,94.73901759,,,,,,,7.13125,3.20625,10.76842105,11.78365385,6.040723982,20.93478261,11.225,19.372,26.78346457,6.965116279,24.35496183,16.52272727,8.571969697,12.55390335,3.64516129,2.598566308,16.61619718,4.385665529,6.307432432,4.399328859,51.57666667,54.66101695,34.04177546,91.30969267,42.24009324,91.13073394,193.55,170.53,166.25,129.76,120.33
b0014,9041.891132,16332.10822,6675.274977,3194.040716,12514.46507,12638.80346,13364.911,13294.36737,13680.89801,12273.76548,11915.58008,14443.10465,11865.93018,11611.96149,13895.77914,14996.41636,12156.97413,11793.08332,12189.80345,15492.50557,14995.06245,14920.95596,14657.28391,14611.99088,14624.77413,13881.13382,13603.26074,21294.78125,21072.5875,5055.768421,5048.326923,4991.099548,6162.752174,5526.479167,5295.48,6633.275591,7622.562016,6655.866412,6704.246212,6854.844697,5759.174721,7423.060932,6615.358423,6551.161972,11650.71331,6331.209459,15095.60067,6044.233333,6560.322034,10079.80679,10150.29551,13932.47786,8187.738532,8084.44,7122.46,6975.59,6736.46,6760.19
b0015,914.415041,1287.931821,557.1948318,283.661034,528.8076183,543.5836409,548.5066259,581.1460256,519.9524851,560.5939962,537.2478579,567.4688929,557.5725665,514.7709024,558.3225394,560.7961789,567.9097446,526.8876715,557.8499453,621.9054654,609.7361262,572.0634181,591.8593001,549.9281248,558.9365208,531.6721368,500.4076808,406.8375,296.8875,192.7473684,216.7451923,192.5339367,214.8565217,242.3625,235.588,297.8149606,231.620155,274.8740458,280.8825758,222.9810606,247.9330855,237.9103943,277.1469534,242.3943662,287.2559727,204.4493243,603.3892617,249.4333333,293.4435028,389.8955614,345.4184397,468.6550117,346.0825688,476.65,493.97,487.72,411.25,368.96
b0023,9828.881793,12904.61948,6730.19558,5286.595826,12378.26564,12700.62589,12883.70217,13665.5332,14371.38631,13526.42711,15223.1502,17385.80626,16281.86188,18028.96227,18338.07965,20106.70344,20196.53788,20864.55298,21033.5643,21719.63106,21688.32685,23844.51454,25964.42495,26345.59242,27047.72064,28361.97128,28179.44478,5584.65625,5469.36875,4232.510526,4466.975962,5012.339367,4724.226087,5038.195833,6371.488,7189.952756,7025.577519,7612.572519,7983.719697,6571.102273,7079.550186,9640.867384,7944.100358,10155.85211,8608.300341,9120.094595,10166.11409,10407.29,12532.70339,11605.99217,13531.29551,17400.01865,17982.48394,11040.77,12129.31,12714.71,15159.09,17037.64
b0025,299.1738852,394.6974246,239.4722808,121.9120092,,713.1979517,591.8357747,,,,,,,,,,647.9438079,,649.5567367,,,,,,,744.4110374,,45.14375,50.4,46.33157895,61.19230769,51.79638009,43.34347826,47.30833333,56.388,51.38976378,44.93410853,55.8129771,58.4280303,42.66287879,67.07434944,37.84229391,53.58064516,56.32746479,51.41296928,57.38851351,59.85234899,30.84,33.90960452,45.38381201,27.75177305,49.96270396,33.42201835,,,,,
b0026,1737.596023,2651.5884,1513.536499,810.7947062,1788.00911,1802.498675,1546.661115,1597.754398,1687.022847,1894.55117,1868.450948,1671.77229,1799.811883,1762.218405,1597.84365,1674.989505,1819.760242,1722.399269,1773.578482,1586.035471,1555.154646,1443.333565,1432.046041,1382.487291,1410.576629,1388.466247,1387.593254,579.3875,599.625,465.1052632,516.2548077,613.9004525,586.126087,567.9666667,768.28,652.4133858,607.9844961,618.8091603,687.1477273,615.6287879,612.2304833,747.7240143,879.4408602,762.7535211,690.8054608,682.9222973,989.7919463,659.8333333,632.6723164,613.5117493,569.2718676,672.8065268,611.0252294,1498.83,1641.44,1572.23,1465.79,1336.9
b0028,315.440484,283.268392,335.0990415,143.1709309,464.4288436,495.9032064,469.0978997,425.7941162,414.9237097,462.2030782,529.4187114,506.5759004,523.5970683,529.9645038,491.3565002,476.4156273,495.3661854,501.6990323,462.8144653,528.1854238,513.2564183,538.2698111,494.1479147,563.6042345,,504.0393894,365.9166903,143.24375,145.99375,294.8789474,413.1394231,561.5791855,665.7782609,386.8166667,470.132,601.2637795,471.0310078,538.7175573,512.969697,731.8219697,379.9851301,416.437276,392.8458781,441.8661972,325.3549488,591.0067568,401.942953,152.3233333,125.8672316,699.1462141,177.0472813,649.1841492,175,929.88,1411.51,1493.4,1345.64,1253.82
b0029,147.0545511,65.33543661,171.7951162,93.67053784,154.0065352,,,,,,,,,144.8634742,,,131.445534,129.5470539,144.4570828,158.751589,167.270989,,141.7224471,154.5990289,,154.8563177,,7.05,42.2875,32.42105263,40.71153846,41.71493213,51.71304348,51.3375,71.932,61.54330709,52.15503876,51.34351145,78.37121212,54.45075758,53.31226766,37.31182796,54.99641577,79.01760563,47.80887372,64.08783784,50.22483221,73.40666667,115.5819209,105.1697128,139.4089835,100.1934732,170.1536697,172.89,192.53,192.8,188.8,185.66
b0030,428.9936476,25.10781653,188.9987596,2.905137897,,,56.62224373,,,72.15939097,,,,,,,,,,71.77514976,,,,26.58278499,,,,29.5125,30.7125,148.9,157.5961538,62.13122172,91.93043478,158.9583333,101.808,144.1377953,100.1007752,58.63740458,80.40530303,119.1628788,108.4684015,22.75268817,22.23297491,14.9084507,9.682593857,29.02027027,17.32885906,15.37,32.46045198,191.7859008,256.2813239,283.6573427,128.9013761,250.03,260.74,187.49,99.89,33.7
b0031,440.390673,692.2028586,207.8783851,187.24181,573.5646113,488.0892592,275.6012699,386.703143,271.5858805,493.1406342,512.8438489,282.0855374,556.6733477,612.0171073,316.157277,330.9562844,732.054762,897.4164927,849.9962026,304.4517378,274.4411733,323.5631234,316.9291626,330.0172615,342.9738964,339.2270509,378.5743359,1521.975,1543.35625,448.3157895,469.5192308,483.4615385,704.0956522,453.4,661.692,481.6692913,432.2868217,630.7633588,664.0151515,586.8787879,545.1672862,955.4444444,729.2401434,1085.133803,1345.320819,770.972973,1368.033557,1036.296667,1589.658192,451.3916449,399.2293144,588.6386946,426.2133028,593.06,672.2,659.28,642.96,1095.66
b0032,2807.554957,6445.939429,2439.179644,1964.548503,1058.498093,1093.188999,1023.244559,972.2943098,1264.053942,1302.792588,1552.682268,1517.088719,1725.578297,2058.862088,1685.295365,1962.964566,2363.015341,2688.047153,2668.696571,2318.203331,2501.993788,2644.34845,2829.091302,3002.632015,3217.647883,3281.761041,3753.395706,1940.01875,1640.81875,789.1473684,893.1778846,1560.461538,1287.513043,1117.333333,1597.764,1950.370079,2146.22093,1790.282443,2205.113636,1590.090909,1804.828996,2092.569892,2143.297491,3259.214789,2464.726962,2541.891892,2862.204698,3090.08,1804.403955,188.4856397,280.3144208,184.6130536,291.5986239,971.9,1113.37,1490.13,2597.92,2259.31
b0033,2315.264668,4824.925412,1910.18507,1638.38252,1251.894905,1274.941535,1252.191767,1324.481719,1550.282477,1544.660638,1707.838129,1836.678974,1834.477952,2055.286024,1895.094891,2243.192828,2344.076208,2603.482522,2659.185408,2442.450688,2739.994418,2861.849687,3081.431709,3194.144389,3233.552108,3482.406285,4065.482054,757.64375,717.15,587.9105263,677.4855769,757.7013575,658.4304348,780.2333333,738.98,984.6968504,1010.399225,850.3969466,1080.484848,964.7462121,1115.267658,806.0322581,963.1111111,1565.056338,992.5767918,1248.398649,1206.244966,1471.203333,997.4293785,176.1148825,56.88416076,95.85547786,92.93577982,876.84,1194.78,1460.72,1899.01,2072.46
b0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6625,7.2125,5.652631579,17.04807692,4.171945701,5.134782609,14.875,3.836,6.322834646,8.562015504,4.080152672,4.439393939,,10.45724907,0.35483871,,20.9084507,6.38225256,,2.540268456,,,,,2.655011655,,,,,,
b0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94375,0.375,3.147368421,6.879807692,6.950226244,9.317391304,5.816666667,4.26,2.413385827,12.29457364,9.832061069,12.55681818,,7.914498141,4.863799283,,15.98591549,2.593856655,,3.338926174,,,,,7.559440559,,,,,,
b0047,3.026996458,34.99004531,2.91998818,0.561068036,,,,,,,,,,,,,,,,,,,,,,,,0.4375,0.41875,5.421052632,4.471153846,1.095022624,1.52173913,4.25,1.048,1.807086614,1.701550388,2.958015267,1.488636364,1.53030303,3.921933086,0.433691756,0.455197133,0.785211268,1.14334471,1.128378378,0.932885906,,,0.788511749,,0.843822844,,,,,,
b0048,989.7031034,1166.143814,564.8241597,261.9661483,,,,,,,,,,,45.17733964,,,69.23800891,,130.0846628,,,,,,,,179.075,157.4125,89.64736842,74.42788462,78.81900452,76.93913043,74.275,113.496,124.2559055,89.31007752,93.21755725,112.625,87.75,72.2527881,79.90322581,78.37992832,103.8028169,84.95221843,89.22297297,77.58389262,82.98333333,83.61864407,230.3420366,91.40898345,133.032634,92.66743119,396.06,424.66,315.35,270.5,240.95
b0049,38.9404371,46.16970278,16.6708608,9.189612185,,90.38393325,,,,62.24316505,74.92217876,75.76597846,,59.39632767,73.09709463,,,,58.37820388,88.13868707,,73.7543557,,67.52992399,,58.30087207,,11.0375,14.475,21.51578947,20.04807692,16.26244344,21.94782609,16.49166667,18.156,17.79527559,15.47674419,15.68320611,15.47348485,15.25,13.98884758,22.49820789,15.01433692,20.13028169,20.42662116,10.46283784,20.11409396,14.8,16.49717514,16.60052219,14.5248227,21.42424242,18.60321101,95.05,91.31,80.88,70.71,70.07
b0050,62.23745842,301.5070785,60.33129417,25.84683703,,,,,,,,,,,,,,,,,,,,,,,,13.41875,12.18125,7.210526316,8.394230769,8.131221719,8.539130435,6.55,6.392,4.811023622,4.496124031,7.473282443,5.170454545,7.753787879,3.988847584,10.85304659,6.637992832,4.577464789,19.31740614,3.493243243,6.44295302,0.003333333,2.245762712,2.960835509,0.245862884,3.862470862,2.107798165,,,,,
b0051,259.9851914,404.5643289,168.6357753,109.6743836,141.4333274,148.4914287,166.6359122,,,,159.2961378,,167.2711789,219.480254,135.9884743,,187.370406,213.5049243,200.7960836,175.1537416,,133.6792712,,155.5647969,,164.0667351,,64.75625,55.15,35.16315789,29.34615385,33.42533937,48.2,32.44583333,55.808,52.03149606,56.84496124,45.14885496,64.98106061,44.8219697,38.49070632,55.96774194,55.08243728,88.95774648,60.19453925,60.25,81.97651007,65.59666667,69.70903955,83.19321149,87.69030733,105.0839161,106.2247706,239.7,232.68,235.28,218.32,323.73
b0052,150.4621656,158.9957004,121.0645537,63.95706026,,,,,,,,,,,,,,,,,,,,,,,,66.575,47.1625,42.41578947,46.64903846,58.4479638,61.73043478,44.34166667,69.808,60.21259843,55.05426357,67.38931298,62.88636364,50.51515152,42.60594796,95.25089606,68.27956989,64.78873239,80.95904437,53.69594595,61.96308725,40.18666667,31.27966102,41.48563969,36.85106383,41.54312354,27.76146789,,,,,
b0053,1101.183841,1817.484566,689.0519028,367.2635593,1338.31416,1325.403491,1653.112688,1595.739823,1507.432439,1217.119136,1176.269918,1340.777955,1147.895987,1052.911614,1275.904805,1352.805274,1133.325967,1085.059004,1087.292749,1191.163582,1111.159416,1055.768257,1059.746094,1421.806614,960.2710907,1009.323104,722.2761942,495.925,422.50625,426.6947368,422.8701923,535.7692308,391.1130435,409.4583333,482.708,443.0511811,460.7209302,432.0038168,492.1666667,449.5151515,382.6840149,543.3476703,443.9784946,547.1795775,415.4334471,475.8783784,471.1241611,510.8666667,393.5254237,473.5195822,549.8368794,593.9184149,488.3211009,2014.05,1791.62,1524.44,1359.37,1437.12
b0054,649.9393557,1259.826186,506.3040002,278.6411949,297.0156636,286.2109094,289.400131,303.2038373,289.7154625,281.8680855,278.2639183,250.3842574,267.8515538,254.6886891,248.8029554,243.9940524,252.8190299,252.3979489,254.4895162,230.6987507,234.7021667,237.3796279,231.0804988,209.518316,229.7568216,220.3095294,219.0979138,243.1875,243.5375,162.0105263,162.9663462,168.479638,128.3130435,150.4875,142.332,138.8700787,130.9457364,198.5076336,137.6439394,130.8106061,138.9776952,209.0322581,154.6451613,184.3133803,207.1433447,120.2432432,180.1073826,152.1133333,132.3587571,188.8981723,152.891253,213.3030303,155.9013761,78.52,66.01,62.09,54.24,31.93
b0055,152.8006484,338.0695819,100.8635986,81.51577803,,,,,,,,,,,,,,,,,,,,,,,,1.10625,15.98125,22.4,20.30288462,13.49773756,0.882608696,19.375,8.64,10.15748031,10.96511628,0.427480916,14.29545455,1.03030303,26.92193309,8.17562724,11.13978495,0.355633803,9.37883959,15.48648649,16.8557047,0.276666667,0.796610169,0.605744125,0.796690307,0.009324009,1.346330275,,,,,
b0058,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05625,43.575,33.37368421,58.51923077,30.1040724,27.23043478,52.99583333,22.596,38.79133858,31.76744186,28.8740458,42.07575758,,27.16728625,42.99641577,,41.60211268,44.20136519,,49.02684564,,,,,89.9044289,,,,,,
b0059,194.2591482,494.4424712,143.9998083,95.3787996,53.11242173,60.74904316,52.17046939,63.72385251,51.74302963,63.59641141,65.96919363,59.56670604,62.94013556,76.70608229,64.85079729,80.3705164,81.79936872,78.61977734,85.1367988,74.25173806,68.33549696,84.35945255,66.32906621,94.76125555,92.16546978,104.3011482,121.3762982,49.95,49.475,46.40526316,36.30769231,21.09502262,28.36956522,35.52083333,21.512,24.23228346,23.46511628,38.22900763,27.98484848,28.64393939,39.28252788,19.95340502,30.96774194,29.56690141,35.39590444,32.37837838,34.02684564,25.74,26.95762712,48.37859008,73.30732861,125.8414918,89.21330275,93.68,81.96,98.03,97.83,110.57
b0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.17,,,,
b0068,,,,,383.8835579,346.1499218,467.5376059,416.625185,411.2085874,423.9578069,441.2733342,387.4259207,415.8722367,404.4174687,514.8264194,494.6033128,417.9023262,494.1516328,426.1633285,526.2025998,600.7666957,503.6540986,510.4425615,1008.734271,473.1300493,479.7387599,156.5437789,2.2625,3.3875,2.973684211,2.841346154,5.253393665,8.27826087,3.283333333,13.108,6.972440945,10.50775194,8.404580153,10.26136364,7.821969697,6.921933086,4.448028674,6.215053763,6.507042254,0.860068259,7.611486486,0.043624161,3.323333333,4.776836158,11.31070496,9.817966903,19.04895105,13.44495413,635.76,701.35,816.55,881.19,1017.31
b0071,296.3385745,318.7032993,1531.212668,734.42069,6811.823677,7313.308322,2887.09132,2907.267755,3128.765751,7133.409416,7017.977337,3091.46944,6864.751629,6460.491702,3007.324397,2954.70978,5923.362911,5753.722267,5717.324527,3130.480206,2917.524614,2885.314097,2620.882616,2188.686267,2196.889676,2332.969378,1858.080745,95.5625,92.93125,3545.436842,2614.822115,2364.054299,2891.921739,2330.858333,1460.556,1923.598425,2440.046512,2353.160305,1966.647727,2070.079545,1500.063197,1381.83871,2024.039427,1802.352113,575.2457338,1858.222973,857.3489933,2162.44,2599.533898,232.6422977,48.47990544,107.5664336,78.21100917,7492.76,10272.23,8116.88,6965.76,6690.71
b0072,374.4442323,380.1954682,2194.414025,979.4296142,4922.803331,5005.877789,2045.092228,2145.029559,2126.964278,4992.834721,5098.785633,2126.372713,4890.156681,4701.105393,2167.913768,2064.239441,4255.840419,4060.318088,4014.381135,2257.013542,1959.471143,2054.501989,1713.956041,1561.973369,1353.796536,1639.457904,1318.614483,142.3,106.125,1901.173684,1485.399038,1031.054299,1544.126087,1290.708333,844.252,1157.614173,1086.364341,1374.729008,1105.954545,785.2234848,812.7546468,577.9426523,817.6594982,973.056338,379.003413,870.3074324,403.8993289,1391.726667,1524.059322,186.5430809,170.0732861,130.3776224,111.0665138,4506.82,5488.72,4818.41,3811.4,3412.91
b0073,2981.239884,2004.47631,3292.916204,1771.717851,4665.919008,4890.047384,2007.088902,1977.463173,2068.429029,4820.733137,4571.597201,1947.112442,4372.070174,3842.202257,2018.1569,1822.333361,3768.056096,3396.073797,3413.685589,1973.258732,1859.478557,1750.176484,1488.671437,1351.000994,1328.269534,1432.072156,1209.600672,902.70625,1037.51875,3634.794737,3026.043269,3475.457014,3150.117391,2577.0125,1194.072,1754.992126,1706.546512,1631.175573,1905.916667,1621.784091,2027.910781,4380.982079,2478.637993,1615.503521,1598.177474,1697.476351,2108.889262,1193.583333,1336.813559,196.2062663,54.02600473,138.2447552,52.87155963,3975.75,5571.78,4818.82,3498.33,3246.46
b0074,1533.180886,891.4302618,1969.850165,1069.892083,5542.021412,5740.98121,2171.819933,2312.779382,2143.841769,5547.024302,5439.348299,1973.874694,4719.828659,4353.292759,2097.30343,1836.898603,3902.557773,3526.573135,3541.552058,2053.70085,1701.585214,1687.557605,1408.559186,1176.129043,1147.658747,1341.043804,985.8644846,1146.875,912.51875,2648.4,1822.375,1933.190045,1844.83913,1594.6875,837.116,1148.38189,1344.263566,1210.09542,1280.681818,1262.700758,1375.475836,2262.050179,1883.967742,954.6690141,753.2559727,1287.003378,1587.869128,438.3066667,574.9293785,233.2924282,20.96926714,206.2913753,23.27981651,5036.5,6044.3,4497.35,3296.83,2572.99
b0077,722.7706001,1052.887514,617.4405257,427.0847674,520.6696462,511.0104293,379.4510757,455.8228929,370.7792037,509.4260094,495.0597629,382.9204441,485.2096747,488.6167818,398.6873107,373.614932,497.3550367,496.3632968,497.0177725,401.1157985,404.147368,355.8113303,397.8413019,348.6304277,365.3656062,367.228386,357.1795093,138.86875,155.125,149.2947368,172.6586538,125.9230769,133.6521739,172.2375,184.82,135.1259843,118.2248062,155.1374046,178.6666667,137.4734848,168.063197,132.1863799,160.6917563,155.1725352,144.6177474,149.8040541,135.9026846,198.1466667,175.7259887,27.8381201,13.28132388,26.5011655,13.89220183,792.81,941.74,781.83,708.87,741.18
b0078,994.1515483,1515.735117,745.9499992,479.6816093,1235.160011,1099.877942,837.8134926,959.9898621,702.7247077,1181.12066,1251.275267,817.6034572,1077.146784,1064.995837,848.1013314,815.4709901,1112.862416,1115.033489,1160.528977,825.2773598,803.5415637,797.8436107,772.5176509,694.5819918,711.6848797,721.5222112,691.6997411,498.95,392.9125,376.3578947,397.1153846,582.199095,392.0913043,356.3333333,534.084,377.3031496,543.1085271,553.8129771,472.1477273,602.8181818,400.5910781,502.7311828,653.297491,539.7288732,544.3037543,652.4459459,481.5100671,446.09,383.4180791,119.073107,26.54373522,102.3659674,24.04587156,1031.82,951.09,948.08,850.64,996.61
b0080,306.607995,274.2690844,291.099728,89.43624447,154.5830324,198.5833569,214.6180532,222.7920882,178.07238,210.1017327,168.3412477,198.2059398,144.0739963,142.3494503,214.4251843,150.1708852,,91.90654844,,,131.6835316,137.0454447,,,105.897844,94.23570377,86.67363053,53.30625,55.75625,185.6421053,142.1971154,108.438914,112.3347826,134.6208333,128.276,119.6338583,124.1434109,82.67175573,95.70075758,110.155303,107.3234201,32.82437276,63.78853047,52.20422535,42.44027304,93.69932432,51.32214765,30.83333333,49.60169492,61.63446475,37.4893617,86.49184149,39.56192661,413.28,428.51,329.64,232.74,176.5
b0081,194.931864,511.8500392,84.95792423,46.96029663,,,,,,,,,,,,,,,,,,,,,,,,129.9625,41.0125,58.82105263,47,71.65158371,66.74347826,43.87916667,64.984,58.17322835,36.63178295,47.60305344,51.59469697,37.65530303,50.69144981,48.27240143,55.10394265,52.01056338,61.46416382,39.81418919,57.44966443,15.97333333,17.63559322,28.48563969,3.820330969,19.82051282,3.903669725,,,,,
b0082,495.6055142,767.3666669,336.420144,194.2282192,157.1578529,147.353404,144.683669,185.6824403,155.806452,121.9713064,161.4404485,127.0179353,134.1601086,139.6209863,123.7522944,138.5589209,143.4942322,135.9079967,138.2615107,107.27394,112.9186677,109.8524635,113.5565413,109.5055034,,105.8992381,91.17936923,131.45,138.61875,87.07368421,78.19230769,136.5248869,133.9913043,76.97916667,172.12,118.3228346,137.0658915,107.4961832,125.8712121,139.8219697,86.36802974,127.4516129,160.7526882,131.5176056,153.9385666,148.3378378,186.6375839,110.9,130.6751412,100.0966057,96.71158392,116.0675991,104.603211,202.51,240.94,161.76,156.53,172.06
b0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24375,0.30625,1.921052632,5.259615385,3.135746606,11.12608696,7.095833333,19.368,13.1023622,11.6124031,11.24427481,14.70075758,11.48106061,8.676579926,1.154121864,0.240143369,20.67957746,5.955631399,8.557432432,0.244966443,11.15666667,17.83333333,8.436031332,12.55082742,17.3030303,13.62614679,,,,,
b0084,48.55890337,54.59861143,76.87099181,38.06202312,,,,,,,,,,,,,,,,,,,,,,,,0.1625,0.7875,2.431578947,4.461538462,4.040723982,6.460869565,4.175,9.976,4.767716535,5.689922481,7.080152672,5.200757576,7.71969697,5.940520446,2.652329749,5.935483871,4.042253521,4.170648464,4.773648649,5.436241611,0.616666667,2.081920904,5.631853786,1.31678487,6.118881119,2.633027523,,,,,
b0085,453.6634298,824.9268228,498.3086425,325.1307651,84.30096383,79.1151711,83.95986198,,89.02170175,90.80426684,69.96055145,74.74246056,84.30843535,85.66605697,102.553237,87.70222793,91.50902279,97.57814885,98.44903791,79.72344841,,81.44280875,,81.99578709,,78.62619202,88.24082525,145,120.08125,106.6263158,106.5144231,136.5384615,221.3608696,115.625,201.02,155.7559055,136.1395349,131.1679389,142.2689394,150.1742424,125.3754647,147.8996416,165.4408602,180.2570423,199.5187713,146.8513514,201.1677852,125.8533333,188.3898305,144.9347258,121.427896,163.2307692,157.9724771,90.92,150.72,109.47,118.09,143.68
b0086,262.1838233,299.0497238,197.1555286,146.6426772,30.72915851,41.77929693,36.06418026,,36.40450426,40.47816801,40.04758728,,52.6580549,48.80521431,38.21921336,39.29574629,,47.49327263,,36.47010103,,37.66805566,38.65656671,36.18992083,33.55478037,42.16423243,,133.18125,125.08125,100.4315789,111.4567308,107.6289593,221.2956522,113.1958333,198.328,191.7795276,101.8217054,128.2938931,179.780303,127.5075758,155.0594796,159.5053763,152.6810036,186.7922535,190.0136519,104.9864865,175.9630872,129.6066667,140.0734463,173.3185379,87.85106383,198.1351981,136.1376147,129.49,122.12,123.36,144.86,154.92
b0087,100.304058,279.7227598,106.7274195,64.64942038,,,,,,,,,,,,,,,,,,,,,,,,19.09375,18.5125,10.18947368,10.62019231,6.669683258,8,10.52916667,13.268,9.338582677,4.003875969,8.816793893,9.291666667,4.242424242,12.71375465,6.602150538,8.677419355,7.179577465,10.26279863,7.219594595,13.27516779,2.156666667,6.06779661,4.318537859,2.004728132,6.820512821,4.919724771,,,,,
