reaction_id,name,reversible,dG_reaction,source
R_EX_cynt_e,Cyanate exchange,False,0,calculated_from_formation_energies
R_EX_cys__D_e,D-Cysteine exchange,False,0,calculated_from_formation_energies
R_EX_cys__L_e,L-Cysteine exchange,False,0,calculated_from_formation_energies
R_EX_glcn_e,D-Gluconate exchange,False,0,calculated_from_formation_energies
R_EX_glcr_e,D-Glucarate exchange,False,0,calculated_from_formation_energies
R_EX_glcur_e,D-Glucuronate exchange,False,0,calculated_from_formation_energies
R_EX_glcur1p_e,D-Glucuronate 1-phosphate exchange,False,0,calculated_from_formation_energies
R_EX_gln__L_e,L-Glutamine exchange,False,0,calculated_from_formation_energies
R_EX_glu__L_e,L-Glutamate exchange,False,0,calculated_from_formation_energies
R_EX_gly_e,Glycine exchange,False,0,calculated_from_formation_energies
R_EX_glyald_e,D-Glyceraldehyde exchange,False,0,calculated_from_formation_energies
R_EX_glyb_e,Glycine betaine exchange,False,0,calculated_from_formation_energies
R_EX_glyc_e,Glycerol exchange,False,0,calculated_from_formation_energies
R_EX_cytd_e,Cytidine exchange,False,0,calculated_from_formation_energies
R_EX_dad_2_e,Deoxyadenosine exchange,False,0,calculated_from_formation_energies
R_EX_damp_e,DAMP exchange,False,0,calculated_from_formation_energies
R_EX_dca_e,Decanoate (n-C10:0) exchange,False,0,calculated_from_formation_energies
R_EX_glyc__R_e,(R)-Glycerate exchange,False,0,calculated_from_formation_energies
R_EX_glyc2p_e,Glycerol 2-phosphate exchange,False,0,calculated_from_formation_energies
R_EX_dcmp_e,DCMP exchange,False,0,calculated_from_formation_energies
R_EX_dcyt_e,Deoxycytidine exchange,False,0,calculated_from_formation_energies
R_EX_glyc3p_e,Glycerol 3-phosphate exchange,False,0,calculated_from_formation_energies
R_EX_ddca_e,Dodecanoate (n-C12:0) exchange,False,0,calculated_from_formation_energies
R_EX_glyclt_e,Glycolate exchange,False,0,calculated_from_formation_energies
R_EX_12ppd__R_e,"(R)-Propane-1,2-diol exchange",False,0,calculated_from_formation_energies
R_EX_gmp_e,GMP exchange,False,0,calculated_from_formation_energies
R_EX_gsn_e,Guanosine exchange,False,0,calculated_from_formation_energies
R_EX_gthox_e,Oxidized glutathione exchange,False,0,calculated_from_formation_energies
R_EX_dgmp_e,DGMP exchange,False,0,calculated_from_formation_energies
R_EX_dgsn_e,Deoxyguanosine exchange,False,0,calculated_from_formation_energies
R_EX_dha_e,Dihydroxyacetone exchange,False,0,calculated_from_formation_energies
R_EX_gthrd_e,Reduced glutathione exchange,False,0,calculated_from_formation_energies
R_EX_gtp_e,GTP exchange,False,0,calculated_from_formation_energies
R_EX_dimp_e,DIMP exchange,False,0,calculated_from_formation_energies
R_EX_din_e,Deoxyinosine exchange,False,0,calculated_from_formation_energies
R_EX_dms_e,Dimethyl sulfide exchange,False,0,calculated_from_formation_energies
R_EX_dmso_e,Dimethyl sulfoxide exchange,False,0,calculated_from_formation_energies
R_EX_dopa_e,Dopamine exchange,False,0,calculated_from_formation_energies
R_EX_doxrbcn_e,Doxorubicin exchange,False,0,calculated_from_formation_energies
R_EX_gua_e,Guanine exchange,False,0,calculated_from_formation_energies
R_EX_h_e,H+ exchange,True,0,calculated_from_formation_energies
R_EX_h2_e,H2 exchange,False,0,calculated_from_formation_energies
R_EX_h2o_e,H2O exchange,True,0,calculated_from_formation_energies
R_EX_h2o2_e,Hydrogen peroxide exchange,False,0,calculated_from_formation_energies
R_EX_h2s_e,Hydrogen sulfide exchange,False,0,calculated_from_formation_energies
R_EX_hacolipa_e,Hepta-acylated core oligosaccharide lipid A (E. coli) exchange,False,0,calculated_from_formation_energies
R_EX_dtmp_e,DTMP exchange,False,0,calculated_from_formation_energies
R_EX_dump_e,DUMP exchange,False,0,calculated_from_formation_energies
R_EX_duri_e,Deoxyuridine exchange,False,0,calculated_from_formation_energies
R_EX_halipa_e,Hepta-acylated KDO(2)-lipid (A) exchange,False,0,calculated_from_formation_energies
R_EX_hdca_e,Hexadecanoate (n-C16:0) exchange,False,0,calculated_from_formation_energies
R_EX_12ppd__S_e,"(S)-Propane-1,2-diol exchange",False,0,calculated_from_formation_energies
R_EX_hdcea_e,Hexadecenoate (n-C16:1) exchange,False,0,calculated_from_formation_energies
R_EX_hg2_e,Hg2+ exchange,False,0,calculated_from_formation_energies
R_EX_eca4colipa_e,(enterobacterial common antigen)x4 core oligosaccharide lipid A exchange,False,0,calculated_from_formation_energies
R_EX_enlipa_e,Phosphoethanolamine KDO(2)-lipid (A) exchange,False,0,calculated_from_formation_energies
R_EX_enter_e,Enterochelin exchange,False,0,calculated_from_formation_energies
R_EX_etha_e,Ethanolamine exchange,False,0,calculated_from_formation_energies
R_EX_his__L_e,L-Histidine exchange,False,0,calculated_from_formation_energies
