,Glycolysis(Serine through glycolysis),ED pathway(PYR through ED) ,"PP pathway(PEP through PP pathway, upper bound)  ",Gluco-neogenesis(PEP from oxaloacetate),"Gluco-neogenesis(PYR from MAL, upper bound)","Gluco-neogenesis(PYR from MAL, lower bound)",TCA cycle(Oxaloacetate through TCA cycle)
reaction,"FBA_num1,FBA_num2,FBA_num3",EDA,TKT1,PPCK,"ME1,ME2","ME1,ME2",MDH
other reaction,"TKT1,EDA","PYK_num1,PYK_num2,ME1,ME2,CYSTL_num1,CYSTL_num2,ANS","EDA,FBA_num1,FBA_num2,FBA_num3",ENO,"PYK_num1,PYK_num2,ME1,ME2,CYSTL_num1,CYSTL_num2,ANS","PYK_num1,PYK_num2,ME1,ME2,CYSTL_num1,CYSTL_num2,ANS",PPC
