,Glycolysis(Serine through glycolysis) lower bound,Glycolysis(Serine through glycolysis) upper bound,ED pathway(PYR through ED) lower bound,ED pathway(PYR through ED) upper bound,"PP pathway(PEP through PP pathway, upper bound)  ",Gluco-neogenesis(PEP from oxaloacetate) lower bound,Gluco-neogenesis(PEP from oxaloacetate) upper bound,"Gluco-neogenesis(PYR from MAL, upper bound)","Gluco-neogenesis(PYR from MAL, lower bound)",TCA cycle(Oxaloacetate through TCA cycle) lower bound,TCA cycle(Oxaloacetate through TCA cycle) upper bound
reaction,PGCD,PGCD,EDA,EDA,TKT1,PPCK,PPCK,"ME1,ME2","ME1,ME2",MDH,MDH
other reaction,"PGM_reverse_num1,PGM_reverse_num2,PGM_reverse_num3,PGK","PGM_reverse_num1,PGM_reverse_num2,PGM_reverse_num3,PGK","PYK_num1,PYK_num2,ME1,ME2","PYK_num1,PYK_num2,ME1,ME2","TALA_reverse_num1,TALA_reverse_num2,EDA,FBA_num1,FBA_num2,FBA_num3","PPS,ENO","PPS,ENO","PYK_num1,PYK_num2,ME1,ME2","PYK_num1,PYK_num2,ME1,ME2",PPC,PPC
