generation,best_fitness
0,17.425541095777408
1,17.425541095777408
2,17.425541095777408
3,16.989192659858134
4,16.989192659858134
5,16.989192659858134
6,16.989192659858134
7,16.989192659858134
8,16.989192659858134
9,16.989192659858134
10,16.782540614435277
11,16.782540614435277
12,16.782540614435277
13,16.782540614435277
14,16.782540614435277
15,16.782540614435277
16,16.782540614435277
17,16.782540614435277
18,16.782540614435277
19,16.782540614435277
20,16.782540614435277
21,16.782540614435277
22,16.782540614435277
23,16.782540614435277
24,16.782540614435277
25,16.782540614435277
26,16.782540614435277
27,16.782540614435277
28,16.76035121929041
29,16.76035121929041
