n,raw_r2,raw_rmse,log1p_r2,log1p_rmse,log10eps_r2,log10eps_rmse,zero_true_fraction,zero_pred_fraction,lt_0p1_fraction,lt_0p5_fraction,scope,Method,threshold
71,0.5643745262937374,0.9032003147450581,0.6128422050674651,0.3248213625963016,-5.563771046013732,1.547789382410636,0.0,0.07042253521126761,0.2112676056338028,0.5633802816901409,classic_Pgi,fba,0.05
56,0.5070768235129901,1.016788080125777,0.5200225799399417,0.365254356037755,-8.166796267215563,1.6214035636196467,0.0,0.07142857142857142,0.0,0.44642857142857145,classic_Pgi,fba,0.1
42,0.48525478618394946,1.0787666417818411,0.4492136759201649,0.3703692715088935,-19.650119438071627,1.8579298378130726,0.0,0.09523809523809523,0.0,0.2619047619047619,classic_Pgi,fba,0.2
31,0.5322202632501056,1.035772572479097,0.5237866124811487,0.3076840930923426,-33.57046295687383,1.80411533866456,0.0,0.0967741935483871,0.0,0.0,classic_Pgi,fba,0.5
23,0.3706564690630174,1.1797723778551714,0.36718881914952683,0.31042755470620553,0.32043496815866,0.19837347675940756,0.0,0.0,0.0,0.0,classic_Pgi,fba,1.0
126,0.17950507449988995,1.087094423888777,0.4671654184976455,0.37293710280433184,0.5282813510949869,1.859275726190182,0.35714285714285715,0.4523809523809524,0.5555555555555556,0.7301587301587301,classic_Crp,fba,0.0
78,0.03232022935673029,1.3535648000213045,0.32781839146659675,0.4527901391045376,-8.215836556432372,2.120089501687661,0.0,0.1282051282051282,0.28205128205128205,0.5641025641025641,classic_Crp,fba,0.01
70,-0.03344276898087206,1.428693527956329,0.2544289071616693,0.47764106833001374,-11.053644056664263,2.23494316093965,0.0,0.14285714285714285,0.2,0.5142857142857142,classic_Crp,fba,0.05
56,-0.2276268395266534,1.59698942305383,0.013361392179156661,0.5331538559549351,-18.499690573747937,2.3190231162029176,0.0,0.14285714285714285,0.0,0.39285714285714285,classic_Crp,fba,0.1
45,-0.3860047226044907,1.684155941219667,-0.2726753009490406,0.5521338945446602,-38.29202863072151,2.456061859892531,0.0,0.15555555555555556,0.0,0.24444444444444444,classic_Crp,fba,0.2
34,-1.0274229550151848,1.9339435871755837,-1.36162569091911,0.6277791886633105,-81.72503118963172,2.4805652927059993,0.0,0.14705882352941177,0.0,0.0,classic_Crp,fba,0.5
28,-1.4850336963880304,2.0522624696085248,-2.2156477317344128,0.6610650594453171,-133.87453221250473,2.727567917805687,0.0,0.17857142857142858,0.0,0.0,classic_Crp,fba,1.0
